Feature	Description	lfc_group1g2	lfc_group1g3	lfc_group1g4	p	q	Ontology	Definition
GO:0015668	Type III site-specific deoxyribonuclease activity	0.055	0.129	0.374	0.003	0.0614423076923077	MF	Catalysis of the endonucleolytic cleavage of DNA to give double-stranded fragments with terminal 5'-phosphates. ATP hydrolysis is required. Cleavage is dependent on the presence of two copies of a specific recognition sequence in an inverse orientation in the DNA. Cleavage occurs at a specific distance from one of the recognition sites.
GO:0022869	protein-N(PI)-phosphohistidine-lactose phosphotransferase system transporter activity	0.133	0.271	0.696	0.003	0.0614423076923077	MF	Catalysis of the PEP-dependent, phosphoryl transfer-driven transport of substances across a membrane. The transport happens by catalysis of the reaction: protein N-phosphohistidine + lactose(out) = protein histidine + lactose phosphate(in). This differs from primary and secondary active transport in that the solute is modified during transport.
GO:0000700	mismatch base pair DNA N-glycosylase activity	0	0.38	0.737	0.003	0.0614423076923077	MF	Catalysis of the removal of single bases present in mismatches by the cleavage the N-C1' glycosidic bond between the target damaged DNA base and the deoxyribose sugar. The reaction releases a free base and leaves an apurinic/apyrimidinic (AP) site.
GO:0010608	posttranscriptional regulation of gene expression	0	0.254	0.797	0.003	0.0614423076923077	BP	Any process that modulates the frequency, rate or extent of gene expression after the production of an RNA transcript.
GO:0033592	RNA strand annealing activity	0	0.254	0.797	0.003	0.0614423076923077	MF	Facilitates the base-pairing of complementary single-stranded RNA.
GO:0016592	mediator complex	0	0.332	0.842	0.003	0.0614423076923077	CC	A protein complex that interacts with the carboxy-terminal domain of the largest subunit of RNA polymerase II and plays an active role in transducing the signal from a transcription factor to the transcriptional machinery. The mediator complex is required for activation of transcription of most protein-coding genes, but can also act as a transcriptional corepressor. The Saccharomyces complex contains several identifiable subcomplexes: a head domain comprising Srb2, -4, and -5, Med6, -8, and -11, and Rox3 proteins; a middle domain comprising Med1, -4, and -7, Nut1 and -2, Cse2, Rgr1, Soh1, and Srb7 proteins; a tail consisting of Gal11p, Med2p, Pgd1p, and Sin4p; and a regulatory subcomplex comprising Ssn2, -3, and -8, and Srb8 proteins. Metazoan mediator complexes have similar modular structures and include homologs of yeast Srb and Med proteins.
GO:0004198	calcium-dependent cysteine-type endopeptidase activity	0.207	0.482	0.853	0.003	0.0614423076923077	MF	Catalysis of the hydrolysis of nonterminal peptide bonds in a polypeptide chain by a mechanism using a cysteine residue at the enzyme active center, and requiring the presence of calcium.
GO:0015413	nickel-transporting ATPase activity	0.686	0.865	0.865	0.003	0.0614423076923077	MF	Enables the transfer of a solute or solutes from one side of a membrane to the other according to the reaction: ATP + H2O + Ni2+(out) = ADP + phosphate + Ni2+(in).
GO:0010045	response to nickel cation	0.704	0.892	0.892	0.003	0.0614423076923077	BP	Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a nickel cation stimulus.
GO:0009088	threonine biosynthetic process	0.087	0.165	0.272	0.004	0.0774545454545455	BP	The chemical reactions and pathways resulting in the formation of threonine (2-amino-3-hydroxybutyric acid), a polar, uncharged, essential amino acid found in peptide linkage in proteins.
GO:0000921	septin ring assembly	0.094	0.125	0.507	0.004	0.0774545454545455	BP	The aggregation, arrangement and bonding together of septins and associated proteins to form an organized structure resembling a ring at the cell cortex.
GO:0015343	siderophore transmembrane transporter activity	0	0.241	0.604	0.004	0.0774545454545455	MF	Enables the transfer of a solute or solutes from one side of a membrane to the other according to the reaction: siderophore-iron(out) + H+(out) = siderophore-iron(in) + H+(in).
GO:0015990	electron transport coupled proton transport	0.851	0.851	0.851	0.004	0.0774545454545455	BP	The transport of protons against an electrochemical gradient, using energy from electron transport.
GO:0090729	toxin activity	-0.27	-0.518	-0.869	0.005	0.08875	MF	Interacting selectively with one or more biological molecules in another organism (the "target" organism), initiating pathogenesis (leading to an abnormal, generally detrimental state) in the target organism. The activity should refer to an evolved function of the active gene product, i.e. one that was selected for. Examples include the activity of botulinum toxin, and snake venom.
GO:0044659	cytolysis by virus of host cell	0	-0.391	-0.861	0.005	0.08875	BP	The killing by a virus of a cell in its host organism by means of the rupture of cell membranes and the loss of cytoplasm.
GO:0009654	photosystem II oxygen evolving complex	-0.067	-0.193	-0.829	0.005	0.08875	CC	A complex, composed of a cluster of manganese, calcium and chloride ions bound to extrinsic proteins, that catalyzes the splitting of water to O2 and 4 H+. In cyanobacteria there are five extrinsic proteins in OEC (PsbO, PsbP-like, PsbQ-like, PsbU and PsbV), while in plants there are only three (PsbO, PsbP and PsbQ).
GO:0009976	tocopherol cyclase activity	-0.082	-0.213	-0.656	0.005	0.08875	MF	Catalysis of the reaction: alkene group + alcohol group on same molecule = cyclic ether. Substrates are 2-methyl-6-phytyl-1,4- hydroquinone (forms delta-tocopherol) and 2,3-dimethyl-5-phytyl-1,4-hydroquinone (forms gamma-tocopherol).
GO:0009244	lipopolysaccharide core region biosynthetic process	0	0	0.676	0.005	0.08875	BP	The chemical reactions and pathways resulting in the formation of the core region of bacterial lipopolysaccharides, which contains ten saccharide residues.
GO:0008794	arsenate reductase (glutaredoxin) activity	0	0	-0.759	0.006	0.101428571428571	MF	Catalysis of the reaction: arsenate + reduced glutaredoxin = arsenite + oxidized glutaredoxin. Glutaredoxin functions as the electron donor for arsenate reduction. The electron flow therefore is ( NADPH -> glutathione reductase (EC:1.6.4.2) -> ) glutathione -> glutaredoxin -> arsenate reductase, i.e. glutathione is reduced by glutathione reductase and glutaredoxin is reduced by glutathione.
GO:0016192	vesicle-mediated transport	0.448	0.511	0.691	0.006	0.101428571428571	BP	A cellular transport process in which transported substances are moved in membrane-bounded vesicles; transported substances are enclosed in the vesicle lumen or located in the vesicle membrane. The process begins with a step that directs a substance to the forming vesicle, and includes vesicle budding and coating. Vesicles are then targeted to, and fuse with, an acceptor membrane.
GO:0009107	lipoate biosynthetic process	-0.201	-0.292	-1.076	0.007	0.115581395348837	BP	The chemical reactions and pathways resulting in the formation of lipoate, 1,2-dithiolane-3-pentanoate, the anion derived from lipoic acid.
GO:0000724	double-strand break repair via homologous recombination	-0.052	-0.199	-0.341	0.007	0.115581395348837	BP	The error-free repair of a double-strand break in DNA in which the broken DNA molecule is repaired using homologous sequences. A strand in the broken DNA searches for a homologous region in an intact chromosome to serve as the template for DNA synthesis. The restoration of two intact DNA molecules results in the exchange, reciprocal or nonreciprocal, of genetic material between the intact DNA molecule and the broken DNA molecule.
GO:0008712	ADP-glyceromanno-heptose 6-epimerase activity	0	0.206	0.713	0.008	0.126222222222222	MF	Catalysis of the reaction: ADP-D-glycero-D-manno-heptose = ADP-L-glycero-D-manno-heptose.
GO:0008854	exodeoxyribonuclease V activity	0.03	0.526	0.742	0.008	0.126222222222222	MF	Catalysis of the exonucleolytic cleavage (in the presence of ATP) in either 5' to 3' or 3' to 5' direction to yield 5'-phosphooligonucleotides.
GO:0010033	response to organic substance	0.116	0.773	0.773	0.008	0.126222222222222	BP	Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an organic substance stimulus.
GO:0006383	transcription by RNA polymerase III	-0.337	-0.808	-0.808	0.009	0.132206896551724	BP	The synthesis of RNA from a DNA template by RNA polymerase III, originating at an RNAP III promoter.
GO:0008742	L-ribulose-phosphate 4-epimerase activity	0	-0.173	-0.419	0.009	0.132206896551724	MF	Catalysis of the reaction: L-ribulose 5-phosphate = D-xylulose 5-phosphate.
GO:0019419	sulfate reduction	-0.104	-0.137	-0.272	0.009	0.132206896551724	BP	The chemical reactions and pathways resulting in the reduction of sulfate to another sulfur-containing ion or compound such as hydrogen sulfide, adenosine-phosphosulfate (APS) or thiosulfate.
GO:0042744	hydrogen peroxide catabolic process	0	0	0.666	0.009	0.132206896551724	BP	The chemical reactions and pathways resulting in the breakdown of hydrogen peroxide (H2O2).
GO:0006003	fructose 2,6-bisphosphate metabolic process	0.224	0.258	0.671	0.009	0.132206896551724	BP	The chemical reactions and pathways involving fructose 2,6-bisphosphate. The D enantiomer is an important regulator of the glycolytic and gluconeogenic pathways. It inhibits fructose 1,6-bisphosphatase and activates phosphofructokinase.
GO:0008920	lipopolysaccharide heptosyltransferase activity	0	0	0.676	0.009	0.132206896551724	MF	Catalysis of the reaction: a lipopolysaccharide + ADP-L-glycero-beta-D-manno-heptose = a heptosylated lipopolysaccharide + ADP + H+.
