Feature	lfc_(Intercept)	lfc_group1g2	lfc_group1g3	lfc_group1g4	lfc_age	lfc_loc2	lfc_loc3	lfc_loc4	lfc_abx_useyes	se_(Intercept)	se_group1g2	se_group1g3	se_group1g4	se_age	se_loc2	se_loc3	se_loc4	se_abx_useyes	W_(Intercept)	W_group1g2	W_group1g3	W_group1g4	W_age	W_loc2	W_loc3	W_loc4	W_abx_useyes	p_(Intercept)	p_group1g2	p_group1g3	p_group1g4	p_age	p_loc2	p_loc3	p_loc4	p_abx_useyes	q_(Intercept)	q_group1g2	q_group1g3	q_group1g4	q_age	q_loc2	q_loc3	q_loc4	q_abx_useyes	diff_(Intercept)	diff_group1g2	diff_group1g3	diff_group1g4	diff_age	diff_loc2	diff_loc3	diff_loc4	diff_abx_useyes	passed_ss_(Intercept)	passed_ss_group1g2	passed_ss_group1g3	passed_ss_group1g4	passed_ss_age	passed_ss_loc2	passed_ss_loc3	passed_ss_loc4	passed_ss_abx_useyes	Description	Ontology	Definition
GO_none	-0.0387363180368592	0.0149280085778406	-0.0175616339121425	-0.0167793795930115	0.000144154407384085	0.0230692178685402	0.0377982959902475	0.0437845204054184	0.0252189289387288	0.0548768661534457	0.0544166807386045	0.0461176385680693	0.0583062936194794	0.00105934850942817	0.0385300243892632	0.0431377150515566	0.0430928165261627	0.0311996218083927	-0.705877007053307	0.274327804916081	-0.380800805449345	-0.287779904216133	0.136078359577717	0.598733539212831	0.876223878456994	1.01605148920437	0.808308802382499	0.480998096743906	0.784085540189232	0.703711953098805	0.773781296396172	0.89188154913532	0.549955573038131	0.381847009856846	0.310701053202981	0.419770445698448	0.983777625352245	0.998353477037475	0.981582436913374	0.982191815806395	0.999719775516207	0.999608607767095	0.999842020564018	0.999864596704734	0.761348611768476	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	none	none	none
GO:0005524	-0.00142711306734648	0.00421707477382377	-0.00246852869914084	-0.00931426314349758	1.24507209581131e-05	-0.00354193731383889	-0.00614497381543336	-0.00173119762765847	0.00917272899148811	0.0514373299331496	0.0518263579563908	0.044686699581232	0.0585376403026812	0.000964694233148984	0.0369354879703149	0.0406913139658665	0.0417132314350497	0.0293855829969002	-0.0277446957142066	0.0813693058920371	-0.0552407925014359	-0.159115794475763	0.0129063909892683	-0.0958952354084382	-0.151014386524554	-0.0415023619149252	0.312150655389607	0.977890477557721	0.935220915260952	0.955995869711763	0.873721014489908	0.989713963377864	0.923689514576244	0.880100274803579	0.966932378643848	0.75521640327175	0.998763859846082	0.998353477037475	0.996218787909029	0.985522031747001	0.999719775516207	0.999608607767095	0.999842020564018	0.999864596704734	0.927405447862917	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	ATP binding	MF	Interacting selectively and non-covalently with ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator.
GO:0003677	-0.00227721202607318	-0.00108204249728959	-0.0282125876307998	-0.0408919351809371	-0.000151697594977274	9.55757139676178e-05	0.00631393350305855	0.00787718252159774	0.043452665142155	0.0559503661427679	0.0546835000340601	0.0474335784913184	0.0613773005878023	0.00103898966260329	0.0406385277947049	0.0452363343491307	0.0441971486602564	0.0317427705960037	-0.0407005741528563	-0.0197873672426899	-0.594780923728186	-0.666238736296977	-0.146004912692952	0.00235184981233673	0.139576594653494	0.178228296629488	1.36889957386472	0.967570857178705	0.984230609522825	0.552590241061689	0.505944083728932	0.884048816010374	0.998125590219094	0.889119948506255	0.858704768352725	0.172401801271583	0.996471078768772	0.998353477037475	0.962986601892232	0.935876963287919	0.999719775516207	0.999608607767095	0.999842020564018	0.999864596704734	0.546901878179206	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	DNA binding	MF	Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).
GO:0016020	0.0105537390141721	-0.00760689732898594	-0.0236771140615216	-0.0426784220962881	-0.000152725801392507	-0.00169947909260896	-0.0114138075516507	-0.000717620717175874	0.0306692061433288	0.0550395408551623	0.0547851667650832	0.0471334607029768	0.0618642746598605	0.0010184969545038	0.0393517313865033	0.0452326888196359	0.0432240742462527	0.0314282941534455	0.191748311308491	-0.138849578784784	-0.502341939428739	-0.689871857884711	-0.149952143417958	-0.0431868950292702	-0.252335376240022	-0.0166023386200825	0.975846986590792	0.848113065519226	0.889693763987059	0.615920479616591	0.49098886697684	0.880937303239899	0.965591023545416	0.801013231997761	0.98676863692428	0.330192969667161	0.992650683275636	0.998353477037475	0.971861825917139	0.932139634250931	0.999719775516207	0.999608607767095	0.999842020564018	0.999864596704734	0.70003323316053	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	membrane	CC	A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it.
GO:0005975	-0.00369615457401449	-0.0164071228417132	-0.0247054857981659	-0.0541337930754373	-0.000229983391764566	0.0259317290620319	0.0293525674544726	0.0275000586562746	0.0261025444253694	0.0598982652419183	0.0585775007693588	0.050920883976522	0.0637226164810572	0.00112093245980077	0.0451101519853997	0.0494318177796846	0.0484186372821426	0.0341764219476262	-0.0617072056942949	-0.280092571827434	-0.485173937859304	-0.849522446893399	-0.205171497848712	0.574853506820925	0.593799070576277	0.567964325307787	0.763758841266953	0.950851024971619	0.779664971445382	0.628027125143692	0.396497671286882	0.837624459286277	0.56596728686381	0.553245673579838	0.570628053949863	0.445814674412899	0.996471078768772	0.998353477037475	0.973760655937907	0.900718129463476	0.999719775516207	0.999608607767095	0.999842020564018	0.999864596704734	0.778348570901208	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	carbohydrate metabolic process	BP	The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y. Includes the formation of carbohydrate derivatives by the addition of a carbohydrate residue to another molecule.
GO:0006355	0.0107283377219818	-0.0158314857350862	-0.0574666103258049	-0.0840819119562209	-0.000311644421733028	0.0181200974560193	0.00333341366856718	0.0215280824375111	0.0556511368575393	0.0618238913758832	0.0594039619263412	0.0514494378218514	0.0667473558748784	0.00111848533290801	0.0445957467010098	0.0503841872779547	0.0471371575772907	0.0348913189665883	0.17353061224753	-0.266505553193853	-1.11695312444013	-1.25970401155421	-0.278630763018383	0.406318960808184	0.0661599173998327	0.456711510493852	1.59498518559389	0.862391080797454	0.790095047961114	0.265210995069507	0.209087069110629	0.780785250969555	0.684896166178736	0.947309518545939	0.64832097171614	0.112125467236032	0.992650683275636	0.998353477037475	0.831957907949999	0.747677507699871	0.999719775516207	0.999608607767095	0.999842020564018	0.999864596704734	0.439884034220261	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	regulation of transcription, DNA-templated	BP	Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription.
GO:0016887	0.00823674093492829	-0.00169026448452046	-0.0223866203535935	-0.0384593593571366	-4.15159355570834e-05	-0.00284193528978053	-0.00979716572116209	-0.00455026069483813	0.023329895560831	0.0548196044063507	0.0541770596358632	0.0468824235456188	0.0616939040320002	0.00101403617869029	0.0387792073964401	0.0437396736898457	0.0436438690134552	0.0312690466792906	0.150251739758525	-0.0311988966525893	-0.477505612136503	-0.623389943635079	-0.0409412764845378	-0.073285027739928	-0.223988084379252	-0.104258875248556	0.746101913502926	0.880701213120443	0.975138700232621	0.633467717728729	0.533662535294255	0.967379179209788	0.941644703520772	0.822970734515659	0.91705720265233	0.456388130398576	0.992650683275636	0.998353477037475	0.973760655937907	0.951676101180148	0.999719775516207	0.999608607767095	0.999842020564018	0.999864596704734	0.783957030442715	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	ATPase activity	MF	Catalysis of the reaction: ATP + H2O = ADP + phosphate + 2 H+. May or may not be coupled to another reaction.
GO:0003824	0.00785722779177046	-0.00869157246130033	-0.0121387110385942	-0.0144316962582266	-0.000172419718055502	0.000488359757422503	0.000158986227759482	0.00450295822313982	0.0119041308737537	0.0507143764365378	0.0512610603446068	0.0443209499108687	0.0578727941661022	0.000952334983394158	0.0356119619883614	0.0401217357004015	0.0401691731848027	0.0285779070210703	0.154930975077702	-0.169555065831071	-0.273882014329693	-0.249369266961706	-0.181049442750692	0.01371336287459	0.00396259595912474	0.112099848369382	0.41655012961505	0.877015245918186	0.865513087448926	0.784427678045379	0.803303671804749	0.856492475295994	0.98907086840908	0.996841840861793	0.910844626616828	0.677406360594821	0.992650683275636	0.998353477037475	0.982489378835859	0.982191815806395	0.999719775516207	0.999608607767095	0.999842020564018	0.999864596704734	0.89768150842257	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	catalytic activity	MF	Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic.
GO:0055085	-0.000389527009330479	-0.00584329302904985	-0.0234179246311935	-0.0505750835067513	4.43748743207258e-05	-0.00621657400478202	-0.0132395201398302	0.000533507239320625	0.0399809511510566	0.056786581293668	0.0563788750019009	0.04887181011206	0.0631725696612312	0.00105066250429678	0.0418187987816932	0.0474764174253786	0.0447552634839538	0.0325988601984406	-0.00685949040172125	-0.103643306625981	-0.47917039654348	-0.800586136957306	0.0422351365345683	-0.148655011284146	-0.278865189451995	0.0119205473901836	1.226452425259	0.99453306649936	0.917545152236909	0.632284861061768	0.424219570921721	0.966348875214082	0.881959601519015	0.780605563778565	0.990499614530954	0.221316118445872	0.998763859846082	0.998353477037475	0.973760655937907	0.919214329667616	0.999719775516207	0.999608607767095	0.999842020564018	0.999864596704734	0.599773946026246	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	transmembrane transport	BP	The process in which a solute is transported across a lipid bilayer, from one side of a membrane to the other.
GO:0000166	0.000584673721739633	0.00299567326431204	0.012540629696869	0.0101781522118397	7.00813036659249e-05	-0.0113159486972011	-0.0137882519908519	-0.0115865369729144	-0.00376868171985464	0.0491133939466851	0.050018212566654	0.0434660402812792	0.0567175747689285	0.000938102328243654	0.0353473785029434	0.0381612308734948	0.0406760329544174	0.0283056626692303	0.0119045676699583	0.059891649673007	0.288515577119875	0.17945323391041	0.0747053935972352	-0.320135443601817	-0.361315703797927	-0.284849237532542	-0.133142324343156	0.990512349373453	0.952295329181084	0.773218911779038	0.857744055863519	0.940515788349183	0.749164073239525	0.718204012434615	0.776022826505309	0.894200354877247	0.998763859846082	0.998353477037475	0.982489378835859	0.982334716464037	0.999719775516207	0.999608607767095	0.999842020564018	0.999864596704734	0.961128958106772	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	nucleotide binding	MF	Interacting selectively and non-covalently with a nucleotide, any compound consisting of a nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose or deoxyribose.
