Feature	lfc_group1g2	lfc_group1g3	lfc_group1g4	se_group1g2	se_group1g3	se_group1g4	W_group1g2	W_group1g3	W_group1g4	p_group1g2	p_group1g3	p_group1g4	q_group1g2	q_group1g3	q_group1g4	diff_group1g2	diff_group1g3	diff_group1g4	passed_ss_group1g2	passed_ss_group1g3	passed_ss_group1g4	Description	Ontology	Definition
GO_none	0.0149280085778406	-0.0175616339121425	-0.0167793795930115	0.0544166807386045	0.0461176385680693	0.0583062936194794	0.274327804916081	-0.380800805449345	-0.287779904216133	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	none	none	none
GO:0005524	0.00421707477382377	-0.00246852869914084	-0.00931426314349758	0.0518263579563908	0.044686699581232	0.0585376403026812	0.0813693058920371	-0.0552407925014359	-0.159115794475763	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	ATP binding	MF	Interacting selectively and non-covalently with ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator.
GO:0003677	-0.00108204249728959	-0.0282125876307998	-0.0408919351809371	0.0546835000340601	0.0474335784913184	0.0613773005878023	-0.0197873672426899	-0.594780923728186	-0.666238736296977	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	DNA binding	MF	Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).
GO:0016020	-0.00760689732898594	-0.0236771140615216	-0.0426784220962881	0.0547851667650832	0.0471334607029768	0.0618642746598605	-0.138849578784784	-0.502341939428739	-0.689871857884711	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	membrane	CC	A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it.
GO:0005975	-0.0164071228417132	-0.0247054857981659	-0.0541337930754373	0.0585775007693588	0.050920883976522	0.0637226164810572	-0.280092571827434	-0.485173937859304	-0.849522446893399	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	carbohydrate metabolic process	BP	The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y. Includes the formation of carbohydrate derivatives by the addition of a carbohydrate residue to another molecule.
GO:0006355	-0.0158314857350862	-0.0574666103258049	-0.0840819119562209	0.0594039619263412	0.0514494378218514	0.0667473558748784	-0.266505553193853	-1.11695312444013	-1.25970401155421	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	regulation of transcription, DNA-templated	BP	Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription.
GO:0016887	-0.00169026448452046	-0.0223866203535935	-0.0384593593571366	0.0541770596358632	0.0468824235456188	0.0616939040320002	-0.0311988966525893	-0.477505612136503	-0.623389943635079	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	ATPase activity	MF	Catalysis of the reaction: ATP + H2O = ADP + phosphate + 2 H+. May or may not be coupled to another reaction.
GO:0003824	-0.00869157246130033	-0.0121387110385942	-0.0144316962582266	0.0512610603446068	0.0443209499108687	0.0578727941661022	-0.169555065831071	-0.273882014329693	-0.249369266961706	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	catalytic activity	MF	Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic.
GO:0055085	-0.00584329302904985	-0.0234179246311935	-0.0505750835067513	0.0563788750019009	0.04887181011206	0.0631725696612312	-0.103643306625981	-0.47917039654348	-0.800586136957306	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	transmembrane transport	BP	The process in which a solute is transported across a lipid bilayer, from one side of a membrane to the other.
GO:0000166	0.00299567326431204	0.012540629696869	0.0101781522118397	0.050018212566654	0.0434660402812792	0.0567175747689285	0.059891649673007	0.288515577119875	0.17945323391041	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	nucleotide binding	MF	Interacting selectively and non-covalently with a nucleotide, any compound consisting of a nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose or deoxyribose.
