Feature	lfc_group1g2	lfc_group1g3	lfc_group1g4	se_group1g2	se_group1g3	se_group1g4	W	p_val	q_val	diff_abn	passed_ss	Description	Ontology	Definition
GO:0003913	0.075160705846994	0.0751607058554743	0.151510815715792	0.221018462284007	0.190194561484767	0.238148341604922	0.151510815715792	0.688	0.97242203052422	FALSE	TRUE	DNA photolyase activity	MF	Catalysis of the repair of a photoproduct resulting from ultraviolet irradiation of two adjacent pyrimidine residues in DNA.
GO:0031386	-0.0109130792672147	-0.010913079296249	-0.438488494830137	0.254535667568849	0.217126350148107	0.289290363389408	0.438488494830137	0.142	0.538185053380783	FALSE	TRUE	protein tag	MF	A molecular function exhibited by a protein that is covalently attached (AKA tagged or conjugated) to another protein where it acts as a marker, recognized by the cellular apparatus to target the tagged protein for some cellular process such as modification, sequestration, transport or degradation.
GO:0070490	-0.0109130792672147	-0.010913079296249	-0.438488494830137	0.254535667568849	0.217126350148107	0.289290363389408	0.438488494830137	0.138	0.535388788426763	FALSE	TRUE	protein pupylation	BP	The process in which a Pup protein is conjugated to a target protein via an isopeptide bond between the carboxyl terminus of Pup and the epsilon-amino group of a lysine residue of the target protein.
GO:0070628	-0.0109130792672147	-0.010913079296249	-0.438488494830137	0.254535667568849	0.217126350148107	0.289290363389408	0.438488494830137	0.142	0.538185053380783	FALSE	TRUE	proteasome binding	MF	Interacting selectively and non-covalently with a proteasome, a large multisubunit protein complex that catalyzes protein degradation.
GO:0006235	-2.76097863924771e-12	-0.0583223889614597	-0.416120762096865	0.227183836444745	0.200362848212428	0.275152822397202	0.416120762096865	0.131	0.522528089887641	FALSE	FALSE	dTTP biosynthetic process	BP	The chemical reactions and pathways resulting in the formation of dTTP, deoxyribosylthymine triphosphate.
GO:0042742	-3.20650792300751e-11	-0.460154405047205	-0.741583970988754	0.238427559338244	0.210810862854639	0.274560322972503	0.741583970988754	0.01	0.138311688311688	FALSE	TRUE	defense response to bacterium	BP	Reactions triggered in response to the presence of a bacterium that act to protect the cell or organism.
GO:1901998	-0.306454637901383	-0.403721234203889	-0.457499748688749	0.276035013689002	0.242031015232303	0.328157416843393	0.457499748688749	0.186	0.611388888888889	FALSE	FALSE	toxin transport	BP	The directed movement of a toxin into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.
GO:0043773	0.086583264479282	0.251757404080183	0.251757404103169	0.24130700832728	0.199515602920631	0.287991426256471	0.251757404103169	0.469	0.858959587274291	FALSE	TRUE	coenzyme F420-0 gamma-glutamyl ligase activity	MF	Catalysis of the reactions: (1) GTP + F420-0 + L-glutamate = GDP + phosphate + F420-1, and (2) GTP + F420-1 + L-glutamate = GDP + phosphate + gamma-F420-2. This is the GTP-dependent successive addition of two L-glutamates to the L-lactyl phosphodiester of 7,8-didemethyl-8-hydroxy-5-deazariboflavin (F420-0) to form F420-0-glutamyl-glutamate (F420-2), with a gamma-linkage between the two glutamates.
GO:0004311	-2.36005898567907e-11	-0.147859561893435	-0.322824892396844	0.238062251684334	0.205788408033666	0.260997387235566	0.322824892396844	0.247	0.697758620689655	FALSE	TRUE	farnesyltranstransferase activity	MF	Catalysis of the reaction: 2-trans,6-trans-farnesyl diphosphate + isopentenyl diphosphate = diphosphate + geranylgeranyl diphosphate.
GO:0043828	-2.15617462121057e-11	-0.0514038864270525	-0.228835894586767	0.20570292644515	0.189480706906121	0.24050822562343	0.228835894586767	0.42	0.833737185461323	FALSE	TRUE	tRNA 2-selenouridine synthase activity	MF	Catalysis of the reaction: 5-methylaminomethyl-2-thiouridine + selenophosphate = 5-methylaminomethyl-2-selenouridine + phosphate (at the wobble position in tRNA).
GO:0008714	-0.191110945932399	-0.202301580132766	-0.27255713454749	0.220760347684838	0.19717107942668	0.243049960639548	0.27255713454749	0.313	0.766310344827586	FALSE	TRUE	AMP nucleosidase activity	MF	Catalysis of the reaction: AMP + H(2)O = D-ribose 5-phosphate + adenine.
GO:0008816	0.136217401850238	0.158480651832581	0.293304940713185	0.20610555428827	0.177309672935607	0.259722583862764	0.293304940713185	0.307	0.763022170361727	FALSE	FALSE	citryl-CoA lyase activity	MF	Catalysis of the reaction: (3S)-citryl-CoA = acetyl-CoA + oxaloacetate.
