Feature	lfc_group1g2	lfc_group1g3	lfc_group1g4	se_group1g2	se_group1g3	se_group1g4	W_group1g2	W_group1g3	W_group1g4	p_group1g2	p_group1g3	p_group1g4	q_group1g2	q_group1g3	q_group1g4	diff_group1g2	diff_group1g3	diff_group1g4	passed_ss_group1g2	passed_ss_group1g3	passed_ss_group1g4
s__Roseburia_faecis	-0.371158955177956	-0.310847691459709	-0.729318658118791	0.330551824250763	0.303119772079993	0.395862351136043	-1.12284648865344	-1.02549460672488	-1.84235418201756	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE
s__Subdoligranulum_sp._APC924_74	0.245981492646355	0.244139833845782	-0.137129996173003	0.40702756633028	0.368655625110009	0.484616688435355	0.604336199791332	0.662243614953466	-0.282965897471968	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
s__Methanobrevibacter_smithii	1.13468151372312	0.738042772594239	0.642106052318008	0.484272524468156	0.470972009213008	0.598933721459974	2.34306399060996	1.56706292127106	1.07208198388429	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE
s__Oliverpabstia_intestinalis	0.178355228576298	-0.195943261227115	-0.174003123683703	0.390752478784389	0.374890446114251	0.462786509022308	0.456440427789868	-0.522668057450042	-0.375990052197731	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
s__Bifidobacterium_longum	0.532697891347465	0.67454857768821	-0.692236864813631	0.722704332689744	0.644461170055151	0.760360031666798	0.737089660670613	1.04668614500154	-0.910406696806732	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
s__Phocaeicola_vulgatus	-0.57950319347145	-0.461915939913791	-1.19868848024954	0.510218787379559	0.436816883011701	0.575251206921413	-1.13579352192758	-1.05745898997548	-2.08376525911974	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
s__sp._2	-0.0406565660096334	-0.336050640971167	-0.477099603054202	0.261927545917916	0.234844515730503	0.295583432771381	-0.155220657938644	-1.43094949407634	-1.61409453358374	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
s__Mogibacterium_kristiansenii	0.675014627020332	1.87584787624239	3.55436982671878	0.724815033042612	0.615505982521197	0.653305958491174	0.931292255607297	3.04765173615155	5.44058994185156	0.35273259847134	0.00259128327376678	1.4219451495887e-07	1	0.0969880311038424	5.46433207484801e-06	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE
s__Cyclospora_cayetanensis	0.0274932013241627	0.145247692780933	0.000894471707974561	0.353954811988369	0.317032952613834	0.404833897332945	0.0776743256285103	0.458146989400985	0.0022094782918806	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
s__sp._3	-0.0672927103293044	-0.353186941554049	-0.485672959516126	0.229013677266012	0.21058904689539	0.262589901615363	-0.293837080530086	-1.67713823088575	-1.84954926495053	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
s__Eubacterium_coprostanoligenes	0.41028608365262	0.0575767128365293	0.537296552141425	0.545299254218108	0.519272883179167	0.645272723982225	0.752405363621705	0.110879490729469	0.832665835967097	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
s__Roseburia_inulinivorans	-0.336241558628918	-0.359056964467331	-0.355212415712106	0.28728348128788	0.273887471061442	0.342516662227004	-1.17041730739812	-1.31096527736671	-1.03706609016495	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
s__Ruminococcus_torques	-0.163431962875176	-0.410681660493423	-0.578134202035629	0.328399334241841	0.288961025983533	0.349247169595156	-0.497662284402868	-1.42123547317702	-1.65537261964298	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE
s__Ruminococcus_callidus	-0.328913063825761	-0.370537540463079	0.501083452500297	0.577967289289	0.54232090899225	0.602617927172196	-0.569085949882009	-0.683244061438859	0.831511028640729	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
s__Paratractidigestivibacter_faecalis	0.915281785694632	1.94967275888136	1.39127940410614	0.698706148815429	0.604543798367884	0.775510846868349	1.30996669665263	3.22503144378453	1.79401669199648	0.191740337033574	0.00147583254482531	0.0743518344855087	1	0.0567141363654299	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
s__Bifidobacterium_catenulatum	-0.706891147822421	0.0848605120826909	-1.38425535555464	0.680975399875475	0.639998744853841	0.762808067015447	-1.03805680491789	0.132594810169621	-1.81468368703894	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE
s__Blautia_faecis	0.0423132262053069	-0.643938110888601	-0.87908798574559	0.337193939488881	0.312227681341258	0.38372511667223	0.125486318850942	-2.06239917012608	-2.29093157458465	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
s__Blautia_glucerasea	0.174772228617918	-0.370085036083506	-0.444526315092195	0.289801804299155	0.263326531223953	0.347727663497085	0.603075018944688	-1.4054225161564	-1.2783748943688	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
s__Blautia_luti	0.0586120457120357	-0.148783988994581	-0.121139672736477	0.314999560935033	0.282512806696693	0.366915273953942	0.186070245742736	-0.526645112957009	-0.330157072588054	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
s__Slackia_isoflavoniconvertens	0.571855579938443	0.168945599225276	-0.0145159810503164	0.437579660776876	0.419458734472593	0.544915277498699	1.30686051294792	0.402770488109395	-0.026638968752993	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
s__Romboutsia_timonensis	0.145810774240811	-0.0124579137849939	-1.85537671005108	0.577930009093677	0.488237883064771	0.714730234596239	0.252298326694394	-0.0255160736540823	-2.59591188429185	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
