Feature	study_condition	lfc	p_val	q_val	p_sig
Alistipes shahii	G2	-0.68	0	0	***
Alistipes shahii	G3	-1.31	0	0	***
Alistipes shahii	G4	-1.86	0	0	***
Alistipes putredinis	G2	-0.66	0.01	0.1	
Alistipes putredinis	G3	-1.68	0.01	0.1	
Alistipes putredinis	G4	-1.81	0.01	0.1	
Phascolarctobacterium faecium	G2	-0.85	0	0.04	*
Phascolarctobacterium faecium	G3	-1.18	0	0.04	*
Phascolarctobacterium faecium	G4	-1.81	0	0.04	*
Clostridium spiroforme	G2	-0.1	0	0.06	+
Clostridium spiroforme	G3	-1.05	0	0.06	+
Clostridium spiroforme	G4	-1.7	0	0.06	+
Streptococcus salivarius	G2	-0.09	0	0.05	+
Streptococcus salivarius	G3	-1.24	0	0.05	+
Streptococcus salivarius	G4	-1.66	0	0.05	+
Eggerthella lenta	G2	-0.13	0	0.02	*
Eggerthella lenta	G3	-0.45	0	0.02	*
Eggerthella lenta	G4	-1.25	0	0.02	*
Ruminococcus lactaris	G2	-0.62	0	0.04	*
Ruminococcus lactaris	G3	-0.78	0	0.04	*
Ruminococcus lactaris	G4	-1.07	0	0.04	*
Ruminococcus gnavus	G2	-0.17	0	0.04	*
Ruminococcus gnavus	G3	-0.74	0	0.04	*
Ruminococcus gnavus	G4	-1	0	0.04	*
Prevotella stercorea	G2	0.49	0	0	***
Prevotella stercorea	G3	1.53	0	0	***
Prevotella stercorea	G4	2.18	0	0	***
Desulfovibrio piger	G2	0.49	0	0	***
Desulfovibrio piger	G3	1.64	0	0	***
Desulfovibrio piger	G4	2.34	0	0	***
Mogibacterium kristiansenii	G2	0.68	0	0	***
Mogibacterium kristiansenii	G3	1.88	0	0	***
Mogibacterium kristiansenii	G4	3.55	0	0	***
