lfc_preHIVNonHIV	lfc_group1g4	q_preHIVNonHIV	q_val
Lautropia mirabilis	-1.1560712970273	-1.47613083996058	0.202901705651762	0.385
Candidatus Nanosynbacter sp. HMT 352	0.408355979472628	-1.50768308916433	0.737428493922304	0.231
Porphyromonas endodontalis	1.16295634833051	1.03456676435109	0.124477720942537	0.724705882352941
Tannerella serpentiformis	-0.819678046855391	-1.258240211234	0.152822894263141	0.308
Aggregatibacter sp. 2125159857	0.872864428223161	1.16666703125839	0.202901705651762	0.434
Aggregatibacter sp. oral taxon 458	0.826110494506586	1.36030561889426	0.211760156611875	0.308
Candidatus Nanosynbacter sp. TM7 057	0.0825714318172255	-1.23231463681135	0.91665254937141	0.308
Bohxovirus oralis	0.7837548143041	0.637293660491007	0.202901705651762	0.973945945945946
Candidatus Nanosynbacter sp. TM7 075	0.793937088830937	0.12845755237698	0.124477720942537	1
