lfc_preHIVNonHIV	lfc_group1g4	q_preHIVNonHIV	q_val
Prevotella copri	1.30204093099621	2.3242292166065	0.0406335214369061	1
Catenibacterium mitsuokai	2.05240563460409	1.85939924371696	0.00119067138385864	1
Holdemanella biformis	1.21455014344343	0.534690773150836	0.0205704753758861	0.583888235294118
Holdemanella porci	1.22748966378675	0.370920598116011	0.00851841307549931	0.792705314009662
Phocaeicola vulgatus	-1.22234786113408	-1.20300041143351	0.0235151165893433	0.16878431372549
Mogibacterium kristiansenii	2.68153384664976	3.5543697899581	3.53731303051887e-06	0
Paratractidigestivibacter faecalis	1.43303724664876	1.80714920873111	0.0388312784058119	1
Slackia isoflavoniconvertens	0.936325966308047	-0.299177125969574	0.0370056910795418	0.875429824561404
Bacteroides uniformis	-1.51347855402882	-1.37395246962963	0.00387330623537987	0.131051282051282
Ruminococcus gnavus	-0.314638561373928	-1.00292139684707	0.474140418184128	0.0448333333333333
Prevotella stercorea	1.26054222116161	2.1817922456975	1	0
Ruminococcus lactaris	-0.169761318805995	-1.07046506563255	0.81341981468068	0.0448333333333333
Olsenella uli	1.31305706364925	1.36469406004815	0.0248405252129167	1
Senegalimassilia faecalis	1.12925902193506	1.07893828441853	0.0328871621023317	1
Phascolarctobacterium sp. Marseille Q4147	1.12374783321141	1.53525882806325	0.0388312784058119	0.144341463414634
Eggerthella lenta	-0.192918852487879	-1.24745728986153	0.81341981468068	0.0192142857142857
Alistipes putredinis	-1.48626070376911	-1.8099738571343	0.0252529162429313	0.0978181818181818
Brachyspira aalborgi	1.01779924965486	2.87761038991029	0.0560154383119994	1
Desulfovibrio piger	1.27797708688584	2.33617108982926	0.0252529162429313	0
Bacteroides thetaiotaomicron	-1.01383837585908	-0.899438992599246	0.0260911450980169	0.316470588235294
Streptococcus salivarius	-0.458302016167654	-1.66198530774616	0.604137001364758	0.0538
Prevotella sp. Marseille P4119	1.11208080500803	1.3606879530077	0.0177259384723642	1
Alistipes shahii	-1.24000456160132	-1.86179969379213	0.0248405252129167	0
Phascolarctobacterium faecium	-0.431188038656113	-1.8123093807387	0.544807652326344	0.0448333333333333
Alistipes onderdonkii	-0.889065807122841	-1.85125825490299	0.0794801428438491	1
Clostridium spiroforme	-0.573900835912826	-1.69615146138022	0.485157904114249	0.064047619047619
Prevotella sp. P4 67	0.813222014738734	0.667558232933318	0.0761702794345882	1
