lfc_preHIVNonHIV	lfc_group1g4	q_preHIVNonHIV	q_val
3-Methyloxindole	0.540190731320383	0.977732381787245	0.361272456844331	0.0484444444444444
2-Indolecarboxylic acid	0.242690368711186	0.63725459711645	0.601435433882073	0
Isopropyl 4-hydroxybenzoate	0.45815171828111	0.301818912302082	0.361272456844331	0.756409302325581
3-Methylcatechol 1-sulfate	1.47071249034035	2.09855920251425	0.00513253903080437	0
Pyrogallol-2-O-sulphate	-0.283668429339468	-0.867496402473909	0.906605161178838	0.0484444444444444
6-Hydroxyindoxyl sulfate	1.05524247199367	2.47992757575027	0.0568096323863718	0
HPAA sulfate	1.10997902092336	2.60158300425484	0.0871796724779548	0
Hippuric acid sulfate	0.836307630011343	2.01680817263968	0.0568096323863718	0
3-Methoxy-4-hydroxyphenylethyleneglycol sulfate	0.00268880689504819	-0.768993279934506	0.996025869782695	0.0792727272727273
Phenylacetylglutamine	0.0401362169588355	0.536233527364335	0.965597677205924	0.145333333333333
N-Phenylacetylglutamic acid	0.194347651064763	0.704963275305527	0.906605161178838	0.0792727272727273
alpha-CEHC	-0.105016452830921	-0.745897608283255	0.944451935522495	0.1635
p-Cresol glucuronide	-0.0386795346574213	0.736120396701804	0.965597677205924	0.1744
12-HEPE	0.391290693338572	-0.133328137223075	0.361272456844331	0.951698924731183
12 Hydroxy arachidonic acid	0.354046350208444	0.216324046281341	0.200061835206372	0.771235555555556
12-HETrE	0.395515170476724	0.219699070937527	0.217920414441269	0.788083682008368
5-Hydroxy-6-methoxyindole glucuronide	0.77243791973276	2.03130817515033	0.200061835206372	0
MG(14:1/0:0/0:0)	-0.390929481645386	-1.19622997079915	0.806258279731935	0
Androsterone sulfate	0.162212681512603	0.495586124141606	0.908676686990114	0.169555555555556
Thromboxane B3	-0.291702536147597	-0.786680769385767	0.854717635612491	0.1744
alpha-CEHC glucuronide	-0.0852405220588923	-0.866287473240326	0.965597677205924	0.1635
3,17-Androstanediol glucuronide	0.0843731413307004	0.486953597311927	0.939440808016476	0.1635
Pregnenolone-3,21-disulfate	0.117160391178087	0.509700831958092	0.921563437906784	0.169555555555556
Stercobilin	0.178949155915002	0.838137430609693	0.921563437906784	0.33136
Madlongiside C	-0.172918819486959	-0.798318722659731	0.908676686990114	0.1635
2-Benzoxazolol	-0.221758841256564	-0.559951535844627	0.611925759331928	0.201
4-Hydroxybenzoic acid	-0.0792302276233383	-0.319187394187236	0.850273945402457	0.2051875
Butyl butyrate	-0.258155570263501	-0.912143836418747	0.787402328397976	0.104222222222222
4-Ethoxybenzaldehyde	0.591440491653752	0.673690707135777	0.149832111004218	0.347967741935484
Methyl 3-phenylpropanoate	0.483427862432771	0.650784356065561	0.282640525932938	0.35175
Cotinine	0.947263529136576	1.03282372932646	0.246469470486652	0.442944444444444
1,2,3,4-Tetrahydroisoquinoline-3-carboxylic acid	-0.50145108742668	-0.841420113093129	0.0780345093815272	0
Shinanolone	0.740955549502169	1.05198514677936	0.149832111004218	0.104222222222222
Diphenoquinone	-0.202613828697838	-0.421880561887207	0.567244408579181	0.170545454545455
3,4-Dihydroxyphenylvaleric acid	0.77158678550614	1.14402312645488	0.149832111004218	0.201
Sinapic acid	-0.409999168749119	-0.860891101230944	0.266683042785395	0
Velaresol	-0.283308344320449	-0.68840190295527	0.420720899965403	0.0781666666666667
N-Palmitoyl Cysteine	-0.220154649501629	-0.889091809011737	0.825352852685999	0.201
Arabinosylhypoxanthine	-0.644053716191837	-0.609433362406026	0.149832111004218	0.497424242424242
Nordiazepam	0.862012875821189	0.639094122956874	0.282640525932938	0.642983870967742
1-Hydroxyacorenone	0.409462353051991	0.979649276409913	0.611925759331928	0.104222222222222
Vitamin A2	0.404064381999374	0.303844462711584	0.149832111004218	0.643944444444445
4-OH-Retinal	0.351271698708418	0.0623030852215852	0.149832111004218	0.98468778280543
Tetrahydrogestrinone	-0.228217439089209	-0.113417820383505	0.282640525932938	0.85563082437276
2-Hydroxydesogestrel	0.64506252878656	0.635101943838185	0.149832111004218	0.413823529411765
6-Hydroxy-5-methoxyindole glucuronide	0.717147796555015	1.89171697330636	0.149832111004218	0
Oleoyl glycine	-0.2525063187907	-0.839180923705688	0.774156077003877	0.0781666666666667
2,8-Dihydroxyquinoline-betaglucuronide	0.27222137067828	0.884399009706772	0.567244408579181	0
Sorbitan laurate	-0.279040825362691	-1.08295676849994	0.801269739525966	0.2051875
Sorbitan palmitate	-0.292365077078134	-0.948380279932571	0.774156077003877	0.220705882352941
