lfc_preHIVNonHIV	lfc_group1g4	q_preHIVNonHIV	q_val
Adenine	0.370904597825071	0.656693268768604	0.881284102354576	0.387161290322581
Guanine	0.339731354338509	0.862164628693095	0.881284102354576	0
Gluconolactone	-0.334549814123494	-0.810826585046785	0.881284102354576	0.0784444444444444
Tryptophan butyl ester	0.164567696799105	0.905599137131784	0.881284102354576	0.0784444444444444
Molindone	0.233782478161125	0.742166644912142	0.881284102354576	0.366074074074074
Dibutyl phthalate	0.58116851293788	0.432107540490672	0.881284102354576	0.829813432835821
N-Acetylneuraminic acid	-0.360351392570539	-0.729456329901192	0.881284102354576	0.366074074074074
Frenolicin B	1.0457920691028	1.2753300293825	0.881284102354576	0.576326530612245
3-hydroxypristanic acid	0.407165947025988	0.360547205486309	0.881284102354576	0.66960824742268
Cercosporamide	0.565875021756501	1.15551479372331	0.881284102354576	0.1412
Monascoflavin	0.275123059158154	0.657119824156997	0.881284102354576	0.192545454545455
20-Carboxy-leukotriene B4	0.311102511401125	1.21275257514436	0.881284102354576	0
Neoandrographolide	0.426604511425606	1.85202175088672	0.881284102354576	0.366074074074074
Austalide H	-0.0284576689437422	0.834530694176046	0.98140643339694	0.325846153846154
Esculentic acid (Phytolacca)	0.458130749079734	1.38125529050311	0.881284102354576	0
Stercobilinogen	0.304118098646389	1.40415538977869	0.881284102354576	0
Protoporphyrinogen IX	-0.237008712459897	-1.23996703442142	0.881284102354576	0
PA(10:0/18:3(9,11,15)-OH(13))	0.238938269964645	1.09064794852787	0.881284102354576	0.235333333333333
Gingerglycolipid A	0.344743658315231	1.31409529230299	0.881284102354576	0
Gingerglycolipid B	0.337466609433406	1.24631932289627	0.881284102354576	0
Thymine	0.521410916503098	0.367368806990836	0.363772850244522	0.737893719806763
Furo[3,2-c]pyran-4-one	-0.779869568783236	-1.19904165475673	0.363772850244522	0.298095238095238
Hypoxanthine	0.877470310458581	0.679590597772914	0.0557480653916863	0.434367346938776
3-Aminosalicylic acid	-0.682379487652989	-0.814138191461571	0.363772850244522	0.389135135135135
Arecoline	0.12289060290637	0.572424277261816	0.916831542783995	0.298095238095238
Pyridoxal	0.437307283738671	1.00290082999308	0.699500738797364	0.298095238095238
Ecgonine	0.113868248810823	0.625306710734377	0.940359217668546	0.298095238095238
Dimethyl pimelimidate	0.545621253224659	0.467085665230177	0.398317543535233	0.703329411764706
1,8,15-Heptadecatriene-11,13-diyne	-0.262688446492887	-0.935123136873298	0.887871889480255	0
Osthenol	0.684078717280121	0.963167259636913	0.363772850244522	0.335357142857143
Adenosine	0.322735255229173	0.77810487493088	0.699500738797364	0.298095238095238
4,11,13,15-Tetrahydroridentin B	-0.730878481168615	-0.64440090995818	0.266880802986514	0.486888888888889
Octadecanamide	0.662154700770172	0.392837003155395	0.363772850244522	0.792130769230769
Octa-3,5-dienedioylcarnitine	0.590080699766961	1.11520351477209	0.673477414684832	0.298095238095238
Tyrosol glucuronide	-0.399765172683885	-0.21574690330893	0.398317543535233	0.876045325779037
Docosapentaenoic acid (22n-3)	0.690530013035198	0.513016239550235	0.363772850244522	0.73555
Drospirenone	0.343556160939789	1.33444064387574	0.911084125062442	0.298095238095238
DG(8:0/10:0/0:0)	-0.346778095779393	-0.84215749646445	0.75210993577123	0.298095238095238
alpha-Micropteroxanthin B	0.259553843845049	0.604007866964496	0.699500738797364	0.298095238095238
strophanthidin	0.250985580040358	1.17368500904523	0.911084125062442	0.298095238095238
5-Heneicosyl-1,3-benzenediol	0.564389258723748	-0.118830079145777	0.363772850244522	0.975726795096322
MG(22:4/0:0/0:0)	0.476996156695878	0.546123167566146	0.363772850244522	0.447142857142857
Flurandrenolide	0.69611928286798	0.691632069104662	0.363772850244522	0.555010309278351
Citreoviridin D	-0.375556792180061	-0.840217084913985	0.70645864458071	0.298095238095238
N1,N10-Dicoumaroylspermidine	0.6720779705056	1.60799953869529	0.363772850244522	0
1,24,25-trihydroxyvitamin D3	0.525486759486694	0.817935259942016	0.363772850244522	0.3756
PA(18:3(9,11,15)-OH(13)/10:0)	0.316125170122228	1.18858674102129	0.911084125062442	0
PA(20:1/6 keto-PGF1alpha)	0.389248041272598	0.967372611091548	0.699500738797364	0
PG(20:4/TXB2)	0.499820676307798	1.21440748196837	0.405002902539321	0
