lfc_preHIVNonHIV	lfc_group1g4	q_preHIVNonHIV	q_val
tetrapyrrole biosynthetic process	-0.147340954621443	-0.198112227612671	0.0321056215566379	1
tryptophan biosynthetic process	-0.12510645601913	-0.12276064276677	0.0321056215566379	0.488571428571429
outer membrane	-0.351955805192177	-0.172146454510236	0.0214994831487182	0.842003610108303
hydroxymethylbilane synthase activity	-0.154847536608404	-0.249434078852787	0.0497445144830518	1
glycine-tRNA ligase activity	0.145044174938595	0.160687101753774	0.0407780803062984	1
glycyl-tRNA aminoacylation	0.145044174938595	0.160687101753774	0.0407780803062984	1
heme binding	-0.167654204789952	-0.134743912871401	0.0156603245011102	0.488571428571429
oxidoreductase activity, acting on other nitrogenous compounds as donors	-0.160325224701953	-0.204222624117223	0.0232431626320392	0.174590163934426
glutamyl-tRNA reductase activity	-0.184841203033659	-0.197179168107939	0.00704889095166756	1
branched-chain amino acid transport	0.146735026686365	0.182493991238958	0.025906272795931	1
efflux transmembrane transporter activity	-0.547962664802498	-0.127018389576705	0.0673663238883241	0.999469234382339
DNA-(apurinic or apyrimidinic site) endonuclease activity	0.238416771615281	0.259898439401659	0.00184072215576168	1
thymidine kinase activity	0.131973007916433	0.29894668484305	1	0.0308695652173913
xylan 1,4-beta-xylosidase activity	-0.227374057035104	-0.2668648557997	0.0321056215566379	0.18031746031746
oxidoreductase activity, acting on X-H and Y-H to form an X-Y bond, with a disulfide as acceptor	0.213947736523662	-0.044992156214273	0.0317999579758265	0.999469234382339
double-strand break repair via homologous recombination	-0.195773665126971	-0.340737812637512	1	0.115581395348837
aspartate-semialdehyde dehydrogenase activity	0.203692169118991	0.238633256200621	0.00948843416342202	0.174590163934426
acetate CoA-transferase activity	0.059875625532944	0.27359380265554	0.706462273087698	0.0308695652173913
anthranilate synthase activity	-0.169678381356932	-0.270305311346688	0.0342416234451278	1
fumarate metabolic process	0.254522227621253	0.280304048962573	0.0365166447478551	0.299313725490196
tricarboxylic acid cycle enzyme complex	0.255614305484962	0.28274179001104	0.0367951185445164	0.278144329896907
sulfate reduction	-0.163807707503332	-0.271757012592153	1	0.132206896551724
'de novo' UMP biosynthetic process	0.230691789014608	0.237818258721985	0.00896822443046844	0.253961538461538
xenobiotic transport	-0.60217106853558	-0.403525705337171	0.00948600048877997	0.649171348314607
glycopeptide alpha-N-acetylgalactosaminidase activity	-0.375680514915329	-0.666193438240968	0.126970486594285	0.0614423076923077
Type III site-specific deoxyribonuclease activity	0.210690026877728	0.373580231881107	1	0.0614423076923077
threonine biosynthetic process	0.159160540908326	0.272361608561583	1	0.0774545454545455
glutamate-1-semialdehyde 2,1-aminomutase activity	-0.156423621263537	-0.19433353036141	0.0470965268229741	1
isoleucine biosynthetic process	0.160518377809928	0.240235518594689	1	0.0614423076923077
superoxide metabolic process	-0.449016040269548	-0.387024703554859	0.00729327561621538	0.39192
LPPG:FO 2-phospho-L-lactate transferase activity	0.285180988425545	0.323832255168662	0.0214994831487182	0.240627615062761
ferric iron binding	-0.198264344764496	-0.198239897589466	0.0449188614344761	0.446378132118451
superoxide dismutase activity	-0.432455125948857	-0.215847591052742	0.0172000863488226	0.788888888888889
tetrahydrodipicolinate N-acetyltransferase activity	0.287659986813542	0.26465372465909	0.0226247140267848	0.47590021691974
crossover junction endodeoxyribonuclease activity	0.0485062131360337	0.352364418832142	0.844965179551271	0
organic phosphonate catabolic process	-0.49188425595579	-0.4716729715836	0.00173399591212707	1
polysaccharide binding	-0.480112593162378	-0.387804942246806	0.0695664851190148	0.726075471698113
catalase activity	-0.569628304220341	-0.578463362476858	0.0574953195669585	0.482860169491525
septin ring assembly	0.480259629563355	0.507487553351291	0.00256393466343697	0.0774545454545455
septin ring	0.480259629563355	0.507487553351291	0.00256393466343697	0.138311688311688
dolichol-linked oligosaccharide biosynthetic process	-0.26435421767114	-0.351998291935207	0.0214507761149966	1
lactate oxidation	0.35714823009224	0.712127159956542	0.0537743975970899	1
2',3'-cyclic-nucleotide 3'-phosphodiesterase activity	0.474307161707712	0.477692042415629	0.00680112436027364	0.248072289156627
2'-5'-RNA ligase activity	0.474307161707712	0.477692042415629	0.00680112436027364	0.288813559322034
HslUV protease complex	0.493122217302661	0.713449259002816	0.00725741378540765	1
carbon-carbon lyase activity	-0.509637651081973	-0.589633948053757	0.0132161984198793	0.240627615062761
glutamate decarboxylase activity	-0.719828565284031	-0.460818040327363	0.00597090847879998	1
glutamate metabolic process	-0.719828565284031	-0.460818040327363	0.00597090847879998	1
lipoate biosynthetic process	-0.754055486230872	-1.07559586040817	0.00474379172034485	0.115581395348837
lipoate synthase activity	-0.754055486230872	-1.07559586040817	0.00474379172034485	0.0614423076923077
trehalose biosynthetic process	-0.898652611948577	-0.972433716846102	0.000310444114527847	1
threonine-type endopeptidase activity	0.429694661098085	0.703507491533949	0.0460988953279407	1
D-proline reductase (dithiol) activity	0.256779083709042	0.0632105808168121	0.0387579537486923	0.999469234382339
cobalt ion binding	0.546909443711999	0.805595353064419	0.000434483754549593	0
ribonuclease M5 activity	0.381865146371132	0.395391324655617	0.00126392895328538	1
2-aminoethylphosphonate-pyruvate transaminase activity	-0.527321077684579	-0.629426317379449	1	0.0501176470588235
ADP-glyceromanno-heptose 6-epimerase activity	0.255676428052286	0.713045577372622	0.383009865497316	0.126222222222222
protein-N(PI)-phosphohistidine-lactose phosphotransferase system transporter activity	0.316120557818584	0.695913640914732	1	0.0614423076923077
lipoyl(octanoyl) transferase activity	-0.808526322846478	-0.524039500213526	6.90968084444959e-05	1
siderophore transmembrane transporter activity	0.19541544859095	0.603641695913981	0.376303367104251	0.0774545454545455
cobalt ion transmembrane transporter activity	-0.268077039249302	-0.336717605509854	0.0293957142007598	1
allantoin catabolic process	0.607823470917056	0.809045615616669	0.000163573673581582	0
ureidoglycine aminohydrolase activity	0.622308404904342	0.689467645825472	5.58772498669903e-05	1
response to reactive oxygen species	-0.468527538206372	-0.62799652951811	0.0193527357088368	0.210891089108911
glycine metabolic process	-0.621463556746052	-0.342546659142697	6.33019965062369e-06	1
formyltetrahydrofolate deformylase activity	-0.710468679932392	-0.696103441683344	0.00298708494762554	0.236666666666667
allantoinase activity	0.609969569047673	0.776117244669449	2.45580457890254e-05	0
L-ribulose-phosphate 4-epimerase activity	-0.150933896097493	-0.419298956889	0.440058567641982	0.132206896551724
nucleic acid phosphodiester bond hydrolysis	0.275186345390298	1.05701948055524	0.461856411795266	0
proline catabolic process to glutamate	-0.327317466808702	-0.260866545151825	0.0203722053015735	0.785692963752665
