Metabolites	t1	cor_diff	p	BH_p
Taurocholic acid	s__Phocaeicola_vulgatus	0.629344507812523	2.32069889449451e-06	0.00292175990816858
Taurocholic acid	s__Bacteroides_stercoris	0.398973453850638	0.00241164520712926	0.0323006522954866
Taurocholic acid	s__Bacteroides_thetaiotaomicron	0.487870904597652	0.000257086613477283	0.0172019004932654
Taurocholic acid	s__Phocaeicola_massiliensis	0.448296895633976	0.00125680383975358	0.0271663980196099
Taurocholic acid	s__Prevotella_sp._Marseille_P4119	0.478056234306235	0.00163805946223968	0.0296123978021645
Glycocholic acid	s__Phocaeicola_vulgatus	0.552923906784313	4.67654394728221e-05	0.011505068610506
Glycocholic acid	s__Bacteroides_fragilis	0.564169070098048	3.63911302220499e-05	0.0114541082373902
Glycocholic acid	s__Bacteroides_stercoris	0.396240855877134	0.00357595358077189	0.0389211062239975
Glycocholic acid	s__Bacteroides_thetaiotaomicron	0.458299216101255	0.000771490296511443	0.0206660911342108
Chenodeoxycholic acid	s__Ruthenibacterium_lactatiformans	-0.366963943671389	0.00478191263314287	0.0434274268379468
Chenodeoxycholic acid	s__Flavonifractor_plautii	-0.358046330138148	0.0088942482819331	0.0590954055439842
Deoxycholic acid	s__Blautia_faecis	-0.424837857755319	0.00162678331525058	0.0296123978021645
27-Norcholestanehexol	s__Slackia_isoflavoniconvertens	-0.394260310312568	0.00307018140729174	0.0364656452054746
27-Norcholestanehexol	s__Anaerotardibacter_sp._CLA_AA_M13	-0.398971704668224	0.00198777853775257	0.0307504443519598
27-Norcholestanehexol	s__Clostridium_spiroforme	0.429381445001749	0.00402770424202242	0.0405670371256498
27-Norcholestanehexol	s__Clostridium_sp._AM42_36	0.496878622155698	0.00190290516665985	0.030574017368152
7-Sulfocholic acid	s__Blautia_massiliensis	-0.446512863432794	0.000635899120262555	0.0206660911342108
7-Sulfocholic acid	s__Slackia_isoflavoniconvertens	-0.536514388628588	6.83691792964803e-05	0.011505068610506
Glycohyodeoxycholic acid	s__Bacteroides_stercoris	0.37675882070072	0.00616183897817517	0.0484859704595159
