t1	t2	cor_diff	p	BH_p
s__Holdemanella_biformis	s__Oscillibacter_sp._ER4	-0.495975455590777	3.95718505248488e-05	0.0155434121052311
s__Holdemanella_porci	s__Oscillibacter_sp._ER4	-0.452606295061043	0.000348295678519112	0.0407355371348675
s__Holdemanella_biformis	s__Vescimonas_coprocola	-0.38607034438391	0.00132347547143187	0.0685616371500049
s__Holdemanella_biformis	s__Vescimonas_fastidiosa	-0.376608691942645	0.00163332175042818	0.074584468752856
s__Holdemanella_biformis	s__Oscillibacter_sp._MSJ_31	-0.421523890732832	0.000305134681273915	0.0387407375369006
s__Oscillibacter_sp._ER4	s__Holdemanella_sp._MSK_7_32	-0.383853508819148	0.00259314953796608	0.0905059344176459
s__Ruminococcus_bicirculans	s__Holdemanella_sp._MSK_7_32	-0.432315231927953	0.000589598177474169	0.052994749617674
s__Holdemanella_biformis	s__Pseudoflavonifractor_sp._MSJ_30	-0.378818289557971	0.00129741116974494	0.0685616371500049
s__Holdemanella_sp._MSK_7_32	s__Mitsuokella_jalaludinii	-0.42940339557593	0.00250932249151185	0.0905059344176459
s__Holdemanella_porci	s__Clostridium_sp._BIOML_A1	-0.428611544689559	0.00240128361284217	0.0905059344176459
s__Holdemanella_biformis	s__Yeguia_hominis	-0.514569123288177	1.72880275990881e-05	0.00990892115221068
s__Holdemanella_biformis	s__Intestinimonas_sp._MSJ_38	-0.447569008467234	0.000413081837617341	0.0458254335343883
