r1.g1	r2.g2	r3.g3	r4.g4	adj.p.trend
phosphoribosylformylglycinamidine cyclo-ligase activity:s__Prevotella_copri	0.12781954887218	-0.199095022624434	-0.0644352482960078	-0.667112299465241	0.00443036363636364
phosphoribosylformylglycinamidine cyclo-ligase activity:s__Prevotella_pectinovora	-0.0934762911507098	-0.44202626641651	-0.504728107713182	-0.75	0.0079211282051282
phosphoribosylformylglycinamidine cyclo-ligase activity:s__Prevotella_stercorea	-0.0333031674208145	-0.22405557967868	-0.225194372454646	-0.685494652406417	0.00985192727272727
phosphoribosylformylglycinamidine cyclo-ligase activity:s__Prevotella_sp._885	0.115009380863039	-0.31497975708502	-0.324496399123265	-0.556149732620321	0.0237600695652174
carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity:s__Oscillibacter_sp._ER4	-0.0133926090580717	-0.034190966266438	-0.240108401084011	-0.592971734148205	0.0253377264957265
carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity:s__Blautia_massiliensis	0.0851347596554598	0.101913875598086	0.20564643397438	0.624446142093201	0.0306564
phosphoribosylformylglycinamidine cyclo-ligase activity:s__Oscillibacter_sp._ER4	-0.24306751875521	-0.143510577472842	-0.272560975609756	-0.673644003055768	0.0395505217391304
phosphoribosylformylglycinamidine cyclo-ligase activity:s__Prevotella_hominis	0.106694855532065	-0.291181988742964	-0.318651497755975	-0.50668449197861	0.0395505217391304
carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity:s__Blautia_obeum	0.311898466419884	0.0708133971291866	0.0924347797694844	0.648586707410237	0.0395505217391304
carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity:s__Simiaoa_sunii	0.185551542095026	-0.04688995215311	-0.288802336903603	-0.398624904507257	0.0415394911242603
phosphoribosylformylglycinamidine cyclo-ligase activity:s__Blautia_obeum	0.221364357482813	0.173615857826384	0.126957695279764	0.635446906035141	0.0523991155778894
carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity:s__Dysosmobacter_sp._BX15	-0.178529878371232	-0.154102279518484	-0.266094187046288	-0.632085561497326	0.0540825544554455
phosphoribosylformylglycinamidine cyclo-ligase activity:s__Phascolarctobacterium_succinatutens	-0.124390995991366	-0.183267457180501	-0.318204374546704	-0.605645161290323	0.0756196742424242
carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity:s__Dorea_sp._NSJ_36	0.232203389830508	0.00933866971602821	0.279496482784154	0.559826203208556	0.0936246246056782
phosphoribosylformylglycinamidine cyclo-ligase activity:s__Prevotella_sp._Marseille_P4119	0.0172473867595819	-0.193554006968641	-0.260358391608392	-0.460734149054505	0.11841949
carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity:s__Dorea_sp._OM07_5	0.0651419858967029	0.206095791001451	0.267067669172932	0.491935483870968	0.119640748166259
carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity:s__Oscillibacter_sp._MSJ_31	-0.151081239041496	-0.136002886002886	-0.149943949238689	-0.496409472880061	0.180910960985626
carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity:s__Intestinimonas_sp._MSJ_38	-0.156821339260906	-0.0430622009569378	-0.235998193315266	-0.376317799847212	0.364654780864198
carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity:s__Suilimivivens_aceti	-0.162656293414837	-0.268967874231032	-0.390233018796051	-0.380290297937357	0.480460166666667
phosphoribosylformylglycinamidine cyclo-ligase activity:s__Intestinimonas_sp._MSJ_38	-0.232953598221728	-0.209706083390294	-0.245573622402891	-0.406264323911383	0.602489425925926
