"","c__Clostridia","f__Lachnospiraceae","f__Oscillospiraceae","f__Ruminococcaceae","f__Veillonellaceae","g__[Eubacterium]_coprostanoligenes_group","g__[Eubacterium]_eligens_group","g__[Eubacterium]_hallii_group","g__[Eubacterium]_ruminantium_group","g__[Ruminococcus]_gauvreauii_group","g__[Ruminococcus]_gnavus_group","g__[Ruminococcus]_torques_group","g__Acidaminococcus","g__Actinomyces","g__Agathobacter","g__Alistipes","g__Anaerostipes","g__Bacteroides","g__Bifidobacterium","g__Bilophila","g__Blautia","g__Butyricicoccus","g__Butyricimonas","g__Catenibacterium","g__Christensenellaceae_R-7_group","g__Clostridia_UCG-014","g__Clostridia_vadinBB60_group","g__Clostridium_sensu_stricto_1","g__Colidextribacter","g__Collinsella","g__Coprococcus","g__Dialister","g__Dorea","g__Escherichia-Shigella","g__Faecalibacterium","g__Flavonifractor","g__Fusicatenibacter","g__Fusobacterium","g__GCA-900066575","g__Haemophilus","g__Holdemanella","g__Howardella","g__Incertae_Sedis","g__Intestinibacter","g__Lachnoclostridium","g__Lachnospira","g__Lachnospiraceae","g__Lachnospiraceae_NK4A136_group","g__Lachnospiraceae_UCG-004","g__Marvinbryantia","g__Methanobrevibacter","g__Mitsuokella","g__Monoglobus","g__NK4A214_group","g__Odoribacter","g__Oscillibacter","g__Parabacteroides","g__Paraprevotella","g__Parasutterella","g__Peptoniphilus","g__Prevotella","g__Romboutsia","g__Roseburia","g__Ruminococcus","g__Slackia","g__Streptococcus","g__Subdoligranulum","g__Sutterella","g__Turicibacter","g__UCG-002","g__UCG-003","g__UCG-005","g__UCG-010","g__uncultured","g__Veillonella","o__Lactobacillales","o__Oscillospirales","s__[Clostridium]_leptum","s__[Eubacterium]_siraeum","s__Alistipes_obesi","s__Alistipes_shahii","s__Alistipes_sp.","s__Anaerostipes_hadrus","s__bacterium_YE57","s__Bacteroidaceae_bacterium","s__Bacteroides_stercoris","s__Bacteroides_vulgatus","s__Campylobacter_hominis","s__Clostridium_sp.","s__Dorea_longicatena","s__Eubacterium_ramulus","s__Fusobacterium_mortiferum","s__gut_metagenome","s__human_gut","s__Lachnospiraceae_bacterium","s__Massiliprevotella_massiliensis","s__Megasphaera_elsdenii","s__metagenome","s__Parabacteroides_merdae","s__Prevotella_bivia","s__Prevotella_buccalis","s__Prevotella_corporis","s__Prevotellaceae_bacterium","s__Trichuris_trichiura","s__uncultured_Alistipes","s__uncultured_bacterium","s__uncultured_Blautia","s__uncultured_Clostridium","s__uncultured_Desulfovibrionaceae","s__uncultured_Dorea","s__uncultured_Eubacterium","s__uncultured_Lachnospiraceae","s__uncultured_marine","s__uncultured_organism","s__uncultured_prokaryote","s__uncultured_Roseburia","s__uncultured_rumen","s__uncultured_Veillonellaceae","s__unidentified","Unassigned"
"c__Clostridia",0,-0.299946655615268,0.790327431321633,0.508418707629736,0,-0.055796637339411,-0.00188419809628276,0.0774251371661218,0.183735022189051,0.591721435109953,0,0.469365934237949,0,0,0.0458171325317648,0.142458304801811,0.860785068430124,-0.0621418420666359,-0.136979766964268,-0.82558156562314,0.320829826353138,0.403655073938388,-0.673424489110814,0.0932913612134484,0.397242114128509,-0.248624323426608,0.0400928195363408,-0.121590042315051,0.521059463020907,0.597156009898069,0.629735421322832,-0.133837040293634,0.47530303606778,-0.16279383878022,-0.369880470840759,-0.456742441750733,0.515435001585265,-0.302368262473118,-1.08087943909115,-0.701474127946856,1.38574332123158,-0.196429959536879,-0.250119697486811,1.1431583052255,0.328622600697954,-0.855392988658334,-0.0668657570430649,-0.100080237441768,-0.321049861322016,0.273195865506161,0,-0.705543233204587,-0.514384205987765,0.0347857066514209,-0.67854513549652,-0.259498156120756,0.556732514349415,-0.452899337941512,-0.132513050735087,0,-0.19711039005392,0.860672600081936,-0.100318423477079,-0.273452956519121,0.433529587182058,-0.468936282825797,-0.499954143712526,-0.889341445639995,0.760234444115569,0.0935042808944838,0.419646537966752,0.380119025974634,0.179699719202092,0.511402223010863,0,-0.408326023938946,0,0.287876232675512,0.575342488195382,-0.260189510293503,0.00588094516852147,-0.217456239770307,-0.556445066892636,0,0,0.0142473837796172,-0.390692624974012,0,-0.562791181047459,0.716685163034602,0.51103742547289,0,0.310873427971177,-0.31155145826839,-0.313713723533041,-0.347437463337878,0,0.0433943498002891,-0.0344599758178857,0,0,0,-0.409618926325562,-0.611438033266903,-0.224512304133357,-0.097826934000678,-0.650221850077085,0.520837225668788,-0.134425643632621,0.372640802922609,0.361248858092092,0.051569342952193,0.191621442942971,-0.020433396502484,-0.105852580349738,-0.509984641271797,0.0419210042077406,0.487179328983361,-0.438599954524129,0
"f__Lachnospiraceae",-0.299946655615268,0,-0.588976137234324,-0.133980585710047,0.309588433159608,-0.26916994963036,0.466270895022572,0.138373609023278,-0.0600476065854612,-0.355841489371548,0.351612183796,0.195771135855698,0.471443610466483,-0.328204747889106,0.203175871081535,0.654737700631228,0.256386335522817,0.216176232554698,0.0776381510916622,0.394808953281772,0.131464745416774,0.289831737100716,0.0890125562880524,-0.504049458099928,-0.276364738246733,0.153768830058515,-0.500165284729356,-0.0142147067262961,-0.52207550546132,-0.166629944917545,-0.0642056971827994,0.287923818102504,0.0314158324009489,-0.189242718542216,-0.00438299461423378,-1.04969722128923,0.0602095004349707,0.109763718949642,-0.0834407357568889,0.216493492913782,-0.00074986481656094,-0.244565556001097,0.0683519613530297,0.529634973673718,0.328815924141379,0.277287912564278,-0.323565787346939,-0.0361703674734468,0.0713334924677358,-0.409747526378034,-0.0262988534783438,-0.270507001799202,0.514596641568125,0.52177210376956,0.981031162790252,-0.309582833522358,0.0513552458189232,0.247970432793324,0.179833100334105,-0.784785075897801,-0.0675479349277587,0.141635005843849,0.351152047196321,0.120875347542018,-0.160093399975418,0.285231368833676,0.0595196767002175,0.26806947188132,0.772943551476238,-0.530639659495668,0.0434581304330611,-0.198887744730217,0.0691346454506552,-0.0201883707674449,0.34413262431527,0.120454871657906,-0.630804487584151,-0.118515987868303,0.0569566664908973,0.00604973975324674,0.185247132106643,-0.0755868600709182,-0.0920211686997253,-0.346193976970205,-0.0286288092247157,0.269360378528266,0.0693535174139098,-0.474954685899505,-0.0146091592987527,0.18726315803514,0.0693127759369178,-0.252494868104015,-0.320042990653837,-0.39782868298422,0.35465291233611,0.0440088148619689,0.593674512143115,-0.111719301657847,0.274213515748816,0.0780606165547292,-0.486906751013245,-0.60222321859193,0.0746721047381911,0.103624845428884,0.129813878709972,-0.560763024409517,-0.635082670413081,0.326632058357549,-0.255171908558493,-0.14315568277386,0.307685158247343,0.36705168257648,-1.02746054374977,-0.440719191076845,-0.106117624443862,-0.0304526981880778,-0.425104520992648,0.140024132726173,-0.206768059710535,-0.513360987538938
"f__Oscillospiraceae",0.790327431321633,-0.588976137234324,0,-0.270638637371134,-0.49621700311286,-0.500743201808657,0.321075867864838,0.0800419267162222,-0.0132784545335309,-0.167785647596763,0,0.0492539130673835,-1.14346774172745,-0.252997912082651,0.80448317974929,-0.188694542996899,0.367518355193235,-0.0854463998031006,0.106135164140915,0.263596352271791,0.657155823656874,0.307632261469292,0.0916001113753481,-0.112546876681544,-0.253703044036711,0.630334582464398,-0.315034846942891,-0.242760703335423,0.0112827859080628,0.587436256010002,0.379921310268373,0.398581140381047,0.0738335381860234,0.175470849158623,0.293190035713175,-0.655714407734054,-0.0673746856032322,-0.279353699002714,-0.0229149038898708,0.293847550704185,-0.00142798857794196,-0.310620324410446,0.0435241291730315,0.0283928826775163,0.443215088555582,0.329571004133261,-0.537885104201974,-0.703953858530982,-0.337298658176472,-0.563224548398804,0.384093583087358,-0.176839711028246,-0.497613417188056,-0.308845057011356,-0.0915558348453486,-0.176898146311807,-0.133016248260061,0.601938820159461,0.271665516489871,0.0672203205886252,-0.097407676385934,0.272142024280388,-0.0393071541344079,0.319916735166867,0.0555112824339936,0.257851399733548,0.363067401689785,-0.107032788913569,0.253594401781495,0.0215143088862192,-0.458256247175876,-0.248303648928782,-0.466347515172861,-0.221876350951803,-0.0928952348235949,0.0928565205364192,0.224934551718402,-0.224813002916051,-0.409985328685058,0.191159383630366,-0.407888578295783,0.609006328023665,-0.292413948591332,-0.0270118649074543,-0.50855300114996,-0.461727977579248,-0.360547617964084,0.652642840998408,-0.665367120801515,0.041389069022636,0.388508649616632,0.446188071012971,-0.250678468099966,-0.0942134641062314,0.181856120846607,0.128473472210718,0.696303630253048,-0.25491198493351,-0.208826498688278,0.051569342952193,0.278432860956591,-0.0314153091756935,-0.264459193197186,0.495023879144999,0.107439196784304,-0.157344300805148,-0.702382916709304,-0.610608611754342,-0.181066329384042,0.148079026756555,0.106347547281125,0.593410108108337,0.0298988904854541,-0.00743699728128255,0.111434901029682,-0.705420075832278,0.0509172689559628,0.243464613991326,-0.153172544021776,-0.402805394743377
"f__Ruminococcaceae",0.508418707629736,-0.133980585710047,-0.270638637371134,0,0.460913311531207,-0.410419181504598,-0.451045552789859,0.0702722622669826,-0.521261550109416,0.345985260405043,-0.120895979997893,-0.0175044801039766,0.028009019008974,0.0171737210753363,0.321049142257724,0.04310350881844,0.233441660759681,0.137980132356368,0.422280867701477,0.535920041406902,0.486344604377712,0.188921477544413,0.140879024254385,0.162565308376402,-0.413168703837434,-0.100816705732048,0.241167487874262,0.244905920636398,0.578363941066662,0.172879764717934,0.390200860446897,-0.131091117455831,0.298862013729573,-0.11443865650734,0.141199946015298,-0.419929907328038,0.467877433241344,-0.49999288014015,-0.531765897595686,0.191715272448265,-0.57859006618068,0.215691418309094,0.189160464948494,0.137962352547337,-0.0222061651935507,0.0204008673805288,0.253013556133785,-0.804518528806768,-0.560513997892428,-0.179028806179939,0.168964986890071,-0.603247124215156,-0.14086847667223,-0.23059750858989,-0.273424293055287,0.226409709347338,0.645428276063649,0.143394259702229,-0.110155095804281,0.133837472627805,-0.569521369128011,0.538161528189523,-0.299911603144134,-0.226638607721311,0.374886002100655,0.277951830500262,0.205584882124304,-0.495260155529705,0.319844255808171,-0.393713888958034,-0.415124973006909,0.240013167831209,-0.777070252749477,-0.250143930405113,-0.151228521915575,-0.451040083060914,0.0301567204492003,0.243296262816496,-0.412103651417116,-1.0380187847421,-0.175602935989346,-0.0551643592623415,-0.483329182788393,-0.0353589970601488,0.0571281261828379,0.976712115475703,-0.0240769058931812,0.968672178791872,0.644191989867759,-0.117936252971685,0.41347821326593,0.0171737210753364,-0.296890271091047,-0.426846007375111,0.120520318082831,0.0905049106498053,-0.149336808009681,-0.556532518444115,0.15920114180159,0.432674389441465,-0.372581364734996,0.0117638807081313,-0.000472877948390901,0.0399977169432413,0.209023246786039,-0.393358060124369,0.529462538311633,-0.0530627944463442,0.405747281080818,0.469476674232529,0.427318749017857,0.365037957376946,0.0402007349430832,-0.332252742470373,-0.333330220295677,0.609612528001707,-0.376435483345657,0.116885966573869,-0.24305128893018,0.129276079799674
"f__Veillonellaceae",0,0.309588433159608,-0.49621700311286,0.460913311531207,0,0,0.179699719202092,-0.442061612499895,0,0.00284314573584703,0,0.567583701078517,0,0,-0.761353930871509,-0.141504720568785,-0.300055764910674,0.0844970990806116,-0.246202227814775,0.0303261859220925,-0.282249102403965,0.430241610945642,0.631623290713663,0.0635501414995583,-0.262255100554439,0,0,-0.0232506964553327,-0.17477148097175,-0.328103730482528,-0.0462396239690938,-0.093010597247431,-0.294077401632681,0.245835383337231,-0.0357925415983034,0.0630619926085576,-0.894596309195336,0.705543233204587,0.355349655162079,-0.272006877817344,-0.123659272879161,0.31515297790188,-0.0708775096449823,-0.0345614953230323,0.116282955370558,-0.266885877404706,0,0.227545860986026,0.582996279960921,-0.40132674861392,-0.659813847226612,-0.168693078613107,0,0.179699719202092,0.370921556211901,-0.159052300136228,0.072278305012853,0.0400928195363408,0,0,-0.0163428511774356,-0.728144953997564,-0.0691580213458065,0,0.0133511981127479,-0.0966013908028882,-0.010205737661297,0.805542162183015,0.134425643632621,0.240722412687088,0.815020893478441,0,0,0.0647413976326577,-0.00667525703314239,0.424577371035842,0,-0.00572397992947209,-0.452899337941512,0,0.0143840713232736,0,0.204980133133472,0,0,-0.323407127888447,0.025672510097259,0,0,0.757187871126124,1.192827226028,0.313713723533041,0.60406221662321,-0.0654978658601265,0,-0.181847944390287,0,0.269046329678449,-0.0287092077713842,0,0,0,0.385789927377207,-0.0542078735742798,0,0.248003267721397,0,-0.408015667258065,0,-0.133029618035457,0.877574460827212,0,0,0.700494485459172,-0.292235630481721,-0.191621442942971,-0.236607399675893,0.304592762006558,0.624106662496552,0
"g__[Eubacterium]_coprostanoligenes_group",-0.055796637339411,-0.26916994963036,-0.500743201808657,-0.410419181504598,0,0,-0.0831874787326842,0.381072799244811,-0.0358880172718029,0.0176986640566129,0,0.450276251977085,-0.165840085286047,0,0.476483352949552,0.0917267357296924,0.342151139618879,0.0307685065636562,0.0611799627318118,0.616595723177805,0.34517491063223,0.814857729168773,0.0235754916032356,0.528412629918922,-0.283706633855273,0.120823762664984,-0.341524961121737,0.20491800874335,-0.279986543916255,0.178672317323636,0.156963002221476,0.263052935146052,0.139980113006427,0.260189510293503,0.533084374267836,-0.203207489688547,-0.0986009503186115,-0.0316053575222724,0.272136491705534,0.287358161855207,0.105328972390474,-0.332839835753042,0.04050478170732,-0.0783710003945958,-0.439188908565475,-0.195127113537314,-0.134031257447528,-0.317648806427925,-0.400385238064641,-0.0269918003596945,0.294489105295177,-0.266569969909706,0.189465523351332,-0.746532724469319,0.340899182168728,0.0982986661199798,-0.344930020295337,-0.0639953583946107,0.0745744103458,-0.507417068217665,-0.079603162794349,0.350558312135198,-0.478992211066662,-0.151510347505494,0.146303145971705,0.390836435946566,0.632584246983473,0.371494220457647,-0.400149081927007,-0.453421306323574,-0.30572661857987,0.0606835741866765,-0.202506072635422,-0.0958845632170279,0.0517094998706763,-0.262255100554439,0,-0.385026991148862,-0.52265314172842,-0.206940562485453,0.0399534829467287,0.092602794379189,0.381815003232462,0,0,0.129901910472651,-0.108530751672638,0,-0.192732554054082,-0.776485616074417,-0.217746556874665,-0.051569342952193,-1.01971581080523,-0.364314847837779,0.436310672082099,0.065932278479077,0.452899337941512,-0.383846794619489,0.0792371366218232,0,-0.00572397992947209,-0.203606946261715,0.20117897980685,0.397857153675238,0.522086607252739,-0.518358780617633,0.114042266919305,-0.112266816703715,-0.0157981964319718,0.21844886372389,0.295271149799531,0.652429378293156,-0.148066523925395,0.0999938627232006,-0.409597005320659,0.367533329526736,-0.520608058557909,-0.397230919504191,-0.625183253593552,0
"g__[Eubacterium]_eligens_group",-0.00188419809628276,0.466270895022572,0.321075867864838,-0.451045552789859,0.179699719202092,-0.0831874787326842,0,0.0379588522617855,0.331175105127127,0.531346547127258,0,-0.0187891923083911,0.10195775600025,0,0.306836423392337,-0.298556869813957,0.196982862533321,-0.296322837009241,-0.466965732028907,-0.318830856291826,0.355859644257992,0.19492202263991,-0.164356512748328,0.279897257974135,-0.513363262352832,-0.175480985423939,-0.488816971978055,-0.13129811495914,0.415988285008955,-0.189626575771978,0.149222330580191,-0.0204108331646261,0.187991745510693,-0.767424077075307,-0.148663772125007,-0.954574346853553,0.0893107152525547,0.0996935225169875,-0.00956800990979694,0.199926636425182,0.101875545919957,-0.128570513151997,0.150195947036066,-0.127406412145307,0.409816564683902,-0.196591129708134,0.491660340192543,0.0326992578636192,0.674977777565883,0.189006254357932,-1.01405738793476,0.283657052749048,-0.100245189291144,0.149538849992262,-0.277893516188881,0.314968229560441,-0.385664097925942,0.52199144066792,0.0954215809426461,-0.215660804282881,0.377161521781456,0.375045076991478,0.539320177276044,-0.219347730753179,0.460015823924287,0.579553406319207,-0.0948537789734008,0.0241010257813255,-0.671670593693726,-0.333331795462526,-0.133010565284025,-0.285554191904513,0.570862832185533,-0.276020812796642,0.444572847070874,-0.473303156423985,0.342827781329725,-0.0165119108795419,-0.511302261567813,-0.535547743046214,-0.127994669416395,0.0422758396932845,0.316892108328698,-0.555264258687457,0,-0.128432585016045,-0.0658741380823303,0,-0.34146841925145,0.307859563603343,0.114166669557252,0,-0.76102227740244,-0.377568527656759,0.195040246361774,0.343538440105172,-0.338892370926463,-0.0807702271208693,-0.290010842859484,0,0,0,0.761027768538684,0.181442455539347,-0.108508098926281,-0.415066457467353,-0.302653434065907,0.00900179564693544,0.11451791844388,0.023683983188548,0.128717001539804,-0.0184956563749327,0,-0.132043355131158,-0.490088067388849,0.175597927252741,-0.362668922210708,0.460520800502423,-0.088573214225615,0.0267078710071119
"g__[Eubacterium]_hallii_group",0.0774251371661218,0.138373609023278,0.0800419267162222,0.0702722622669826,-0.442061612499895,0.381072799244811,0.0379588522617855,0,-0.376954078307309,0.0260018090937258,0.0630619926085576,-0.149503673065054,0.482937466958475,-1.07225235201983,0.0624731533815375,-0.245716388139104,-0.115775494048793,0.0948701241753362,-0.505281951148475,0.507629601926142,-0.0984780253039226,-0.0915654278888533,0.68291154638616,0.573604337675285,-0.258467809218655,0.0769592412012996,-0.138281286529339,0.0270716668449143,-0.272193873982763,-0.0273344988278066,0.328249193892129,0.392783128047948,0.325733895222785,0.269358797014613,0.415028890870116,0.783391995161867,-0.043345036416287,-0.472924349886934,0.296134878075615,-0.519229912056899,0.137083596548504,-0.493633108672721,0.379185486203727,0.0643392336697476,0.232622581568436,0.0732244273731753,0.435228134857479,0.142070830396482,0.157865343511806,-0.0896139572084907,0.647335451751371,-0.190897854978351,0.0367399634761926,-0.362420372303418,0.035030213842848,0.253457574442138,0.127739329113964,-0.150410608142896,-0.274215196017272,-0.295589031451861,-0.015187001366585,-0.0608944049449494,-0.191410491349409,-0.312802390989424,-0.263268324273947,-0.382775684738243,-0.0362905688353801,0.510663551583802,-0.00399537921177465,0.302140668969924,0.168824318907461,0.112146869701069,-0.211125207866769,0.319702169640986,-0.387340139280456,-0.305118778052438,-0.266344752385205,0.235162324521243,0.0220417581071228,0.578477864393481,0.261858826773185,0.664493616583848,-0.265056702625932,1.02678419274035,0.213929930561023,0.084296168357262,-0.0531149733816144,-0.0445206045119086,0.429253390997643,-0.181963902929526,-0.0207926794346002,0.213468534241897,0.24096832468669,0.282762981267091,0.144176723173094,0.385621808373293,-0.944935717675533,0.221921845450878,0.0678539562926819,0.423971313178082,0.507525439737899,-0.31760838424498,0.153082282370909,0.332996597593567,-0.0541990400171873,0.221449099696786,0.223077452192733,0.164447886668085,0.951659096157995,0.00724751549710048,0.00804512572874818,-0.311946925972495,0.200695250986325,0.773978049879182,0.177535991518373,0.209892370246624,-0.0759739225322302,-0.195365813860855,0.354155269483875,-0.462536930711171
"g__[Eubacterium]_ruminantium_group",0.183735022189051,-0.0600476065854612,-0.0132784545335309,-0.521261550109416,0,-0.0358880172718029,0.331175105127127,-0.376954078307309,0,0.0627182795736824,0,0.255685558263156,0,0,-0.0516378267971928,0.150437751088624,-0.359868819499446,0.109660752454266,-0.298821388589121,-0.264656378816196,-0.455902277174906,0.302281847687455,-0.427882151977223,-0.248382816405124,-0.171749558387395,-0.0735788364171256,-0.151215045323998,0.0359430130906071,0.178818763847782,-0.429256275509842,-0.444041388387066,0.424112428040008,0.222412844276064,0.0685742313441461,-0.183563127487733,0,-0.427871648647022,0.210837160939611,0.0110694055628955,0.453931681523154,-0.450167932638414,0.139308634377667,-0.613376350873729,0,0.347555413936723,0.942699571045797,-0.294519604203112,-0.135269987697793,-0.00173827617429989,-0.108640233385143,-0.886549708885529,0.260747063144021,0.051569342952193,0.746343052055566,0.383095498744176,0.294727507904933,-0.0378082635212452,0.634507170398554,0,0,0.303378201739132,0.453650915301275,0.561084922138519,-0.067231999553794,0.192732554054082,0.371587521382603,-0.0520853220474845,-0.0708881507987655,0.242292501236036,-0.549778588042718,0.196413347293745,0.0693940376525239,0.350996120986759,-0.421153262536922,-0.051569342952193,0,0,-0.606926670963488,-0.495537258800154,-0.20176595932904,0.0126176541948413,-0.0922007771089126,-0.154818874089587,0.0171737210753364,0,0.517646305973529,0.284962544926429,0,-0.28501366091038,0.15693902525347,0.819297566808456,0,-0.329216201779148,-0.397348705556611,-0.275565109864664,0.262837093052961,0.277125909278258,0.142618269540985,0.167125835889888,0,0,0,0.46459614740627,0.258244338784885,0,-0.467945671125674,0.345749514293214,-0.171415597761006,-0.341258197231039,0.482974404546754,-0.0141303571971259,0.0866153238515227,-0.183735022189051,-1.10210463720911,-0.455107556393278,-0.663147180559945,-0.321583776997317,0.0968196194032044,0.257773395056826,0
"g__[Ruminococcus]_gauvreauii_group",0.591721435109953,-0.355841489371548,-0.167785647596763,0.345985260405043,0.00284314573584703,0.0176986640566129,0.531346547127258,0.0260018090937258,0.0627182795736824,0,0,0.159522788114047,-0.445040201915617,-0.143394661947098,0.410935478671958,-0.292312136344803,0.459686809452113,-0.060776225024082,-0.0607920471570634,0.302760760942498,-0.071709418979644,0.28605783004518,-0.368318619139904,-0.411622388953115,0.0224865382245214,0.828504516797325,-0.174264351526007,-0.0459800969210248,-0.801075004877812,0.0407395424497615,0.528385465223692,0.151975933603887,0.242978459520332,0.147855420469848,0.582508494746173,-0.0505229754344055,-0.0755740071778416,-0.0493764884963544,-0.0136660851554024,-0.0728051689107695,-0.117854377501022,0.103123476512285,-0.199416262006428,0.25086761539826,0.534483771951303,0.684412561043203,0.195624786462412,-0.142687706759682,-0.102159882088289,-0.0532557291580285,-0.0703315002619328,0.0142064832767576,0.444910596530908,-0.0346376239124958,0.150236083529351,-0.399163355459429,-0.337154597150506,-0.0629764697493297,-0.136212663571004,0.0934487544857421,0.24747471948545,0.077598411867696,0.0607020647534647,-0.366399439700495,-0.111132199388685,-0.0852931971578959,0.0874484692754096,0.197210321614356,0.37820612836033,0.0590983438686762,0.283923005872547,0.122049606874376,-0.131796531509346,0.263653129180729,-0.875845201953449,-0.43136704830258,0.446557101398494,-0.191502970576668,0.324715585646061,0.429748331558039,-0.083357867232365,0.277618316084741,0.254291310725465,0.765931798177595,0.202433776820578,0.114974005125581,-0.304337629390612,0.186719562868041,-0.373988956661455,0.568707513427492,0.474532839188747,0.481005777998013,0.5808940114296,-0.0344661396886228,0.398478612680927,0.145482827536954,-0.278954089763741,0.145445316990925,-0.390025275503474,0,0.366856026743476,0.0914433970204694,0.125506577716371,0.441095032249122,-0.203028096271539,0.0571677046021871,-0.240493905957968,0.142903541534576,-0.143153804495311,0.0557602967705969,-0.0395614537555384,0.573908268563489,-0.379231197377614,0.183509704426593,0.201833915445252,-0.704462919946845,0.0518939417275989,0.166069432619723,-0.218028826820159,0.110129461088121
