"t1","t2","r1","r2","n1","n2","p","BH_p"
"g__Parabacteroides","s__Parabacteroides_merdae",0.796703296703297,0.571428571428571,27,28,0.127840206884186,0.232243710346834
"s__Alistipes_shahii","s__Parabacteroides_merdae",0.605217391304348,0.685470085470085,24,26,0.648778946421898,0.697437367403541
"s__Bacteroides_stercoris","s__Parabacteroides_merdae",0.653162055335968,0.592982456140351,23,19,0.765213656828778,0.792871981774396
"s__Bacteroides_vulgatus","s__Parabacteroides_merdae",0.752478632478632,0.759274193548387,26,31,0.948294205026159,0.948294205026159
"g__Lachnoclostridium","s__Prevotella_corporis",-0.043956043956044,-0.73374613003096,13,18,0.0324717912506124,0.0831671145557226
"s__Campylobacter_hominis","s__Prevotella_corporis",0.721212121212121,0.909090909090909,10,11,0.241088495581099,0.324632802746463
"g__Bacteroides","s__Prevotellaceae_bacterium",-0.602627257799672,-0.291422287390029,28,32,0.152281793331635,0.261924684530411
"g__Prevotella","s__Prevotellaceae_bacterium",0.729611384783799,0.541109625668449,28,33,0.24158720204388,0.324632802746463
"s__Bacteroidaceae_bacterium","s__Prevotellaceae_bacterium",0.2,0.862745098039216,10,17,0.0190406350385194,0.0606479486412098
"g__Bacteroides","s__Trichuris_trichiura",-0.489230769230769,-0.72009167303285,25,34,0.181980947303947,0.274567745055078
"g__Peptoniphilus","s__Trichuris_trichiura",0,-0.756140350877193,6,19,0.124632856261106,0.232243710346834
"g__Prevotella","s__Trichuris_trichiura",0.753076923076923,0.527731092436975,25,35,0.164382825911076,0.267972783554619
"s__Bacteroidaceae_bacterium","s__Trichuris_trichiura",0,0.82843137254902,9,17,0.0177108218031477,0.0606479486412098
"s__Prevotellaceae_bacterium","s__Trichuris_trichiura",0.750769230769231,0.55425219941349,25,32,0.224370523916411,0.318893092560407
"g__Bacteroides","s__uncultured_Alistipes",0.851127819548872,0.468131868131868,20,14,0.0531780458718998,0.117264408845728
"g__Fusobacterium","s__uncultured_Alistipes",0.0636363636363636,0.915151515151515,11,10,0.00517726445184521,0.0448093314343652
"g__UCG-002","s__uncultured_bacterium",0.673162393162393,0.412987012987013,26,34,0.178691506161519,0.274419098748047
"s__bacterium_YE57","s__uncultured_bacterium",0.890909090909091,0.629411764705882,10,16,0.160856634272737,0.267972783554619
"s__human_gut","s__uncultured_bacterium",0.510263929618768,0.59601706970128,32,38,0.621334782967819,0.685061427374775
"g__Lachnospira","s__uncultured_Clostridium",-0.65,0.0730769230769231,25,25,0.00570600177334653,0.0448093314343652
"s__Clostridium_sp.","s__uncultured_Desulfovibrionaceae",0.890909090909091,0,11,8,0.015359680010489,0.0606479486412098
"g__NK4A214_group","s__uncultured_Dorea",-0.482517482517482,-0.747368421052632,12,20,0.282567258275177,0.373858218641003
"g__Christensenellaceae_R-7_group","s__uncultured_Eubacterium",-0.76140350877193,-0.0298701298701299,19,21,0.00573142611369787,0.0448093314343652
"g__Bacteroides","s__uncultured_Lachnospiraceae",0.782142857142857,-0.281761716544325,15,22,0.000398078405249723,0.0255891196055124
"s__Alistipes_shahii","s__uncultured_Lachnospiraceae",0.807142857142857,0.161764705882353,15,17,0.0178550154698383,0.0606479486412098
"g__[Eubacterium]_ruminantium_group","s__uncultured_organism",0.725490196078431,-0.207017543859649,18,19,0.00216557101775973,0.0448093314343652
"s__uncultured_bacterium","s__uncultured_organism",0.129398826979472,0.581781376518219,32,39,0.0338470815052359,0.0831671145557226
"g__UCG-002","s__uncultured_prokaryote",0.443478260869565,0.646142093200917,24,34,0.301614578820345,0.387147071321637
"s__Prevotellaceae_bacterium","s__uncultured_prokaryote",-0.676877470355731,-0.332258064516129,23,31,0.109836588553621,0.219673177107243
"s__uncultured_organism","s__uncultured_prokaryote",0.64991452991453,0.3703081232493,26,35,0.16582006209837,0.267972783554619
"g__UCG-003","s__uncultured_rumen",-0.011304347826087,0.611822660098522,24,29,0.0152394975163864,0.0606479486412098
"g__Lachnoclostridium","s__uncultured_Veillonellaceae",0.285217391304348,0.571078976640712,24,30,0.22619161216494,0.318893092560407
"g__Blautia","Unassigned",-0.784313725490196,-0.545454545454545,17,12,0.297751464056823,0.387147071321637
"g__Fusicatenibacter","Unassigned",-0.771428571428571,0.181818181818182,15,11,0.0102974077395045,0.0577059756974075
