Feature	lfc	se	p	q	change	p_sig
Arabinosylhypoxanthine	-0.644053716191837	0.213729678581801	0.00287524306831122	0.149832111004218	Lower in Pre-HIV	
1,2,3,4-Tetrahydroisoquinoline-3-carboxylic acid	-0.50145108742668	0.130966566757584	0.000166384881410506	0.0780345093815272	Lower in Pre-HIV	+
Sinapic acid	-0.409999168749119	0.148564150028691	0.00625482616341011	0.266683042785395	Lower in Pre-HIV	
Tetrahydrogestrinone	-0.228217439089209	0.0858871793033394	0.00843703062486383	0.282640525932938	Lower in Pre-HIV	
4-OH-Retinal	0.351271698708418	0.11298242432529	0.00211560302213481	0.149832111004218	Higher in Pre-HIV	
12 Hydroxy arachidonic acid	0.354046350208444	0.116959760335739	0.00275314452118861	0.200061835206372	Higher in Pre-HIV	
12-HEPE	0.391290693338572	0.143556509066182	0.00691489716719307	0.361272456844331	Higher in Pre-HIV	
12-HETrE	0.395515170476724	0.134030069460838	0.00349872225020386	0.217920414441269	Higher in Pre-HIV	
Vitamin A2	0.404064381999374	0.133345771318399	0.00272594712339566	0.149832111004218	Higher in Pre-HIV	
Isopropyl 4-hydroxybenzoate	0.45815171828111	0.171017342541126	0.00792279237861107	0.361272456844331	Higher in Pre-HIV	
Methyl 3-phenylpropanoate	0.483427862432771	0.181331012585037	0.00822548272879633	0.282640525932938	Higher in Pre-HIV	
3-Methyloxindole	0.540190731320383	0.202816157601141	0.00828606552395255	0.361272456844331	Higher in Pre-HIV	
4-Ethoxybenzaldehyde	0.591440491653752	0.182555020045566	0.00137470181363285	0.149832111004218	Higher in Pre-HIV	
2-Hydroxydesogestrel	0.64506252878656	0.204274629076392	0.00180436644639694	0.149832111004218	Higher in Pre-HIV	
6-Hydroxy-5-methoxyindole glucuronide	0.717147796555015	0.235165631836464	0.00256286891685956	0.149832111004218	Higher in Pre-HIV	
Shinanolone	0.740955549502169	0.22885836172614	0.00138476328909952	0.149832111004218	Higher in Pre-HIV	
3,4-Dihydroxyphenylvaleric acid	0.77158678550614	0.248297074957653	0.00212639452595248	0.149832111004218	Higher in Pre-HIV	
5-Hydroxy-6-methoxyindole glucuronide	0.77243791973276	0.253920017478164	0.00262493034950022	0.200061835206372	Higher in Pre-HIV	
Hippuric acid sulfate	0.836307630011343	0.232329809408846	0.000390891965961274	0.0568096323863718	Higher in Pre-HIV	+
Nordiazepam	0.862012875821189	0.321385798334397	0.0078498140716691	0.282640525932938	Higher in Pre-HIV	
Cotinine	0.947263529136576	0.336135557376645	0.00525521259033372	0.246469470486652	Higher in Pre-HIV	
6-Hydroxyindoxyl sulfate	1.05524247199367	0.28772496416514	0.000304821996546618	0.0568096323863718	Higher in Pre-HIV	+
HPAA sulfate	1.10997902092336	0.326616506375786	0.000799813508972062	0.0871796724779548	Higher in Pre-HIV	+
3-Methylcatechol 1-sulfate	1.47071249034035	0.32822975234687	1.17718785110192e-05	0.00513253903080437	Higher in Pre-HIV	**
