"t1","t2","r1","r2","n1","n2","p","BH_p","abs_diff_cor","num_sig_corr_t1","num_sig_corr_t2"
"s__Holdemanella_biformis","s__Roseburia_faecis",-0.327987104263036,0.234115227114038,146,86,2.9333308402848e-05,0.0570952395681853,0.562102331377074,1,1
"s__Mediterraneibacter_faecis","s__Eggerthella_lenta",0.114798051718352,0.586741144722689,149,86,5.52358217047588e-05,0.0570952395681853,0.471943093004337,1,1
"s__Dorea_formicigenerans","s__Negativibacillus_massiliensis",-0.111569874820439,0.424288933154818,143,82,6.51348519860079e-05,0.0570952395681853,0.535858807975257,1,2
"s__Clostridium_sp._AF36_4","s__Negativibacillus_massiliensis",0.0160124342366419,-0.51178361006963,129,79,6.9391394710969e-05,0.0570952395681853,0.527796044306272,1,2
