"t1","t2","r1","r2","n1","n2","p","BH_p","abs_diff_cor","num_sig_corr_t1","num_sig_corr_t2"
"s__Prevotella_salivae","gut_s__Prevotella_copri",0.307344930236326,-0.166130800146145,114,69,0.00189932845670616,0.011562699786327,0.473475730382471,1,1
"s__Porphyromonas_somerae","gut_s__Bifidobacterium_adolescentis",0.14628733997155,-0.523897625655257,75,46,0.000178688728535662,0.00266826214527345,0.670184965626808,2,2
"s__Streptococcus_sp._1001283B150225_161107_H12","gut_s__Bifidobacterium_adolescentis",0.167328529349884,-0.43155302048224,97,57,0.000246301121102165,0.00266826214527345,0.598881549832124,2,2
"s__Schaalia_odontolytica","gut_s__Anaerobutyricum_hallii",-0.0990960960206763,0.466723466407011,138,79,2.69919282906083e-05,0.000877237669444771,0.565819562427687,1,2
"s__Actinomyces_sp._S6_Spd3","gut_s__Anaerobutyricum_hallii",-0.134812430011198,0.541234639016897,95,63,9.07663958806531e-06,0.000799894074500248,0.676047069028095,2,2
"s__Porphyromonas_bobii","gut_s__Phocaeicola_vulgatus",0.340853432282004,-0.243963210187948,99,58,0.00038680023589355,0.0038680023589355,0.584816642469952,2,1
"s__Abiotrophia_sp._HMSC24B09","gut_s__Eubacterium_coprostanoligenes",-0.223306672066417,0.52765306122449,84,49,1.23060626846192e-05,0.000799894074500248,0.750959733290907,1,1
"s__Aggregatibacter_sp._oral_taxon_458","gut_s__Ruminococcus_callidus",0.360637152628921,-0.0891402714932127,108,51,0.00768727459461624,0.0207557114340212,0.449777424122134,1,1
"s__Neisseria_sp._HMSC071A01","gut_s__Slackia_isoflavoniconvertens",-0.356998423864991,0.0552649228705567,116,71,0.00541980136178914,0.0190425453252051,0.412263346735547,1,3
"s__Alloprevotella_rava","gut_s__Slackia_isoflavoniconvertens",0.0174054093460669,-0.514646464646465,87,55,0.000981061679047795,0.00797112614226334,0.532051873992532,1,3
"s__Leptotrichia_sp._oral_taxon_417","gut_s__Slackia_isoflavoniconvertens",-0.0262615301139447,-0.428015734265734,96,65,0.00904369336682828,0.0216541048369359,0.40175420415179,1,3
"s__Candidatus_Nanosynbacter_sp._HMT_352","gut_s__Romboutsia_timonensis",0.104485167561,0.545067873303167,84,51,0.00588675809927085,0.0196225269975695,0.440582705742167,1,1
"s__Granulicatella_adiacens","gut_s__Oscillibacter_sp._ER4",-0.0615693462512001,-0.424951314508277,134,79,0.00689654394167864,0.0203761525549596,0.363381968257076,1,1
"s__Fusobacterium_pseudoperiodonticum","gut_s__Ellagibacter_isourolithinifaciens",-0.390158465387823,0.0200196419128201,110,62,0.00799951550359887,0.0207557114340212,0.410178107300643,1,2
