"t1","t2","r1","r2","n1","n2","p","BH_p"
"s__Streptococcus_sp._HMSC061D10","gut_s__Faecalibacterium_sp._HTFF",-0.277536025890534,0.0542428504453821,140,80,0.0176513826801915,0.0342489514690282
"s__Megasphaera_micronuciformis","gut_s__Evtepia_gabavorous",0.0721323620200025,0.443353538803039,90,52,0.025052442265916,0.0429184884389342
"s__Streptococcus_sanguinis","gut_s__Dialister_succinatiphilus",-0.392439243924392,-0.13030303030303,100,55,0.099817847345543,0.112837566564527
"s__Prevotella_pallens","gut_s__Dialister_succinatiphilus",0.385103070899571,-0.0213851498046027,86,48,0.0217094277155566,0.039197577819755
"s__Porphyromonas_sp._oral_taxon_279","gut_s__Parolsenella_catena",-0.348800758183276,0.112122796763973,87,58,0.00631895724225528,0.0200357180851997
"s__Fusobacterium_pseudoperiodonticum","gut_s__Parolsenella_catena",-0.325640074211503,-0.0314119513484929,99,61,0.0665521140224729,0.082397855456395
"s__Fusobacterium_periodonticum","gut_s__Parolsenella_catena",-0.386492161254199,0.0237867395762133,95,56,0.0128162262025915,0.027339605977843
"s__Fusobacterium_periodonticum","gut_s__Senegalimassilia_anaerobia",-0.318995493821868,0.161517429938483,108,56,0.00360172942106653,0.0160718585127036
"s__Actinomyces_sp._ph3","gut_s__Escherichia_coli",0.248506220001959,-0.457506853733269,82,53,4.02365349539159e-05,0.00104614990880181
"s__Haemophilus_haemolyticus","gut_s__Ruminococcus_sp._NSJ_71",-0.295984085704561,0.102930298719772,122,75,0.00647839925542872,0.0200521881715651
"s__Lachnoanaerobaculum_orale","gut_s__Ruminococcus_sp._NSJ_71",0.447666295433836,-0.0968367346938775,84,49,0.00183540167350095,0.011562699786327
"s__Veillonella_atypica","gut_s__Roseburia_sp._BX1005",0.0123198705473311,0.404698149951315,140,79,0.00376493978920743,0.0160718585127036
"s__Prevotella_histicola","gut_s__Roseburia_sp._BX1005",-0.0340596960263688,0.398207681365576,128,75,0.00221129946801067,0.0124986491670168
"s__Prevotella_sp._oral_taxon_306","gut_s__Roseburia_sp._BX1005",-0.024286546301689,0.413297150610583,101,66,0.00434287926505977,0.0176429470143053
"s__Streptococcus_sp._A12","gut_s__Roseburia_sp._BX1005",0.14058219803499,-0.387012987012987,132,76,0.00018947355509324,0.00266826214527345
"s__Porphyromonas_endodontalis","gut_s__Gallintestinimicrobium_propionicum",-0.0387810691181478,-0.520814479638009,89,51,0.00305621443590155,0.0152810721795077
"s__Veillonella_parvula","gut_s__Ruminococcus_sp._BSD2780120874_150323_B10",0.181933678141647,-0.406036217303823,123,70,6.14097829106945e-05,0.00133054529639838
"s__Prevotella_pallens","gut_s__Vescimonas_fastidiosa",0.302066115702479,0.163380281690141,121,71,0.33480880685865,0.356763482718233
"s__Haemophilus_influenzae","gut_s__Faecalicatena_fissicatena",0.0536440603997556,-0.374425691514299,134,80,0.00195676457922457,0.011562699786327
"s__Lachnoanaerobaculum_orale","gut_s__Ruminococcus_sp._FMBCY1",0.493495505023797,0.0288770053475936,61,34,0.0223832406209757,0.0398605654894088
"s__Prevotella_pallens","gut_s__Senegalimassilia_faecalis",0.107758333887817,-0.433820313183448,113,70,0.000240112964986437,0.00266826214527345
"s__Prevotella_jejuni","gut_s__Senegalimassilia_faecalis",0.0295981045981046,-0.39404457435148,111,69,0.00456286992494357,0.0179212179185377
"s__Leptotrichia_wadei","gut_s__Anaerotardibacter_sp._CLA_AA_M13",-0.0926481656139549,-0.397030194297057,108,68,0.0396680732731236,0.0586005627898417
"s__Gemella_sanguinis","gut_s__Phascolarctobacterium_sp._Marseille_Q4147",-0.339436229437993,-0.0275604076802687,106,68,0.0405254520076355,0.0591944804605912
"s__Prevotella_sp._oral_taxon_306","gut_s__Phascolarctobacterium_sp._Marseille_Q4147",0.373714892702234,0.0625427204374573,78,56,0.0673638991882838,0.0826161027780839
"s__Granulicatella_sp._HMSC30F09","gut_s__Eggerthella_lenta",0.0848065437224903,0.425457238059978,134,74,0.0128285843434494,0.027339605977843
"s__Streptococcus_anginosus","gut_s__Faecalibacillus_intestinalis",-0.289470740132743,0.236382113821138,138,81,0.000162305372693505,0.00266826214527345
"s__Lachnoanaerobaculum_sp._ICM7","gut_s__Faecalibacillus_intestinalis",0.44565960355434,-0.0944664031620553,76,45,0.00325027074971845,0.0156494517579037
"s__Actinomyces_sp._S6_Spd3","gut_s__Pseudoflavonifractor_sp._MSJ_30",0.0569374706498573,-0.419546850998464,94,63,0.00261824356659181,0.0136233005114387
"s__Streptococcus_sp._HSISS2","gut_s__Ruminococcus_sp._AF37_3AC",-0.344690195665895,-0.0241758241758242,97,64,0.0424416570891362,0.060630938698766
"s__Streptococcus_timonensis","gut_s__Ruminococcus_sp._AF37_3AC",0.114385186486843,0.397557666214383,103,66,0.0592995586301357,0.0783989195021064
"s__Fusobacterium_pseudoperiodonticum","gut_s__Ruminococcus_sp._AF37_3AC",0.406821076465871,0.0922171945701357,86,51,0.0624449201251475,0.0803746496660314
"s__Prevotella_melaninogenica","gut_s__Klebsiella_pneumoniae",-0.3135699217802,0.097634996582365,137,76,0.00383252010687547,0.0160718585127036
"s__Actinomyces_oris","gut_s__Parabacteroides_merdae",0.318394067020692,0.171237183868763,128,76,0.287100976541852,0.311026057920339
"s__Schaalia_odontolytica","gut_s__Roseburia_sp._CLA_AA_H209",-0.19006104504639,-0.380550146056475,137,79,0.150302254065828,0.165587229055573
"s__Streptococcus_sp._263_SSPC","gut_s__Blautia_sp._MCC283",-0.108018694533424,0.396205962059621,138,81,0.000224863838497039,0.00266826214527345
"s__Leptotrichia_wadei","gut_s__Faecalibacterium_sp._Marseille_Q4896",0.314968831373787,0.176630217894485,115,67,0.346522927672739,0.366243744694765
"s__Fusobacterium_periodonticum","gut_s__Faecalibacterium_sp._Marseille_Q4896",0.354582522472431,0.0414141414141414,109,55,0.0527217197961092,0.072145511299939
