"t1","t2","r1","r2","n1","n2","p","BH_p","abs_diff_cor","num_sig_corr_t1","num_sig_corr_t2"
"s__Blautia_obeum","s__Mogibacterium_kristiansenii",-0.339340261376161,0.179811683709628,145,84,0.000129715493311151,0.0273030864084864,0.51915194508579,3,1
"s__Anaerostipes_hadrus","s__Paratractidigestivibacter_faecalis",-0.330422629695885,0.107474803677335,129,78,0.00206940306887819,0.0837256135749657,0.437897433373221,1,2
"s__Mogibacterium_kristiansenii","s__Paratractidigestivibacter_faecalis",0.544476744186047,0.141162634833521,129,78,0.00135862973320659,0.0685616371500049,0.403314109352526,9,2
"s__Mogibacterium_kristiansenii","s__Blautia_faecis",-0.514765391276964,-0.0394249265971449,145,84,0.000148592927202984,0.0273030864084864,0.475340464679819,9,1
"s__Mogibacterium_kristiansenii","s__Ruminococcus_gnavus",-0.30167690127539,0.108291991495393,145,84,0.00265806902476948,0.0905059344176459,0.409968892770783,9,1
"s__Holdemanella_biformis","s__Oscillibacter_sp._ER4",-0.078389230042513,-0.57436468563329,145,84,3.95718505248488e-05,0.0155434121052311,0.495975455590776,7,2
"s__Holdemanella_porci","s__Oscillibacter_sp._ER4",-0.062124898621249,-0.514731193682292,136,84,0.000348295678519112,0.0407355371348675,0.452606295061043,2,2
"s__Holdemanella_biformis","s__Vescimonas_coprocola",-0.151663785412587,-0.537734129796497,148,84,0.00132347547143187,0.0685616371500049,0.38607034438391,7,1
"s__Paratractidigestivibacter_faecalis","s__Blautia_stercoris",-0.32137186940966,0.102745355909913,129,78,0.00289838084379189,0.0925290546907238,0.424117225319573,2,1
"s__Blautia_faecis","s__Lentihominibacter_faecis",-0.353250387766208,0.114676568301739,148,85,0.000480028341542308,0.0485534548989411,0.467926956067947,3,1
"s__Collinsella_aerofaciens","s__Phascolarctobacterium_succinatutens",-0.00984283972361469,-0.441985244802146,121,71,0.00242357242797913,0.0905059344176459,0.432142405078532,2,2
"s__Phocaeicola_vulgatus","s__Phascolarctobacterium_succinatutens",-0.0543964232488823,0.423138832997988,121,71,0.000960507537947612,0.0600579167818516,0.47753525624687,6,2
"s__Ruminococcus_gnavus","s__Prevotellamassilia_timonensis",-0.378837845438045,0.12112676056338,118,70,0.000751859610044766,0.0570244993538577,0.499964606001425,1,1
"s__Mogibacterium_kristiansenii","s__Roseburia_sp._BX1005",-0.105999055266887,-0.510863622557457,145,84,0.00108995739758815,0.0646269567294078,0.40486456729057,9,1
"s__Mogibacterium_kristiansenii","s__Olsenella_uli",0.572030347794123,0.200727027350595,138,82,0.00163313031052086,0.074584468752856,0.371303320443528,9,1
"s__Fusicatenibacter_saccharivorans","s__Gallintestinimicrobium_propionicum",0.371407841206499,-0.0379357516864003,148,86,0.00194286110898751,0.0828686542512751,0.409343592892899,1,1
"s__Holdemanella_biformis","s__Vescimonas_fastidiosa",-0.169974278594968,-0.546582970537613,144,84,0.00163332175042818,0.074584468752856,0.376608691942644,7,1
"s__Blautia_obeum","s__Simiaoa_sunii",-0.167967763392556,-0.559859292554231,146,85,0.00089068257396912,0.058904949459227,0.391891529161675,3,4
"s__Oscillibacter_sp._ER4","s__Simiaoa_sunii",0.159690075183033,0.52593316396326,143,85,0.00247394981103537,0.0905059344176459,0.366243088780227,3,4
"s__Coprococcus_eutactus","s__Simiaoa_sunii",0.0309313333269066,0.444088333007622,146,85,0.00135491299295111,0.0685616371500049,0.413156999680715,3,4
"s__Vescimonas_fastidiosa","s__Simiaoa_sunii",0.155960611159892,0.51936681649404,142,85,0.00283301877869633,0.0919360336498077,0.363406205334148,1,4
"s__Phocaeicola_vulgatus","s__Phascolarctobacterium_sp._Marseille_Q4147",0.0347857526322133,0.462038900067069,118,71,0.00252977887463048,0.0905059344176459,0.427253147434856,6,1
"s__Bifidobacterium_longum","s__Eggerthella_lenta",0.0257965056526208,0.445657193232862,139,83,0.00137561877387332,0.0685616371500049,0.419860687580241,1,1
"s__Holdemanella_biformis","s__Oscillibacter_sp._MSJ_31",-0.162256609419036,-0.583780500151868,147,84,0.000305134681273915,0.0387407375369006,0.421523890732832,7,1
"s__Phascolarctobacterium_succinatutens","s__Bacteroides_ovatus",0.00972795898020225,0.460796492510048,119,69,0.0016482755525493,0.074584468752856,0.451068533529845,4,1
"s__Prevotella_hominis","s__Faecalibacillus_intestinalis",-0.340707265707266,0.127242909511866,111,72,0.00182694436417152,0.0805495085690495,0.467950175219131,2,1
"s__Oscillibacter_sp._ER4","s__Holdemanella_sp._MSK_7_32",-0.0987339447669377,-0.482587453586086,133,85,0.00259314953796608,0.0905059344176459,0.383853508819148,3,2
"s__Ruminococcus_bicirculans","s__Holdemanella_sp._MSK_7_32",-0.095076565225819,-0.527391797153772,133,83,0.000589598177474169,0.052994749617674,0.432315231927953,1,2
"s__Holdemanella_biformis","s__Pseudoflavonifractor_sp._MSJ_30",-0.179549635925475,-0.558367925483446,148,84,0.00129741116974494,0.0685616371500049,0.378818289557972,7,1
"s__Bacteroides_caccae","s__Bacteroides_fragilis",0.341253816605929,0.658252190847128,143,79,0.00247538181942519,0.0905059344176459,0.316998374241198,1,1
"s__Bacteroides_fragilis","s__Klebsiella_pneumoniae",-0.0325376383094504,0.370786281012552,149,83,0.00256244777749564,0.0905059344176459,0.403323919322002,2,1
"s__Parolsenella_catena","s__Desulfovibrio_piger",0.315790822427991,-0.238646180427002,112,73,0.000212807879235005,0.0327730697351824,0.554437002854993,1,1
"s__Prevotellamassilia_timonensis","s__Blautia_sp._OF03_15BH",0.0942337821699736,-0.409150555506955,118,70,0.000624523226846721,0.052994749617674,0.503384337676928,1,1
"s__Gallintestinimicrobium_propionicum","s__Ruminococcus_sp._M6_2020",-0.397746328714689,-0.0144440775508279,148,86,0.00323665719272302,0.0993100757848638,0.383302251163861,1,1
"s__Oscillibacter_sp._ER4","s__Collinsella_sp._TF05_9AC",-0.0541557678962259,-0.54676511954993,131,80,0.000114669170114987,0.0273030864084864,0.492609351653704,3,3
"s__Phascolarctobacterium_succinatutens","s__Collinsella_sp._TF05_9AC",0.0269728524851953,-0.443880160759956,113,69,0.00130231353438289,0.0685616371500049,0.470853013245151,4,3
"s__Phascolarctobacterium_sp._Marseille_Q4147","s__Collinsella_sp._TF05_9AC",0.0154201876372347,-0.445853123858239,113,69,0.00159252087492084,0.074584468752856,0.461273311495474,2,3
"s__Coprococcus_eutactus","s__Mitsuokella_jalaludinii",-0.0848215870761583,0.372311898627688,130,77,0.00120915651961236,0.067069181789466,0.457133485703846,3,2
"s__Holdemanella_sp._MSK_7_32","s__Mitsuokella_jalaludinii",0.0330366044722974,-0.396366791103633,119,77,0.00250932249151185,0.0905059344176459,0.429403395575931,1,2
"s__Blautia_faecis","s__Brotomerdimonas_butyrica",-0.404521379081066,0.17062732069572,147,85,1.49513552198657e-05,0.00990892115221068,0.575148699776786,3,2
"s__Prevotella_hominis","s__Brotomerdimonas_butyrica",0.0674906891721051,-0.409962055437649,112,72,0.00115445619296377,0.0661695807933732,0.477452744609754,2,2
"s__Collinsella_aerofaciens","s__Adlercreutzia_equolifaciens",-0.0880097318453483,0.371328836265862,147,86,0.000556705707101622,0.052994749617674,0.45933856811121,2,2
"s__Collinsella_bouchesdurhonensis","s__Adlercreutzia_equolifaciens",-0.317608433088502,0.0938139111066113,138,84,0.00271787268692761,0.0907452832072237,0.411422344195114,1,2
"s__Prevotella_stercorea","s__Bacteroides_thetaiotaomicron",-0.00410889982110912,0.500853485064011,129,75,0.000190940883749032,0.0312688428196629,0.50496238488512,2,2
"s__Phascolarctobacterium_succinatutens","s__Bacteroides_thetaiotaomicron",-0.0414403778040142,0.503085177733065,120,71,0.000105966382190098,0.0273030864084864,0.544525555537079,4,2
"s__Coprococcus_eutactus","s__Ruminococcus_sp._210702_SL_1_03",0.00349434737923947,0.475693715629067,139,83,0.000286926659754809,0.0379515685729534,0.472199368249827,3,1
"s__Holdemanella_porci","s__Clostridium_sp._BIOML_A1",0.0269614735658043,-0.401650071123755,127,75,0.00240128361284217,0.0905059344176459,0.42861154468956,2,1
"s__Prevotella_stercorea","s__Clostridium_sp._D43t1_170807_D5",0.441992199219922,-0.0346772102670469,100,57,0.00283373642537936,0.0919360336498077,0.476669409486969,2,1
"s__Phascolarctobacterium_succinatutens","s__Bacteroides_xylanisolvens",0.151851588092864,0.585163152830024,119,70,0.000815787305091786,0.0584477612960552,0.433311564737159,4,2
"s__Blautia_schinkii","s__Bacteroides_xylanisolvens",0.0751265975403906,-0.402896786757546,144,79,0.000447604587342665,0.0466458235112553,0.478023384297937,1,2
"s__Blautia_obeum","s__Waltera_intestinalis",-0.12613535889398,-0.501648599819332,144,81,0.00278488727381691,0.0919360336498077,0.375513240925352,3,1
"s__Gemmiger_formicilis","s__Faecalibacterium_sp._I3389",-0.0722078056689754,0.486026968927106,148,85,1.407510085354e-05,0.00990892115221068,0.558234774596081,1,1
"s__Prevotella_copri","s__Oscillibacter_sp._MCC667",0.128817194691452,0.525168424375007,139,82,0.00142698114133588,0.0701055449293441,0.396351229683555,1,3
"s__Simiaoa_sunii","s__Oscillibacter_sp._MCC667",0.192083923791529,0.606520198440822,145,84,0.000279753257496141,0.0379515685729534,0.414436274649293,1,3
