"t1","t2","r1","r2","n1","n2","p","BH_p","abs_diff_cor","num_sig_corr_t1","num_sig_corr_t2","Description","Ontology"
"s__Lautropia_mirabilis","GO:0017057",0.0463534426837179,0.556098916365657,109,60,0.000450492554118688,0.0850304695899023,0.509745473681939,1,1,"6-phosphogluconolactonase activity","MF"
"s__Peptostreptococcus_stomatis","GO:0009276",0.120817830437453,-0.483631672310918,94,53,0.00025485781256407,0.0707311884060425,0.60444950274837,5,1,"Gram-negative-bacterium-type cell wall","CC"
"s__Haemophilus_parainfluenzae","GO:0043822",-0.539260020554985,-0.0834010840108401,139,81,0.000264678445881652,0.0707311884060425,0.455858936544144,85,1,"ribonuclease M5 activity","MF"
"s__Streptococcus_pneumoniae","GO:0050518",-0.618105486063233,-0.204584462511292,143,81,0.000278535494035906,0.0707311884060425,0.413521023551941,2,1,"2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase activity","MF"
"s__Haemophilus_parainfluenzae","GO:0016297",-0.430429324945357,0.10063233965673,142,81,7.71831371355552e-05,0.055191097688086,0.531061664602087,85,1,"acyl-[acyl-carrier-protein] hydrolase activity","MF"
"s__Neisseria_mucosa","GO:0004819",0.315892997639654,-0.229033858838798,123,68,0.000296523065434843,0.0707311884060425,0.544926856478452,4,1,"glutamine-tRNA ligase activity","MF"
"s__Neisseria_mucosa","GO:0006425",0.315892997639654,-0.229033858838798,123,68,0.000296523065434843,0.0707311884060425,0.544926856478452,4,1,"glutaminyl-tRNA aminoacylation","BP"
"s__Haemophilus_parainfluenzae","GO:0004132",-0.447889838659991,0.0326400452759548,142,82,0.000272279734486902,0.0707311884060425,0.480529883935946,85,1,"dCMP deaminase activity","MF"
"s__Haemophilus_parainfluenzae","GO:0006220",-0.447889838659991,0.0326400452759548,142,82,0.000272279734486902,0.0707311884060425,0.480529883935946,85,1,"pyrimidine nucleotide metabolic process","BP"
"s__Fusobacterium_periodonticum","GO:0008851",0.144637385086823,-0.523404255319149,89,46,0.000115645970463673,0.0587102689707388,0.668041640405972,3,1,"ethanolamine ammonia-lyase activity","MF"
"s__Streptococcus_sp._HMSC034E03","GO:0003954",-0.401910906298003,0.127986846912678,125,69,0.000302783617199047,0.0707311884060425,0.529897753210681,5,1,"NADH dehydrogenase activity","MF"
"s__Streptococcus_sp._HMSC034E03","GO:0006116",-0.401910906298003,0.127986846912678,125,69,0.000302783617199047,0.0707311884060425,0.529897753210681,5,1,"NADH oxidation","BP"
"s__Streptococcus_sp._Marseille_Q6470","GO:0070401",0.0814458752679949,-0.426998577524893,130,75,0.000289896483799784,0.0707311884060425,0.508444452792888,1,1,"NADP+ binding","MF"
"s__Gemella_sanguinis","GO:0006091",-0.0418923344333325,-0.581526529173277,106,62,0.000152591988222962,0.0593240113009411,0.539634194739944,2,1,"generation of precursor metabolites and energy","BP"
"s__Streptococcus_sp._XMC","GO:0004582",-0.289804980772752,0.227871338494692,128,67,0.000600354189396147,0.0965979732610358,0.517676319267445,2,1,"dolichyl-phosphate beta-D-mannosyltransferase activity","MF"
"s__Veillonella_dispar","GO:0006824",-0.311348404801464,0.196575576322412,137,78,0.000321328828175423,0.0722253995849262,0.507923981123875,5,1,"cobalt ion transport","BP"
"s__Veillonella_dispar","GO:0008121",-0.0923646623170517,-0.603974284044418,106,59,0.000288107966739038,0.0707311884060425,0.511609621727367,5,1,"ubiquinol-cytochrome-c reductase activity","MF"
"s__Prevotella_melaninogenica","GO:0036094",-0.376971829671253,0.171082082474488,137,78,8.47720074291297e-05,0.0558369129227064,0.54805391214574,2,1,"small molecule binding","MF"
"s__Haemophilus_parainfluenzae","GO:0015109",-0.0811242383275534,-0.63992673992674,107,64,3.08399371024709e-05,0.033777464364207,0.558802501599186,85,1,"chromate transmembrane transporter activity","MF"
"s__Haemophilus_parainfluenzae","GO:0015703",-0.0811242383275534,-0.63992673992674,107,64,3.08399371024709e-05,0.033777464364207,0.558802501599186,85,1,"chromate transport","BP"
