"t1","t2","r1","r2","n1","n2","p","BH_p","abs_diff_cor","num_sig_corr_t1","num_sig_corr_t2"
"s__Prevotella_copri","s__Prevotella_hominis",0.845454545454545,0.31948051948052,21,21,0.00720245723718713,0.0761402622216926,0.525974025974026,1,1
"s__Prevotella_disiens","s__Blautia_wexlerae",-0.736842105263158,0.0844155844155844,20,21,0.00291561341529812,0.0523427463324897,0.821257689678742,1,1
"s__Faecalibacterium_prausnitzii","s__Collinsella_aerofaciens",0.697346132128741,-0.330321852060982,22,22,0.00027307909504192,0.0202078530331021,1.02766798418972,3,1
"s__Prevotella_buccalis","s__Dorea_formicigenerans",-0.865196078431373,-0.201298701298701,17,21,0.00227355339071462,0.0523427463324897,0.663897377132671,1,1
"s__Faecalibacterium_prausnitzii","s__Peptostreptococcus_anaerobius",-0.741176470588235,0.0152456239412761,16,22,0.00877666745949339,0.0811841740003139,0.756422094529511,3,1
"s__Faecalibacterium_prausnitzii","s__Prevotella_ihumii",-0.735294117647059,0.124675324675325,17,21,0.00353667204949254,0.0523427463324897,0.859969442322384,3,1
"s__Prevotella_bivia","s__Streptococcus_mitis",0.874125874125874,0.00980392156862745,12,17,0.0023247981457579,0.0523427463324897,0.864321952557247,1,1
"s__Escherichia_coli","s__Blautia_faecicola",-0.107017543859649,-0.837362637362637,19,14,0.0060288984433469,0.0743564141346118,0.730345093502988,1,1
