Feature	lfc_group1g2	lfc_group1g3	lfc_group1g4	se_group1g2	se_group1g3	se_group1g4	W	p_val	q_val	diff_abn	passed_ss
s__Granulicatella_sp._HMSC30F09	0.431391805672004	0.431391805983494	0.431391806031267	0.360549930473942	0.323367445229196	0.415782447764999	0.431391806031267	0.385	0.973945945945946	FALSE	TRUE
s__Veillonella_sp._CLA_AA_H247	-0.297084261305898	-0.297084261419856	-0.297084261743033	0.387343982490889	0.356587899925081	0.469433299894264	0.297084261743033	0.681	0.973945945945946	FALSE	TRUE
s__Tannerella_serpentiformis	-0.629303615874475	-0.629303616149908	-1.258240211234	0.431390967268376	0.374659871314168	0.468619287927189	1.258240211234	0.01	0.308	FALSE	TRUE
s__Haemophilus_sp._Marseille_Q0026	-2.28698772217811e-11	-1.1538887186058	-1.16364544665306	0.522813442894117	0.451058018020434	0.555556812319622	1.16364544665306	0.044	0.521230769230769	FALSE	TRUE
s__Leptotrichia_sp._oral_taxon_215	-1.05145251209508e-09	-0.307337420783017	-0.476702887765488	0.446400958476892	0.401998067686	0.486225736380117	0.476702887765488	0.406	0.973945945945946	FALSE	FALSE
s__Leptotrichia_sp._oral_taxon_221	-2.85506481851547e-09	-0.178651600582898	-0.178651600962766	0.476206808404154	0.401545657072952	0.530402132437984	0.178651600962766	0.929	0.973945945945946	FALSE	TRUE
s__Actinobaculum_sp._oral_taxon_183	0.0497928972861409	0.563498838875476	0.563498838956788	0.432054522469677	0.383910889988855	0.494352988934831	0.563498838956788	0.315	0.973945945945946	FALSE	TRUE
s__Streptococcus_sp._oral_taxon_061	0.172267689443155	0.172267689449485	0.172267689689375	0.361294825521213	0.316979005528717	0.428989163417409	0.172267689689375	0.853	0.973945945945946	FALSE	TRUE
s__Bifidobacterium_longum	-0.025488877915572	-0.274066967932938	-1.74804933177861	0.430493131704125	0.379836226928353	0.486204716831539	1.74804933177861	0	0	TRUE	FALSE
s__Aggregatibacter_sp._2125159857	1.82536157465321e-10	0.258584787635156	1.16666703125839	0.44913418667414	0.41159850775246	0.537306548195965	1.16666703125839	0.031	0.434	FALSE	TRUE
s__Abiotrophia_defectiva	-0.600493828308854	-0.600493828367647	-0.600493828621293	0.41152901480916	0.388083602060572	0.531485963025079	0.600493828621293	0.315	0.973945945945946	FALSE	TRUE
s__Corynebacterium_durum	-0.0125950906333674	-0.209750861633902	-1.13379230069115	0.462053804986188	0.414429529038771	0.514123519160044	1.13379230069115	0.023	0.393555555555556	FALSE	TRUE
s__Aggregatibacter_sp._oral_taxon_458	5.23571928451516e-11	0.379634883521056	1.36030561889426	0.447541877692571	0.401756825876378	0.522140840461593	1.36030561889426	0.009	0.308	FALSE	TRUE
s__Candidatus_Nanosynbacter_sp._TM7_057	-0.146121940389833	-0.178141527830368	-1.23231463681135	0.381844372080666	0.356093753750122	0.464708044855445	1.23231463681135	0.006	0.308	FALSE	TRUE
s__Lachnoanaerobaculum_orale	0.554907251623521	0.554907251645435	0.655939642180977	0.404012205839466	0.35513031717029	0.451132411882857	0.655939642180977	0.184	0.973945945945946	FALSE	TRUE
s__Bohxovirus_oralis	0.48376001947917	0.637293660354919	0.637293660491007	0.4129182153452	0.371765849354772	0.449624810839205	0.637293660491007	0.171	0.973945945945946	FALSE	TRUE
s__Actinomyces_sp._S6_Spd3	-0.135155114094832	-0.189554344154512	-0.371056955993906	0.379316918419418	0.357340748203455	0.428589586040364	0.371056955993906	0.477	0.973945945945946	FALSE	TRUE
s__Streptococcus_virus_MS1	8.75294198889997e-11	2.9140934863686e-10	0.4139600538334	0.411948208532087	0.349729175769047	0.450479483328113	0.4139600538334	0.433	0.973945945945946	FALSE	TRUE
s__Candidatus_Nanosynbacter_sp._TM7_008	-0.192991824430969	-0.627890076999511	-0.63630916601472	0.389164964014539	0.339230027433355	0.430854102983601	0.63630916601472	0.143	0.973945945945946	FALSE	TRUE
s__Candidatus_Nanosynbacter_sp._TM7_076	-0.169359160912013	-0.169359161569955	-0.308368589741202	0.369856027374453	0.333749255647754	0.419826950825236	0.308368589741202	0.577	0.973945945945946	FALSE	TRUE
s__Actinomyces_sp._oral_taxon_181	2.62963684234965e-10	0.0635205207457722	0.0635205208253149	0.387630236385623	0.382167627381858	0.428265590879791	0.0635205208253149	0.994	0.994	FALSE	TRUE
s__Actinomyces_sp._ph3	-0.225674163261224	-0.225674163301174	-0.225674167696065	0.421928659989845	0.40976904424606	0.451626232891998	0.225674167696065	0.796	0.973945945945946	FALSE	TRUE
s__Candidatus_Nanosynbacter_sp._TM7_087	-0.1378449404138	-0.329144897460044	-0.888189036902578	0.361565383149802	0.332348292483488	0.418736496346775	0.888189036902578	0.038	0.487666666666667	FALSE	FALSE
s__Lachnoanaerobaculum_sp._ICM7	2.74154860664836e-12	-1.77690520936552e-10	-0.24090283779707	0.377813503861974	0.328676541491861	0.410362116001452	0.24090283779707	0.695	0.973945945945946	FALSE	TRUE
s__Candidatus_Nanosynbacter_sp._TM7_075	9.48898464620768e-11	1.34468059126991e-10	0.12845755237698	0.373384332882187	0.335302818240741	0.404658980898971	0.12845755237698	0.932	0.973945945945946	FALSE	FALSE
s__Candidatus_Nanosynbacter_sp._TM7_053	-0.417746066550835	-0.583176090637376	-1.08780976628786	0.368093924214244	0.334858882700707	0.442136865834611	1.08780976628786	0.016	0.385	FALSE	TRUE
s__sp._9	-0.201230050238614	-0.201230050510316	-0.921450346223703	0.379653500409754	0.326724216775299	0.422314498659516	0.921450346223703	0.019	0.385	FALSE	TRUE
s__Dybvigvirus_Av1	-0.193348881305278	-0.47634358024851	-0.67165498105374	0.378569535850912	0.345419160676288	0.47823919054456	0.67165498105374	0.181	0.973945945945946	FALSE	FALSE
s__Cepunavirus_Cp1	-6.46535836550063e-10	4.86856662946126e-09	1.0523774790523	0.37702497251467	0.335051942440062	0.468007313933158	1.0523774790523	0.027	0.4158	FALSE	TRUE
