Feature	lfc_group1g2	lfc_group1g3	lfc_group1g4	se_group1g2	se_group1g3	se_group1g4	W_group1g2	W_group1g3	W_group1g4	p_group1g2	p_group1g3	p_group1g4	q_group1g2	q_group1g3	q_group1g4	diff_group1g2	diff_group1g3	diff_group1g4	passed_ss_group1g2	passed_ss_group1g3	passed_ss_group1g4
s__Streptococcus_mitis	0.324925097795445	0.266596382621043	0.00309756652787064	0.378447466760765	0.368979757212341	0.468322883991093	0.858573847980981	0.722523058270703	0.00661416862971307	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
s__Streptococcus_salivarius	0.0396807361054344	-0.268357718056394	-0.0762199224894593	0.457648493977161	0.423421891148128	0.540570270544092	0.0867057067326757	-0.63378328722856	-0.140999101583487	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
s__Streptococcus_parasanguinis	0.2886133641389	0.0385027532731792	0.145623481852583	0.377470658414817	0.334217639743636	0.420339583371126	0.764598142146804	0.115202636529637	0.346442466076314	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
s__sp.	0.185701626747784	0.0650500180601279	0.119142030894758	0.2909430091869	0.260120491697114	0.340315106271261	0.638274922868107	0.250076484308174	0.350093277375091	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
s__Streptococcus_oralis	0.401970031957072	0.0415567703878061	0.235793576837533	0.362614247386429	0.356441343899498	0.44455106440655	1.10853347559922	0.116587963486984	0.530408305629195	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
s__Rothia_mucilaginosa	0.238671463027153	-0.0398794917360565	0.127799686033315	0.353137759117294	0.325401705536504	0.400265596925714	0.675859368943549	-0.12255464878497	0.319287210829248	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
s__Neisseria_mucosa	0.609540845952638	-0.123962464543195	0.0830805663714849	0.532758516180772	0.519979675079246	0.572449561111895	1.14412220065913	-0.238398673033332	0.145131679741554	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
s__Haemophilus_parainfluenzae	0.636849901357387	0.0411096172181137	0.0515207620582758	0.44951527458386	0.427606647316403	0.513338238742801	1.41674807813139	0.0961388637807939	0.100364161813571	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
s__Neisseria_sicca	0.554025427512388	0.229101785183377	0.0343584100810046	0.532732973787438	0.490086606147447	0.642072871435612	1.0399683420637	0.467472039246977	0.0535116987643202	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
s__sp._1	0.193120071372569	0.225134487576721	0.228894476315515	0.290085757576319	0.260997800664234	0.345652555336954	0.665734412423751	0.862591512280021	0.662209703881348	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
s__Streptococcus_infantis	0.421067230388315	-0.0440686466545105	-0.231416728343703	0.314850710341368	0.282542312170924	0.368224232445443	1.33735518630968	-0.155971848307984	-0.628466863266502	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
s__Schaalia_odontolytica	-0.0792156516312526	-0.183694035797844	-0.379878679431828	0.393092800519783	0.35528750862696	0.481295197213813	-0.201518958186226	-0.517029254723156	-0.789284168283666	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
s__Prevotella_melaninogenica	0.290244659611808	0.753465465259044	0.770615835738905	0.448892684482072	0.425706801142235	0.536858004282982	0.646579170579912	1.76991643835002	1.4354183594005	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
s__sp._2	0.0639717099114302	-0.261783177839695	0.311975767567497	0.331561147772422	0.305461882645361	0.367261843067246	0.192940911024169	-0.857007674976008	0.849464145150451	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
s__Actinomyces_sp._ICM47	0.234148356782429	0.265121348216132	0.293279294717739	0.50105758519901	0.477063363656783	0.616260466150652	0.467308276930745	0.555736131535916	0.475901523506205	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
s__Gemella_haemolysans	0.0487522266641937	-0.00510698595824666	-0.182837915906924	0.504005668142928	0.441618588895374	0.582779752011494	0.0967295206100109	-0.0115642459050938	-0.31373415990492	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
s__Streptococcus_sanguinis	0.175192888957919	-0.353268960061036	-0.647031718037222	0.401198849654482	0.38931229514572	0.46003449509084	0.436673457834682	-0.907417937902031	-1.4064852200039	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
s__Actinomyces_graevenitzii	-0.429696210510366	-0.0367152273546384	0.264889387374845	0.491875733819467	0.47023034321309	0.593733380478013	-0.873586926465612	-0.0780792390039375	0.446141982385399	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
s__Streptococcus_pseudopneumoniae	0.427587466630134	0.121878552642969	-0.0234020236187364	0.308278421618511	0.280824344269523	0.362204268321242	1.38701717877376	0.434002803282594	-0.0646100161304034	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
s__Streptococcus_sp._263_SSPC	0.606907831825716	0.343280583368159	0.264905826034028	0.404991257841067	0.355041875086583	0.449612563669458	1.49857020386324	0.966873508327557	0.589186885419819	1	1	1	1	1	1	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
s__Veillonella_atypica	-0.525235450138863	0.157352269540637	0.365475725012285	0.498402943175376	0.4664023287574	0.61389398011487	-1.05383697534476	0.337374536614898	0.595340135024453	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
s__Haemophilus_parahaemolyticus	0.800612990283824	-0.391242838751163	-0.450079630105378	0.603827091527076	0.548170674258071	0.743958327234124	1.32589776364469	-0.713724496993014	-0.604979625375895	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
s__Prevotella_histicola	-0.728453128163382	0.448900796962975	0.914310233466237	0.542447175408052	0.492171114944662	0.621905010109134	-1.34290150486157	0.912082776360104	1.47017666460959	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
s__Streptococcus_cristatus	-0.122622483531807	0.0538780435231552	-0.145471815820088	0.426051061037929	0.412698702491372	0.493037201020681	-0.287811707904397	0.130550552250117	-0.295052412919215	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
s__Streptococcus_pneumoniae	0.195969433104651	0.209062358212258	-0.00657136849779086	0.326556383147349	0.300983183075561	0.390597532989067	0.60010902624502	0.694598136932368	-0.0168238863351315	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
s__Neisseria_subflava	0.599692049213497	0.251513609189585	0.159134530315459	0.540285859931291	0.498452327104656	0.63075321393492	1.10995325565204	0.504589096113852	0.252292856857133	1	1	1	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
