taxa,median_t
s__Escherichia_coli,9.28936235005976
s__Blautia_hansenii,6.36253072801327
s__Anaerobutyricum_soehngenii,6.14888735341458
s__Ruminococcus_sp._NSJ_13,6.12310324024126
s__Blautia_ammoniilytica,5.93837088263304
s__Evtepia_gabavorous,5.90846018610162
s__Gemmiger_formicilis,5.87316666064288
s__Fusicatenibacter_sp._CLA_AA_H277,5.84497209661115
s__Blautia_sp._OF03_15BH,5.7218724584453
s__Coprococcus_catus,5.63726479710715
s__Phascolarctobacterium_faecium,5.60066182166537
s__Clostridium_sp._AF15_31,5.54390905355477
s__Anaerotignum_faecicola,5.5247024346293
s__Negativibacillus_massiliensis,5.47309936165566
s__Eubacterium_ventriosum,5.38652759422926
s__Akkermansia_muciniphila,5.37044860473854
s__Clostridium_sp._AF15_41,5.32508124053522
s__Eubacterium_coprostanoligenes,5.32263071525702
s__Dorea_phocaeensis,5.26715322395209
s__Clostridium_sp._1001271B_151109_B4,5.24317328109824
s__Blautia_sp._MSJ_36,5.2338265061938
s__Clostridium_sp._D43t1_170807_H7,5.21032123136716
s__Bifidobacterium_pseudocatenulatum,5.10586428532451
s__Adlercreutzia_equolifaciens,5.09094855793177
s__Ruminococcus_sp._AF37_3AC,5.05928082896994
s__Coprococcus_eutactus,4.99383085199462
s__Agathobaculum_butyriciproducens,4.92379801389129
s__Ruminococcus_bromii,4.8607498712235
s__Bifidobacterium_longum,4.79171434834385
s__Clostridium_saudiense,4.76011147458818
s__Anaerotardibacter_sp._CLA_AA_M13,4.7452256857253
s__Alistipes_indistinctus,4.74021478057028
s__Mediterraneibacter_butyricigenes,4.73251148197013
s__Bilophila_wadsworthia,4.71619894936487
s__Clostridium_sp._L2_50,4.7022322433973
s__Blautia_sp._MCC283,4.65495300902837
s__Jingyaoa_shaoxingensis,4.62818899497683
s__Solobacterium_moorei,4.62785113186111
s__Desulfovibrio_piger,4.62181549554834
s__Lachnoclostridium_sp._210928_DFI_6_3,4.60090864500704
s__Faecalibacterium_sp._I3389,4.58533960980401
s__Clostridium_sp._AM49_4BH,4.58490545631044
s__Butyricicoccus_sp._BIOML_A1,4.5645564402737
s__Blautia_sp._MSK_20_85,4.55597983221138
s__Clostridium_sp._OM08_29,4.54645701842256
s__Faecalibacillus_sp._H12,4.53597660558263
s__Clostridium_sp._AF43_10,4.44676053687324
s__Roseburia_sp._CLA_AA_H204,4.42973125020276
s__Ruminococcus_sp._BSD2780120874_150323_B10,4.37193305284233
s__Turicibacter_sanguinis,4.36400726239234
s__Ruminococcus_sp._FMBCY1,4.34751810939479
s__Terrisporobacter_mayombei,4.33103837311873
s__Blautia_sp._Marseille_P3087,4.31651274381424
