taxa,median_t
s__Anaerotignum_faecicola,501.62897567575
s__Clostridium_sp._AM42_36,495.123921889587
s__Blautia_sp._MSJ_36,493.78992624511
s__Dorea_phocaeensis,492.356219264244
s__Waltera_sp._CLA_AA_H273,491.304438563291
s__Bifidobacterium_longum,469.085066389372
s__Roseburia_faecis,458.832955996668
s__Faecalibacillus_sp._MSK20_93,455.138351528128
s__Clostridium_sp._OM08_29,445.836497572487
s__Blautia_massiliensis,444.023147582326
s__Suilimivivens_aceti,431.767411236278
s__Alistipes_putredinis,427.238865544613
s__Roseburia_hominis,401.920913055048
s__Blautia_glucerasea,400.097961556139
s__Bifidobacterium_adolescentis,399.307807361948
s__Collinsella_bouchesdurhonensis,397.861707388649
s__Ruminococcus_flavefaciens,393.117857882356
s__Ruminococcus_sp._BSD2780120874_150323_B10,391.072339618281
s__Ruminococcus_bicirculans,386.305096156833
s__Faecalibacterium_sp._CLA_AA_H233,383.4057072219
s__Mediterraneibacter_faecis,379.436768920935
s__Bacteroides_caccae,374.474361466491
s__Intestinibacter_bartlettii,371.666197155588
s__Bacteroides_stercoris,370.373332890727
s__Ruminococcus_gnavus,366.969298917107
s__Clostridium_perfringens,366.109431053884
s__Mediterraneibacter_glycyrrhizinilyticus,352.208428834453
s__Dorea_sp._AM58_8,351.311017978561
s__Ruminococcus_sp._NSJ_13,347.505475548658
s__Clostridium_spiroforme,346.828270506564
s__Evtepia_gabavorous,345.339624119357
s__Dorea_ammoniilytica,331.781190693151
s__Ruminococcus_bromii,329.390863005617
s__Pseudoflavonifractor_sp._MSJ_30,324.108671709072
s__Dorea_sp._AM10_31,323.356223702633
s__Eubacterium_sp._AF22_8LB,311.362717751508
s__Alistipes_shahii,306.319069145804
s__Akkermansia_muciniphila,303.033775866358
s__Dialister_succinatiphilus,298.111080463736
s__Ruminococcus_sp._AF37_3AC,297.063680158882
s__Alistipes_onderdonkii,293.060442094106
s__Blautia_sp._MSK20_18,286.852146636307
s__Blautia_sp._BIOML_A1,284.317247367838
s__Blautia_luti,255.353873686816
s__Prevotella_sp._885,252.785999224646
s__Lachnospira_eligens,250.738851247355
s__Phocaeicola_massiliensis,249.035277032345
s__Blautia_sp._MSK_20_85,245.301856571768
s__Clostridium_sp._1001270H_150608_G6,238.820945894523
s__Fusicatenibacter_sp._CLA_AA_H277,234.052924819284
s__Clostridium_sp._L2_50,229.82352102594
s__Dysosmobacter_sp._BX15,212.30268921252
s__Ruminococcus_sp._Marseille_P6503,210.248469550231
s__Faecalibacillus_sp._H12,210.146348227979
s__Extibacter_muris,209.814137758915
s__Alistipes_communis,201.721751719633
s__Blautia_faecicola,194.553873282101
s__Faecalibacterium_prausnitzii,192.453304227661
s__Dorea_formicigenerans,189.646809826137
s__Ruminococcus_lactaris,176.550773736576
s__Streptococcus_salivarius,176.235597699129
s__Butyrivibrio_crossotus,175.76055029769
s__Faecalibacterium_sp._Marseille_Q4896,174.837746852645
s__Blautia_wexlerae,166.899184963951
s__Kineothrix_sp._MSJ_39,162.934646107265
s__Roseburia_intestinalis,159.869707098889
s__Agathobaculum_sp._M2,157.979407918556
s__Mediterraneibacter_sp._NSJ_151,157.746628068777
s__Ruminococcus_torques,156.048190549838
s__Clostridium_sp._AF37_5,149.303709958878
s__Methanobrevibacter_smithii,146.217566667375
s__Blautia_sp._MCC283,145.753260702548
s__Clostridium_sp._AF36_4,143.616468099932
s__Flavonifractor_plautii,139.914288304865
s__Parabacteroides_distasonis,139.190687269126
s__Qingrenia_yutianensis,137.714710426749
s__Cyclospora_cayetanensis,126.075542399212
s__Oscillibacter_valericigenes,124.029212912306
s__Ruthenibacterium_lactatiformans,121.58481931987
s__Ruminococcus_champanellensis,118.840167896048
s__Paraprevotella_clara,114.148466756462
s__Alistipes_indistinctus,113.30020806982
s__Dorea_longicatena,104.187799378916
s__Faecalicatena_fissicatena,99.2654506427522
s__Allisonella_histaminiformans,96.3031353919174
s__Streptococcus_thermophilus,94.316605583017
s__Dysosmobacter_welbionis,80.1930000938045
s__Pseudoflavonifractor_capillosus,73.6625128721847
s__Anaeromassilibacillus_sp._An200,71.9769582319564
s__Coprococcus_comes,65.6761256333484
s__Faecalibacterium_sp._HTFF,60.5548336804329
s__Schaalia_odontolytica,58.1189958142947
s__Pseudoflavonifractor_phocaeensis,54.7740094275522
s__Streptococcus_parasanguinis,45.6172891691032
