Taxa,name,cooccurrence_g1,cooccurrence_g2,cor_g1,cor_g2,diff_cor,p,sign
data1 - s__Absicoccus_porci,data2 - HMDB0031152,94,65,-0.314731570913995,0.0167075245796012,0.331439095493596,0.0375408650907443,g1-
data1 - s__Absicoccus_porci,data2 - HMDB0033591,94,65,0.00327519249180733,0.321491411972986,0.318216219481179,0.0450541233549868,g2+
data1 - s__Absicoccus_porci,data2 - HMDB0036850,94,65,-0.236890059100299,-0.307923349780298,0.0710332906799983,0.641067281281304,g2-
data1 - s__Absicoccus_porci,data2 - HMDB0243932,94,65,-0.0576372903276689,0.306892266920782,0.364529557248451,0.0228421702706172,g2+
data1 - s__Absicoccus_porci,data2 - HMDB0246328,94,65,0.0108841954339634,-0.309022379973839,0.319906575407803,0.0448499986917159,g2-
data1 - s__Absicoccus_porci,data2 - HMDB0254784,94,65,-0.0322473849288182,-0.352177266542424,0.319929881613606,0.0415136598674777,g2-
data1 - s__Adlercreutzia_equolifaciens,data2 - HMDB0000896,149,82,-0.0406051714206442,-0.318999380589956,0.278394209169311,0.0379260540135296,g2-
data1 - s__Adlercreutzia_equolifaciens,data2 - HMDB0002335,149,82,0.131174482625225,-0.32872346370652,0.459897946331744,0.000701636120382876,g2-
data1 - s__Adlercreutzia_equolifaciens,data2 - HMDB0030255,149,82,0.315083963368459,0.169550207401694,0.145533755966765,0.26717428913456,g1+
data1 - s__Adlercreutzia_equolifaciens,data2 - HMDB0241939,149,82,0.0694700610360132,-0.317300715896658,0.386770776932671,0.00435550557193798,g2-
data1 - s__Adlercreutzia_equolifaciens,data2 - HMDB0256292,149,82,0.0614054034536236,0.300762426838823,0.239357023385199,0.0747679051945196,g2+
data1 - s__Adlercreutzia_equolifaciens,data2 - HMDB0260335,149,82,-0.107423882261094,-0.323375269227226,0.215951386966132,0.103236447642659,g2-
data1 - s__Adlercreutzia_equolifaciens,data2 - HMDB0262734,149,82,-0.0429058434268196,-0.316105926730014,0.273200083303195,0.0417390922708847,g2-
data1 - s__Agathobaculum_butyriciproducens,data2 - HMDB0000050,151,82,0.229130766016396,0.319051652822238,0.0899208868058414,0.48490181965136,g2+
data1 - s__Agathobaculum_butyriciproducens,data2 - HMDB0002825,151,82,0.00618121566780266,0.312446683309724,0.306265467641921,0.0228715031003306,g2+
data1 - s__Agathobaculum_butyriciproducens,data2 - HMDB0005808,151,82,0.0502966900127906,0.321880781567701,0.27158409155491,0.0419574665959972,g2+
data1 - s__Agathobaculum_butyriciproducens,data2 - HMDB0014980,151,82,-0.0575807807721315,-0.314528480160229,0.256947699388098,0.0545050151959503,g2-
data1 - s__Agathobaculum_butyriciproducens,data2 - HMDB0030539,151,82,0.300471065881906,0.380585919277751,0.0801148533958446,0.51505355272188,g2+
data1 - s__Agathobaculum_butyriciproducens,data2 - HMDB0034381,151,82,-0.116228867258923,-0.306939074960168,0.190710207701245,0.150355676020811,g2-
data1 - s__Agathobaculum_butyriciproducens,data2 - HMDB0038805,151,82,0.110023544327917,0.317095005538322,0.207071461210405,0.117785230871456,g2+
data1 - s__Agathobaculum_butyriciproducens,data2 - HMDB0041872,151,82,-0.0535991246158285,-0.300349963131654,0.246750838515826,0.0659028171369063,g2-
data1 - s__Agathobaculum_butyriciproducens,data2 - HMDB0260335,151,82,0.266434081549143,0.300096891353387,0.0336628098042434,0.79277850823133,g2+
data1 - s__Agathobaculum_butyriciproducens,data2 - HMDB0302981,151,82,-0.081028450426881,-0.350911462027136,0.269883011600255,0.0406213496781347,g2-
data1 - s__Agathobaculum_sp._M2,data2 - HMDB0000230,143,79,0.0647403277874314,0.334980162233338,0.270239834445906,0.0465447148224036,g2+
data1 - s__Agathobaculum_sp._M2,data2 - HMDB0011749,143,79,-0.16520774163261,-0.326106696536071,0.160898954903461,0.228094175805741,g2-
data1 - s__Agathobaculum_sp._M2,data2 - HMDB0015562,143,79,-0.191771763019695,-0.30596756857462,0.114195805554925,0.392188128585962,g2-
data1 - s__Agathobaculum_sp._M2,data2 - HMDB0030772,143,79,0.264292598372067,0.316122743057391,0.0518301446853248,0.691104308624014,g2+
data1 - s__Agathobaculum_sp._M2,data2 - HMDB0038758,143,79,-0.310252537988812,-0.303665762533664,0.00658677545514785,0.959294794935446,g1-
data1 - s__Agathobaculum_sp._M2,data2 - HMDB0061073,143,79,0.00620213774917044,-0.34780133440886,0.35400347215803,0.0095746201550051,g2-
data1 - s__Agathobaculum_sp._M2,data2 - HMDB0114845,143,79,-0.150935397059209,-0.375017453461777,0.224082056402568,0.0892177125080824,g2-
