Gut Species	Gut GO	Gut MTB-POS	Gut MTB-NEG	Plasma MTB-POS	Plasma MTB-NEG
Prevotella sp. P5 64	3.81523176015695	2.50264863646934	2.6306810874144	1.91537064009319	1.35532155109816	2.73010371994977
Prevotella sp. P4 67	3.73667693464823	1.67382978159043	2.17260269921788	0.784339566197698	2.17913520117592	0
Mogibacterium kristiansenii	3.38747430227172	1.50587528329173	2.21813774448378	2.05798446007163	1.91616681844205	1.53277205919526
Bacteroides thetaiotaomicron	3.37826108635759	2.22430812079288	2.77734964956906	2.16708028943592	0	3.24542218534421
Dorea sp. OM07 5	3.28461359000786	2.18130327646864	1.45870462618871	4.15457259454375	2.16759905241671	2.57094106715589
Bacteroides uniformis	3.23589014938366	1.4433329297732	2.2308297712134	0.920907905720853	3.71082852459256	2.37748875302084
Holdemanella biformis	3.23194204319042	1.58314019390591	2.17111560737876	1.75191613424917	1.40216558253555	1.37150559371661
Blautia faecis	3.18968531903187	2.53643369146709	2.30123546495826	1.82935362077614	0.726353750006149	1.77699082644111
Brotomerdimonas butyrica	3.15600119653852	0.00358585460165431	2.47587535774684	1.5480494967107	1.09615549019706	1.26165283134191
Dorea sp. NSJ 36	3.01442869746734	1.72765418004293	1.92234851912947	2.54573661760296	0	0
Bacteroides xylanisolvens	2.03706608514287	4.67027286265074	2.33162683546686	1.57736003376515	1.8300084842255	3.32431661438025
Phascolarctobacterium succinatutens	2.6684684541218	3.19722272794254	1.58283783741172	1.95303413280243	4.04958743986792	3.08031419094689
Blautia sp. MSJ 19	1.40305152374153	3.05214903226043	1.34909532563489	2.03903705915112	2.93402774903957	2.29320830532665
Faecalibacterium sp. CLA AA H233	1.18153216928565	2.89205729694043	2.13776158626072	1.34445511222311	4.19334618206552	1.04674201420284
Prevotella sp. Marseille P4119	2.23316658775981	2.80292067293684	2.28679017707398	3.36071946538945	1.96037905124062	2.38081984367071
Vescimonas coprocola	1.44474354044004	2.78656601037487	1.53920565642338	1.18936732435512	0.754951040718737	0.964277603025379
Catenibacterium mitsuokai	0.004499380342573	2.61749388346136	1.59283364653757	2.84993598927827	1.34648227601148	1.19489300381319
Roseburia inulinivorans	1.69625448409063	2.5213645307206	1.24450929479894	1.40245265730249	1.84076354886867	0.452172738690599
Slackia isoflavoniconvertens	1.05395341419467	0.752030951026921	2.58220418697169	2.35821778728054	2.07639528812845	2.86819393212783
Oscillibacter sp. MSJ 31	1.33783299716918	1.83820516190707	2.43232092967622	1.63272457305315	0.401471801844179	1.38122806435687
Ellagibacter isourolithinifaciens	1.16316560410926	0.76821986825665	2.41832943606786	2.43945289892365	1.63985406564892	2.35248552319519
Lentihominibacter faecis	1.82507851773473	0.275678559825363	2.17181204024516	2.73289397701526	0.606291303591789	1.61016177557436
Eggerthella lenta	1.35565631502307	1.7762512167101	2.16346697546417	2.2310217003431	2.53848467455966	2.04594869584548
Yeguia hominis	2.9032258940371	1.93108448019565	2.10631169123229	1.30362774827593	0.221925009015581	0.546854382575864
Streptococcus salivarius	1.03090712174047	1.1368792286888	2.08706451496792	2.05444649641918	0	1.53232223113424
Ruthenibacterium lactatiformans	0.584146324125652	0.27580164011658	1.6064954524595	3.48283089271915	3.39144057238026	2.54986455248177
Ruminococcus champanellensis	0.532021716940934	0.640304337515745	1.82024649988271	3.34514759952437	0.970616844130846	1.86876289789957
Blautia massiliensis	1.03865022364997	1.07684786196583	0.777614223195274	3.04989333216169	1.45646439695122	2.28086507683362
Anaerotardibacter sp. CLA AA M13	1.62994892679451	1.37547993304299	1.98593615957397	2.42140275550278	2.79672428007345	1.66397206236294
Cyclospora cayetanensis	0.018316195236511	1.19441734224654	0.905040374493168	2.40401013394549	1.92358630076089	2.07771318094915
Intestinimonas sp. MSJ 38	1.97083376293639	1.66517893376871	1.03772427623729	2.10922851728712	1.12704404652067	1.55524328088882
Fusicatenibacter saccharivorans	1.26050054248891	1.59487652985438	1.09908984706073	0.827013448982371	3.37439985797109	3.52970334029184
Prevotella copri	0.875848361981534	1.47563605108099	1.32091839961662	1.59455441987866	3.30940987425254	0.861534190951988
Terrisporobacter glycolicus	0.352143501168255	1.198570307903	1.69395604818016	1.70582282859075	3.24487982028982	3.18015290220032
Anthropogastromicrobium aceti	1.82611583745867	2.00108464322392	0.797644031902104	1.60207236969353	2.84953909295409	1.66405109774809
Adlercreutzia equolifaciens	2.13607539613729	2.86182822572795	2.93810377922119	1.06270394084318	2.63482483237288	1.12701710146364
Bacteroides fragilis	1.73152209202261	1.3830135458025	1.14002636623303	2.5673819269547	5.01809776845806	3.65865239345744
Suilimivivens aceti	1.18228490368743	2.17208831063246	0.937452348195042	2.22864164109866	2.0116343618015	3.27951551468789
Dorea formicigenerans	0.216900873401364	0.370914914659251	1.30833940703334	1.57905960746749	1.60913540247993	3.20865640084414
Gallintestinimicrobium propionicum	1.7259535269588	1.62110038893978	2.00627952258998	2.54107736430489	3.78988509161173	2.78436856832472
Roseburia intestinalis	0.867264054264262	0.267784430237645	0.705394188600043	0.892903652445901	1.90665376640449	2.43907993700135
