Oral Species	Oral GO	Oral MTB-POS	Oral MTB-NEG	Plasma MTB-POS	Plasma MTB-NEG	Gut Species
Actinomyces sp. ICM47	1.37502253451114	1.37662855090267	0.434988787407655	2.6538579910939	1.40365898221532	0	0
Streptococcus sp. F0442	1.41353966186873	1.96893550110943	1.56728476839554	2.54462889475809	0	0.999433170481168	0
Neisseria sp. oral taxon 014	1.04191298331528	1.1167691954788	1.8959975982723	2.3095786252851	1.839040693985	0	0
Mogibacterium diversum	0.818574643363021	1.40798372830987	2.13217436776469	2.08903485102872	3.56604248071357	3.07179802005985	1.43634897168982
Actinomyces sp. oral taxon 172	2.0850232775411	1.44600072582255	0	1.42019021350495	3.54460613439639	3.67489561946881	0
Rothia sp. HMSC072B04	1.76752535617198	1.57212896599613	0	0.247405318767335	3.50574882528488	0.511893739930154	0
Veillonella rogosae	1.34172712905429	1.80466252028044	1.57803930114041	0	3.359804039509	2.88200452748822	0
Actinomyces sp. ICM58	1.44419047158731	1.52786674831166	0	1.94326631327573	3.29418419317181	3.85543535065163	0
Porphyromonas sp. KLE 1280	0.795704620831078	1.76943173497508	0	0	2.70917328777124	1.12290217791267	0
Schaalia odontolytica	1.753488430731	0.0711942749976415	0	0.153512728443867	2.19989051993062	2.04715822354677	4.26780819801205
Lachnoanaerobaculum saburreum	1.62141157720863	2.50433293217649	0	2.25272310325958	2.44452642218847	4.78636072852539	0
Haemophilus haemolyticus	0.765559020045706	1.15006387102345	2.19947424286	1.7884410746467	2.6127571031918	4.29730831064111	2.14792376887164
Streptococcus pneumoniae	0.106404323328842	0.787509240320631	0	1.17292402126509	0.985911140029949	4.03447217766528	1.28778591616796
Prevotella salivae	0.439379102472783	1.47126086315392	1.25852234705147	0.590935588085887	0	3.63096725779408	2.49485356331326
Prevotella pallens	0.444578493932759	0.432845996647501	1.49911275590619	0.325299375814424	1.57697717734644	3.45804315043483	3.1474185105723
Streptococcus anginosus	1.24605051061102	0.787780490674957	0.609184696535131	1.4869479890036	0	3.39686550431079	3.06526065787007
Campylobacter concisus	0.018425477976384	1.1351097306285	0	0	2.74517023535812	2.95197712708586	1.47035396762125
Porphyromonas pasteri	1.17276192570688	1.47418628778055	0	0	2.7211549346245	2.94492410602561	0
Neisseria sicca	0.338705285773283	0.0877266288655509	0.173813219081881	1.16004700668919	2.07600305852616	2.76191262659551	0
Streptococcus sp. HMSC056C01	1.27405448891219	1.98376520743053	0	0	0.0356994724269648	2.72509027113438	0
Abiotrophia sp. HMSC24B09	1.6125701607064	1.80767626658926	0	1.41587196895517	0	3.03949990101838	4.60892087578671
Actinomyces sp. S6 Spd3	0.729445911186515	1.61968784361717	1.26726674820162	1.37396754568444	0.775816042424216	1.99663915380392	4.56650551845235
Porphyromonas bobii	1.38383035647005	1.43065366409839	1.38641862370168	0.542636373394569	2.66876475332153	2.28744747154419	4.27614413708667
Actinomyces sp. ph3	0.14293350870898	0.0637370896284355	0.808893869786023	1.85295026545052	1.542226945468	1.38359762050647	4.10846707348953
Porphyromonas somerae	0.188668152987847	1.04492682517276	2.07701091560344	0	1.74111998992618	2.56349591228739	3.49816269443287
Streptococcus sp. A12	1.19009896200697	2.03087071407622	0.671202203332657	0.0421455195069634	2.05072431583727	1.94365369802098	3.43804869922982
Streptococcus sp. 1001283B150225 161107 H12	2.00880347266999	0.909901903976785	0.756153369693142	0.0313275881163196	1.24429231425436	2.19477325984076	3.32616335904521
