Oral Species	Oral GO	Oral MTB-POS	Oral MTB-NEG	Plasma MTB-POS	Plasma MTB-NEG	Gut Species
Fusobacterium periodonticum	4.30839611703885	1.925555304364	0.605853105685765	3.7198856305771	0.836296086822411	2.7680816813118	2.0169117643833
Fusobacterium pseudoperiodonticum	4.29384317110703	0.259717050979457	0	0	0	1.64991674304496	1.71540644232747
Rothia mucilaginosa	2.58003210911587	0.105052937864946	1.67091478536195	0.192667098392495	1.63041687892124	1.01003515810259	0
Rothia sp. HMSC065C12	2.47967826001528	2.62954365630514	0	2.08563638668017	2.87537621860657	0.843978758301532	0
Rothia sp. HMSC072E10	2.45849724235038	0.00146144105329796	0.353133858594472	0.0804527409121574	0.627477088073158	0.182481333375093	1.17977635807905
Rothia sp. HMSC062F03	2.42365442558441	1.31314519431453	0.0159267767090383	0.475194053596197	0.0723853113565005	1.06981763357407	1.4771793328299
Streptococcus sp. SK140	2.40018448238677	2.75337826681981	1.21755880196508	0	1.94341401979114	1.69791658548613	0
Streptococcus sp. HPH0090	2.38950819539423	0.0921381745924094	1.9494085200853	1.67525588818625	2.46106340785727	0.672081206288312	0
Candidatus Nanosynbacter sp. TM7 075	2.21325090622948	2.52581292989924	0	0	2.89551246779616	2.92535755713167	0
Streptococcus sp. HMSC074B11	2.13950049744307	1.69528379620599	1.78071031173042	1.45056896728966	1.22787078856177	1.25469378835093	1.13154857541372
Haemophilus parainfluenzae	1.05058864355512	3.83425222343378	1.63469192058197	2.29726874660343	1.24359423078349	1.44610580426242	0
Veillonella dispar	1.41170908725473	2.51675054770184	0.0449477658585009	1.88938850000654	0	1.23429250504381	0
Streptococcus salivarius	0.158023634117747	2.3225606460835	0	2.90710771668092	1.20677041467678	1.70563993017351	0
Veillonella nakazawae	1.57912490527159	2.14632019845685	0	0.907835129778526	0	0.500459499321252	0
Streptococcus sp. HMSC034E03	0.569499938868377	2.04534629069275	0	1.92282166320279	0	0	0
Streptococcus oralis	0.228434251400196	1.27476721533743	2.567295865928	2.10931739293927	3.05629080236268	2.19529093815058	0
Streptococcus sp. oral taxon 061	0.776588237466954	1.65288112456374	2.35083580334542	1.35486601926959	0	1.2493698719106	0
Actinomyces bouchesdurhonensis	0.0176722722416854	1.08221628678422	2.16272267214693	0.778099103863745	2.27225513393618	3.68702822606564	0
Prevotella melaninogenica	0.528898664917288	2.16436405394034	2.14357513252002	2.37764675431817	2.92288880898096	0	2.14434035089886
Rothia aeria	0.828670163831727	1.18035677409033	0	4.2700310057097	0.776451511152253	1.36101333789524	0
Prevotella jejuni	0.165132602374717	0.611843202843626	1.00613676385311	3.3187525098861	0	0.767091720170503	2.34076191160964
Rothia dentocariosa	1.98085932911167	0.661450309311378	1.64913269996154	3.21677065010904	1.988726018177	1.55782011482503	0
Streptococcus sanguinis	0.00812911176422507	0.875453237090853	1.49084034467446	3.08146072320457	2.15136493742782	0	0.62984966477552
Haemophilus parahaemolyticus	0.90852403355168	1.36852345464612	1.29285102276926	2.85202271218194	2.41239480812102	1.55331218711984	0
