SPTW1DNA1d202401	SPTW2DNA3d202401	SPTW2DNA5d202401	SPTW2DNA7d202401	SPTW2DNA9d202401	SPTW2DNA11d202401	SPTW2DNA13d202401	SPTW2DNA14d202401	SPTW2DNA16d202401	SPTW2DNA18d202401	SPTW2DNA19d202401	SPTW2DNA21d202401	SPTW2DNA25d202401	SPTW2DNA27d202401	SPTW2DNA29d202401	SPTW2DNA31repeatd202401	SPTW2DNA33d202401	SPTW2DNA39d202401	SPTW2DNA41d202401	SPTW2DNA43d202401	SPTW2DNA45d202401	SPTW2DNA47d202401	SPTW2DNA48d202401	SPTW2DNA50d202401	SPTW2DNA51d202401	SPTW2DNA53d202401	SPTW2DNA55d202401	SPTW2DNA57d202401	SPTW2DNA59repeatd202401	SPTW2DNA61d202401	SPTW2DNA62d202401	SPTW2DNA64d202401	SPTW2DNA66d202401	SPTW2DNA68repeatd202401	SPTW2DNA69d202401	SPTW2DNA70d202401	SPTW2DNA71d202401	SPTW2DNA72d202401	SPTW2DNA73d202401	SPTW2DNA74d202401	SPTW2DNA76d202401	SPTW2DNA77d202401	SPTW2DNA80d202401	SPTW2DNA81d202401	SPTW2DNA82d202401	SPTW2DNA84d202401	SPTW2DNA85d202401	SPTW2DNA86d202401	SPTW2DNA88d202401	SPTW2DNA90d202401	SPTW2DNA91d202401	SPTW2DNA92d202401	SPTW2DNA93d202401	SPTW2DNA94d202401	SPTW2DNA96d202401	SPTW2DNA97d202401	SPTW2DNA99d202401	SPTW2DNA103d202401	SPTW2DNA106d202401	SPTW2DNA107d202401	SPTW2DNA109d202401	SPTW2DNA111d202401	SPTW2DNA112d202401	SPTW2DNA115repeatd202401	SPTW2DNA116d202401	SPTW2DNA118d202401	SPTW2DNA120d202401	SPTW2DNA122d202401	SPTW2DNA123d202401	SPTW2DNA125d202401	SPTW2DNA127d202401	SPTW2DNA128d202401	SPTW2DNA129d202401	SPTW2DNA131d202401	SPTW2DNA132d202401	SPTW2DNA133d202401	SPTW2DNA135d202401	SPTW2DNA136d202401	SPTW2DNA138d202401	SPTW2DNA140d202401	SPTW2DNA143d202401	SPTW2DNA144d202401	SPTW2DNA146d202401	SPTW2DNA147d202401	SPTW2DNA149d202401	SPTW2DNA151d202401	SPTW2DNA153d202401	SPTW2DNA154d202401	SPTW2DNA156d202401	SPTW2DNA157d202401	SPTW2DNA159d202401	SPTW2DNA160d202401	SPTW2DNA161d202401	SPTW2DNA166d202401	SPTW2DNA168d202401	SPTW2DNA169d202401	SPTW2DNA170d202401	SPTW2DNA172d202401	SPTW2DNA174d202401	SPTW2DNA176d202401	SPTW2DNA178d202401	SPTW2DNA180d202401	SPTW2DNA182d202401	SPTW2DNA184d202401	SPTW2DNA186d202401	SPTW2DNA187d202401	SPTW2DNA189d202401	SPTW2DNA190d202401	SPTW2DNA191d202401	SPTW2DNA192d202401	SPTW2DNA193d202401	SPTW2DNA194d202401	SPTW2DNA195d202401	SPTW2DNA196d202401	SPTW2DNA197d202401	SPTW2DNA199d202401	SPTW2DNA200d202401	SPTW2DNA201d202401	SPTW2DNA203d202401	SPTW2DNA205d202401	SPTW2DNA207d202401	SPTW2DNA208d202401	SPTW2DNA210d202401	SPTW2DNA211d202401	SPTW2DNA213d202401	SPTW2DNA215d202401	SPTW2DNA217d202401	SPTW2DNA218d202401	SPTW2DNA219d202401	SPTW2DNA222d202401	SPTW2DNA223d202401	SPTW2DNA225d202401	SPTW2DNA226d202401	SPTW2DNA229d202401	SPTW2DNA231d202401	SPTW2DNA233d202401	SPTW2DNA234d202401	SPTW2DNA236d202401	SPTW2DNA237d202401	SPTW2DNA238d202401	SPTW2DNA239d202401	SPTW2DNA242d202401	SPTW2DNA244d202401	SPTW2DNA245d202401	SPTW2DNA246d202401	SPTW2DNA247d202401	SPTW2DNA248d202401	SPTW2DNA250d202401	SPTW2DNA251d202401	SPTW2DNA252d202401	SPTW2DNA253d202401	SPTW2DNA254d202401	SPTW2DNA256d202401	SPTW2DNA258d202401	SPTW2DNA262d202401	SPTW2DNA263d202401	SPTW2DNA264d202401	SPTW2DNA265d202401	SPTW2DNA267d202401	SPTW2DNA269d202401	SPTW2DNA270d202401	SPTW2DNA271d202401	SPTW2DNA273d202401	SPTW2DNA275d202401	SPTW2DNA277d202401	SPTW2DNA278d202401	SPTW2DNA280d202401	SPTW2DNA282d202401	SPTW2DNA283d202401	SPTW2DNA285d202401	SPTW2DNA287d202401	SPTW2DNA289d202401	SPTW2DNA291d202401	SPTW2DNA294d202401	SPTW2DNA296d202401	SPTW2DNA298d202401	SPTW2DNA300d202401	SPTW2DNA301d202401	SPTW2DNA303d202401	SPTW2DNA304d202401	SPTW2DNA306d202401	SPTW2DNA307d202401	SPTW2DNA309d202401	SPTW2DNA311d202401	SPTW2DNA312d202401	SPTW2DNA316d202401	SPTW2DNA317d202401	SPTW2DNA318d202401	SPTW2DNA320d202401	SPTW2DNA322d202401	SPTW2DNA323d202401	SPTW2DNA325d202401	SPTW2DNA328d202401	SPTW2DNA330d202401	SPTW2DNA332d202401	SPTW2DNA333d202401	SPTW2DNA335d202401	SPTW2DNA336d202401	SPTW2DNA338d202401	SPTW2DNA340d202401	SPTW2DNA342d202401	SPTW2DNA344d202401	SPTW2DNA345d202401	SPTW2DNA347d202401	SPTW2DNA349d202401	SPTW2DNA350d202401	SPTW2DNA351d202401	SPTW2DNA352d202401	SPTW2DNA355d202401	SPTW2DNA356d202401	SPTW2DNA357d202401	SPTW2DNA358d202401	SPTW2DNA359d202401	SPTW2DNA360d202401	SPTW2DNA361d202401	SPTW2DNA362d202401	SPTW2DNA363d202401	SPTW2DNA365d202401	SPTW2DNA366d202401	SPTW2DNA367d202401	SPTW2DNA368d202401	SPTW2DNA369d202401	SPTW2DNA370d202401	SPTW2DNA371d202401	SPTW2DNA372d202401	SPTW2DNA373d202401	SPTW2DNA374d202401	SPTW2DNA375d202401
GO_none	0.181471414060174	-0.0630642968867725	-0.115298958520137	0.16459853765526	-0.0760958409035137	-0.399443757069799	0.312445725598622	0.0440750176411207	-0.350309743391771	-0.259142257230749	-0.338263187348955	0.0315534362325802	-0.0123791263382063	-0.349939849801008	-0.054036551345928	-0.356163515584582	-0.0263970662590121	0.107784701650997	-0.298601610352158	-0.17385766299713	0.362396986906704	-0.646738130524755	0.0706906722084817	0.161059558855987	-0.436742257214793	0.0124733164868904	-0.237382475277174	-0.0646132558541033	0.208392747309332	0.323439727151168	0.135521306819469	-0.0335211958912806	0.0940245531929533	-0.0270862182185819	-0.0196025772169772	-0.271178760818117	0.130211415883723	-0.000564612917438589	0.213221365038548	0.661195557026867	0.146804553542699	-0.150287789049994	-0.190722684109316	-0.309662735265821	-0.0896889551251666	0.142922215077744	0.26683383533652	0.583503976727999	0.0973913786491448	0.00660547575911064	-0.172018760703907	-0.190853485840113	-0.231472183905349	-0.0980800950902938	-0.348024621023216	-0.208155387808974	-0.58804033217683	-0.169139464293226	-0.450477584246902	1.34286350696076	0.722146910369453	2.0812409384664	-0.0630667060669028	-0.0680572237363655	-0.0320354264393726	-0.459494216038946	0.457212149323269	0.194457695096069	-0.0947036472203893	-0.472272733889579	-0.188107422450077	-0.385095441971029	-0.138860558539543	-0.622196065710428	-0.356838881226404	0.397656917620112	0.0108561875078632	0.107743033765017	-0.935647443682403	-0.286676336320517	-0.00755105900599928	-0.169475467653989	-0.184581884420704	0.05837061651105	-0.31800896093133	0.17066054657548	0.0510243991278005	0.253290350272135	-0.237458522432798	-0.11846050505558	0.0739453883893859	0.611820156361005	-0.0314544807880984	-0.276826864223285	-0.367932439797573	-0.303844719057783	0.0780461746922838	-0.0227367960262613	0.152043692267187	0.445065629202983	0.346177112957256	-0.173412430650392	-0.108765735383522	-0.500424943447464	-0.143717567350392	0.335102536499154	0.115551844395275	0.2839460394625	-0.158014418152354	0.0205653709259225	-0.247819473052215	-0.235581162856777	-0.0650584629189497	-0.32067712748325	-0.364619086554288	0.388010422497917	-0.196382256305852	-0.500170252456702	-0.428353687730376	0.646240182446445	-0.280555367883544	0.0954077297283251	-0.122617951852261	-0.104738676564935	-0.176593238085825	-0.0424597592576672	0.00450275775038655	0.31509671542668	-0.0389575170372947	0.151488151437479	0.188598035216069	-0.111674474245373	-0.469699228056971	1.30470816083729	-0.305299309102471	0.0765302536226258	1.05097501608017	0.249673182745866	0.119187148491646	-0.0757643206254002	-0.453108690588395	-0.311835598187166	1.48713844898842	0.116386311575509	-0.153830566846455	-0.211408266246761	-0.349829381475263	-0.0646798377860336	-0.200256441171583	0.145881439267845	-0.121296984019377	-0.119018322891155	-0.415047469556145	-0.19798365722479	-0.121070332503873	-0.0857688838983463	0.0828264812826678	-0.541083877135766	-0.420470353279467	0.321133842181379	-0.0400509911162651	-0.189315989448374	-0.0452904396047388	-0.0133190330729742	-0.626391161667945	-0.158151449060023	0.173180105636138	-0.0339209930279327	0.217877269821696	-0.185703794841802	0.0938681329935604	0.191226327600148	0.0581124321077111	0.105066534275025	0.171911803036758	-0.070485986293477	-0.203865517465647	0.814296644187834	-0.531752190051067	0.0228572722739189	0.121115088301935	0.0539460895076852	-0.278966403300891	0.123788675812926	-0.0942731056209332	-0.067064057949826	0.15174169037238	-0.426680970211019	0.330235574058374	0.0282338807024618	0.230799521745039	0.261605056389012	0.289354132081269	0.0722837056250337	-0.0173419779080464	-0.234376530714886	0.412710742513751	0.0222539769758086	-0.0133804017912891	0.255012716161333	0.242744076879875	-0.0751512317253049	0.071740742904066	0.327901506990001	0.235581442559956	0.221797388831202	-0.0359282376851413	0.0366208196395483	0.22637202736032	-0.130414045570544	-0.0489920799606733	0.0867737060046538	-0.00447865798872141	0.0828212116911637	0.120215205365971	-0.142456584868238	0.490034486756961	-0.342718766911945	-0.00285542503500699	-0.216091904204362	0.135198430322653	0.202463485405645	-0.0828518987245661	0.140740761270447	0.387684893959811	0.123154053969656	-0.186861093095079	0.125523925552471
GO:0005524	0.159163618835927	0.297780121577822	0.129542454234363	0.126693476878623	0.407761645641524	-0.10510473573419	-0.227337991429567	0.0613864965955748	-0.412010483050781	0.000556256792937027	-0.0816079522281943	-0.0294657995727132	0.276466240915589	-0.236707908623835	-0.0325314030165638	0.114632279302584	0.00642378625337847	-0.341365437183646	-0.181988530624651	0.137351873362589	0.194652731615752	-0.0685676525370826	-0.119492371808084	-0.404604815121237	0.0503082297518878	0.706264753009798	0.0265600323785392	0.255024244908145	0.0332059093371582	-0.05466273126099	-0.55606658943372	0.0757674472421479	0.0308695445274707	0.0973804710162402	-0.0275438408824673	-0.547933489684748	-0.0405913284600976	0.192586755987344	-0.115354815804193	-0.0796801879253017	0.280924994680615	-0.109461297051777	-0.201887745708623	0.0183705534716656	-0.0715872209442925	0.0129744851381173	-0.234681265071714	-0.387320716902786	-0.236882728759761	0.270076302960737	-0.174738614285791	-0.19872537534532	-0.308451313225937	-0.00152791495363536	-0.207715932252287	-0.00183838132272585	-0.165928405537697	-0.346720439816091	-0.229291164146074	1.17820560478422	0.0912616196971711	0.661170536437208	-0.163028463480271	0.179380278232304	-0.23578702345936	-0.124199910921521	-0.196478674710676	0.548649664275764	-0.425545375292121	-0.261317436344957	0.200030936507528	-0.386186164865795	0.0681685356704254	-0.339742740722136	0.087628493563203	0.00205378110607168	0.208622052542961	-0.15228836782691	-0.431264262487965	-0.22707711296093	0.318735783417688	0.315981804536864	-0.266386967338152	0.143290812471411	0.0368952500872805	0.296451630044611	0.0834215667519724	0.58381267846945	0.302729345083959	0.194718302709923	0.114246958005572	0.28752047575499	0.208113710491145	-0.120177672178937	-0.0477934560742697	-0.241600162678371	-0.0826182901836732	0.164533637493879	-0.103043461834586	-0.0950373344096853	0.0385340014957998	0.248443440213818	0.00355319597729253	-0.0151119422370846	0.155979157538735	-0.38388475516994	0.206300298358713	-0.389168890841549	0.0411589899385065	0.372969727934429	-0.00564077723813255	-0.0145841419649013	0.0409760293359496	0.217226775086464	-0.127125116370969	0.0654293688796022	-0.373489963575153	-0.152397076497455	-0.182602202689662	0.0129508440743511	-0.0827321335145578	0.170023562287731	0.0531738025961004	-0.139003444233846	-0.198851281757211	0.162297615558686	0.303177660267006	-0.344700137339299	0.242605629794616	0.0534282474385063	0.0319249568317533	-0.103776379693465	-0.527616155202772	0.221842965392185	-0.313214036528892	-0.537924950019309	-0.0606393675306356	0.680912303076322	-0.11553361955775	0.0225188192701317	-0.171040815693915	-0.0321553032420532	0.450425853825122	0.276186746822228	0.10159998555789	0.0157807803938038	-0.119175916113465	0.0484617435741057	-0.208357087577891	-0.146733486516411	0.050694918369615	0.166574841035167	-0.152722834274068	0.347647416813796	0.140532208365133	0.0335224141830218	0.0152083827184039	-0.238853821870745	-0.321798031562655	0.244511489124083	0.287257849529832	-0.121856266817924	-0.0758180785490382	-0.0631491437858708	-0.309352013304425	-0.152061128296368	-0.0544194634317459	0.236900422959637	0.381243935897274	-0.593255530697482	-0.0988435589544558	0.084204267553005	-0.0441261695005843	-0.00949661540041147	-0.0909925306340955	-0.192739051733519	-0.0490218126752919	-0.359814846828762	-0.109540827065624	-0.0791178744353671	0.170409058540809	-0.201346703268759	-0.0895256305281071	-0.0625894536109886	-0.377376225973899	-0.109179117025453	0.113366615052112	-0.284997833216876	-0.32731258222136	-0.059144037717481	0.235224163759794	0.587862506979853	0.326568504925079	0.325462052585544	0.0788077363795983	0.0864723889682963	0.5052720161997	-0.0114299608984318	0.37586480531129	0.274187368462927	0.362409162760153	-0.328521843144494	0.342391544854327	0.480553617817632	0.284446814986248	-0.479933523057188	-0.214794531844241	-0.239561803760509	0.352548231614154	0.108692646095017	0.0965838985195187	-0.16930217186222	-0.034436886676699	0.180379698867372	0.087801670952474	-0.136406966472521	0.123538509823625	-0.221045767173054	-0.13731271546739	-0.0224352638480105	0.10839323809854	0.0259063000518299	0.196435174811211	0.172886565789238	0.0787634060068139	-0.254070837099729	-0.576356877279789	-0.321860069572473
GO:0016020	0.0846014963484306	0.138450903877746	0.0584959047047259	0.158708149439037	0.161707117981325	-0.156685259400485	0.0890897730232296	-0.144783873156199	-0.233077575206894	-0.075397646541148	-0.0946742561011231	-0.0190935661456326	0.175380220299271	-0.157111110980243	-0.126064518180862	0.00208432059528473	-0.0567258984485834	-0.107236180029839	-0.101566199754143	0.0655506537328412	0.178708737976192	-0.0678184685063232	0.0172595781706253	-0.111269621043315	-0.0127530876908575	0.507689576738596	-0.0834352241690312	0.121042655944932	0.0159104702821518	-0.0874892567720593	-0.218575636229383	-0.0445084034045904	0.0511892922957506	-0.0178461253366112	0.0212988848754261	-0.243324164837403	-0.0240413542421065	0.116920535816705	-0.0614399098911043	-0.0146977169453972	0.141921855834192	-0.184605631431733	-0.195433341421234	0.0238462402407114	-0.0611048920631146	-0.139281751142063	-0.19332511846687	-0.23631431862382	-0.149748387317975	0.188550376120942	-0.159030322939309	-0.175072034312487	-0.210822494770855	-0.0561267219970119	-0.178474974225518	-0.0463156776725475	-0.163280066843095	-0.267475989456619	-0.23339931750741	1.38452882091566	0.0645384499742362	0.887776704171962	-0.1450858484064	0.54187046831555	-0.241306169925307	-0.162688005683558	0.405981245100278	0.414960762122103	-0.0819648245008553	-0.104719181077027	0.0196371562306692	-0.183335534022867	-0.0665861712688613	-0.212053231740649	-0.00256503077335624	0.107235327502346	0.157512446334292	-0.104916987272856	0.238574052138143	-0.163077725115282	0.182148510026982	0.166499558330347	-0.234180560135999	0.0870317210616862	-0.0270950588088642	0.219754703852356	0.0305501854072392	0.391171686180152	0.156499183171567	0.0757829949490268	0.00356112532962106	0.289211558453412	0.108162996710523	-0.213725694994029	-0.105297602770672	-0.204652801482145	-0.0946803838639938	0.119355891131278	-0.035833507239344	-0.0314956955421035	0.10955288247328	0.132267002497872	0.085336317894565	-0.0604117603817015	0.284971515729609	-0.305503873594918	0.0746660829546615	-0.249934127761893	-0.00942218866787581	0.234889817350343	-0.0746397866106085	-0.0815064469945117	-0.0625085916712018	0.184344062325025	0.631246550495608	0.0477737506690763	0.0703991439909515	0.453183244229808	-0.11849766959487	0.43572266967598	0.227750467987207	0.0683368991997138	0.00946333061315263	-0.118313338672887	-0.220581698544137	-0.0155903705591063	0.193469016994754	-0.261610412344837	0.0836782335648305	-0.0251667344834	-0.10201206269238	-0.112962880914769	-0.374142378824994	0.0752020512532355	-0.167574788230132	-0.389069576968051	-0.0266168260312389	0.928641760863261	-0.103900919554787	-0.00642214372937816	-0.194081189960085	-0.128092389397597	0.499304152717722	0.119281173292363	-0.0114210283188492	-0.0692851265782867	0.328400705719489	0.570312365747992	-0.261090512866229	-0.13924657032262	-0.0819395710037192	0.0302820331201829	-0.0288027221863048	0.19152071886079	0.533744735893144	0.0206159611356896	-0.0331525674710864	-0.291311887275726	-0.262883260984475	0.058208233095503	0.218482193888663	-0.191393804042337	-0.232931333911684	-0.155268870458318	-0.300025380836365	-0.139052027201868	-0.146156613950666	0.0954403724763726	0.174276306589804	-0.362659615826554	0.0125229336618637	0.00648798708513687	0.016177467626042	-0.0638778581387416	-0.308612964443781	-0.236940587151686	-0.263942166351388	-0.443469062068712	-0.250896535057178	-0.0955250479448593	0.081463892079228	-0.305525729434419	-0.202958019232699	-0.111936243116861	-0.324264740968258	-0.125875354024769	-0.0506450079741141	-0.327715438079684	-0.336073526168392	-0.05289705901609	0.0868356693173931	0.461543762842649	0.156570668110114	0.173693937580393	-0.14298422313745	-0.0781638649459957	0.340890347640768	-0.0462521152287814	0.185794093412773	0.117448444434662	0.176936800774123	-0.172446554680442	0.208236713397977	0.254744116043833	0.165740540059919	-0.106902091308818	-0.223665646763483	-0.291340216180583	0.238897985308515	-0.0473117973060454	-0.0783392650251504	-0.0271516512241545	-0.146728141653438	0.0321248150253255	0.0107543231770972	-0.192918424413872	0.862043781715939	-0.144067585764719	-0.172582109711888	-0.12758180368703	0.0138384572879852	-0.0954699754205987	0.00633425686010414	0.0400682031129269	-0.00279124073892278	-0.236308272216889	-0.404284190784844	-0.126923904236197
GO:0003677	0.114802929494186	0.233478210267463	-0.0771113339844991	0.0895495639253252	0.233968831752214	-0.125776833664605	0.033258629679122	0.0364188123378575	-0.301166489140132	-0.104265336637343	-0.180718965524585	-0.0153120480727804	0.167149403181736	-0.35315252644486	-0.114674302491847	0.0339725692540054	-0.0246253597730013	-0.236204833078296	-0.106105214413053	0.120029791204462	0.235603787165212	-0.128044496584954	0.0239014561292006	-0.36114727531479	-0.0186839998309625	0.560471047315339	-0.0142223841192731	0.146701644439843	0.196251018068806	-0.0429584593665595	-0.472297686778753	0.00308923836807809	-0.000548448576721317	-0.052376898710975	-0.0131239687725628	-0.471650166078575	-0.0365143508367557	0.195838656657221	-0.106818373735455	0.00565162666842589	0.170330644533477	-0.215180064555146	-0.250155690890166	0.0699258789898065	0.0133902195823327	0.00644193926631798	-0.110342456194097	-0.237054586833437	-0.207153387576072	0.193673019931465	-0.292646071601514	-0.219094492043579	-0.288177968642237	-0.0323469830297056	-0.335831291413007	-0.0205858577568725	-0.130458421092142	-0.277174960775602	-0.273220051502159	1.51308561755391	0.450691417944689	1.06656002031795	-0.144023699817137	0.437416062351291	-0.170612612078508	-0.228672860053996	0.2522079440844	0.477844171871727	-0.248110463277539	-0.375799688979154	0.116542946599023	-0.434935086491848	-0.0571278618126048	-0.383134468862009	-0.0254700629633595	-0.0467174797108736	0.275276951173418	-0.027711174640222	-0.405201766866523	-0.291536527755865	0.296254884928873	0.177882868286616	-0.154226133758398	0.0836524129121921	-0.00512812461396417	0.186370244472759	0.0679788876797072	0.387941987694586	0.157346220805214	0.15751217254455	0.0252315680387014	0.513218277465969	0.160856271879994	-0.22574968065096	-0.161527437951985	-0.396594614499602	-0.0487648528097986	0.232652794694176	-0.194119024734332	0.0964321924241691	0.144961518389414	0.178994939945993	0.159143689479346	-0.155046570937792	0.146706458192182	-0.259017723146291	0.216547100103402	-0.185912887323057	-0.0282642272559661	0.26288653425144	0.00968575942562439	-0.105967342694816	-0.126640298914326	0.0496114159910386	-0.00242937820681943	0.145104376183234	-0.165739154709061	0.1154099168888	-0.192723107870862	0.241816322264417	0.0591136378266909	0.0562908045111352	-0.0446245114329415	-0.167959890437057	-0.260613478002508	0.0399144149909783	0.310545266178141	-0.196642475984941	0.0909925018734139	0.0219930169052977	0.0298644674940877	-0.0850391808138053	-0.485965250871214	0.377641362641164	-0.427681805934496	-0.347099383063674	0.141244241868284	0.737080190984084	-0.0522351564795057	0.037340181382983	-0.254245864118809	-0.0989511391858962	0.707003662510494	0.195957207707894	0.0525401977011881	-0.0131044458873933	-0.0341810258140454	0.161044959902733	-0.359187721488646	-0.0900690056125103	0.0233148441370652	0.0865823234920945	-0.157966787052831	0.213946598865348	0.17098944054516	0.0452061576077477	-0.0180086470487897	-0.303415686991855	-0.435088099335585	0.248836904724201	0.260802495799245	-0.124340903800394	-0.129868657021881	-0.0724274551020758	-0.352932831212216	-0.248496268079604	-0.0559733777204487	0.176417663521538	0.307178140222881	-0.537147039886526	-0.039360158606619	0.0387473245706678	0.0183815273488064	0.0252692234686909	-0.0852991389865695	-0.285017181221232	-0.0973025934952927	-0.0199607512498088	-0.219784259267823	-0.14184603511349	0.1604560157494	-0.233566970184218	-0.166687405965553	-0.095006664701734	-0.353869680419306	-0.136528031327708	0.116447733333755	-0.374642177800373	-0.201384777124066	-0.0660820429902178	0.172404039988651	0.540174603299402	0.291470008227152	0.207037931145099	0.0472619556775304	-0.0400784177452422	0.526162675498386	0.0261383276718632	0.307477434306981	0.231534474500486	0.280263834147378	-0.144651953395571	0.250711406780888	0.389730204874164	0.23745773045252	-0.139541982649281	-0.208960510033436	-0.222192327760158	0.283606152799589	-0.0270905478580673	0.0663290569400021	-0.0849345007143283	-0.127436011740355	0.169459633524993	0.0269722505030903	-0.140547366931358	0.376001025188742	-0.215803776749591	-0.162081942203744	-0.0882244139728783	-0.0300970694803232	0.00336337920638061	0.105107819907876	0.148350312383901	0.229865157049957	-0.12158271007856	-0.414419297249969	-0.399243981657108
GO:0016887	0.179335157383019	0.319290232511718	0.150562020487426	0.21408364446435	0.421153870350617	-0.193880377395246	-0.13742763539507	-0.0637276719930242	-0.468372537410572	0.00318104811798425	-0.113943861417998	-0.0126215515180494	0.324282240560745	-0.240785085208117	-0.0552112486138059	0.0467071004356516	-0.0267919186013617	-0.434252945569573	-0.283290657686351	0.0915656445711859	0.255004305563892	-0.248102488453138	-0.00815259949531288	-0.302060046659435	-0.00426694360481528	0.705391246179336	-0.0529809937990514	0.183127434860767	0.0772883123625592	-0.0190183959660359	-0.544581174806402	0.078475547828633	0.100096540101871	0.0542498498154733	-0.0609692331436484	-0.559446978289932	-0.125752308332869	0.260023805877383	-0.118754041635311	0.0125253408532142	0.2613249304533	-0.187735926893709	-0.257955037811451	-0.00711797200181885	-0.088077125472869	-0.0766429530266908	-0.283504884964337	-0.569424341520592	-0.296803852966648	0.29703520678264	-0.227458138082579	-0.262623516559274	-0.399650071895045	-0.0316551079657024	-0.285676220517788	-0.00496801514714407	-0.244640066483738	-0.504874689216214	-0.261197761822499	1.41640698568168	0.202046448218695	1.05604559044254	-0.172010785439013	0.274047542180809	-0.281253922175954	-0.224664479245023	-0.016469826264462	0.578113601514264	-0.535384180857432	-0.368661435417068	0.193551672354176	-0.390717823266446	0.0349536236299475	-0.415263696793757	0.0933547860685324	0.0520637619277029	0.240343163962391	-0.142223544768184	-0.318406318144544	-0.268483374230253	0.307155457709763	0.307199710124763	-0.185754841287392	0.16326724420397	0.00781907621498978	0.361543031312355	0.100390253168541	0.543092868234464	0.288151400846116	0.220188617788811	0.0962439739819161	0.492018118076116	0.243609893858687	-0.147666906067315	-0.111828524331226	-0.235057847392366	-0.114248540556821	0.200833703002485	-0.100982097959081	-0.0431642806042607	0.0417230448828776	0.252313877839732	0.0470353409124542	-0.0598355628742097	0.278747803118357	-0.334381281896659	0.173855621900707	-0.469752449922575	0.0594026498220943	0.41032771118072	-0.00861748126992751	-0.0176524009154395	0.065953710865051	0.257769323312645	0.0943759193651883	0.065744310066808	-0.308387612503835	-0.100140125006388	-0.158061521770652	0.407607936480912	0.0458617462471586	0.160863998580634	0.0502647742622648	-0.131872486000798	-0.188881920604349	0.104331661409635	0.318706825289122	-0.345976700652491	0.193058699812633	0.0626334947016422	0.0205183100653502	-0.153211518631917	-0.694735695785493	0.309022021506817	-0.380119364376025	-0.643074394195956	0.00704144851129285	0.967788934029425	-0.0941835034079735	0.0359293045561301	-0.184637998160061	-0.0600877454512698	0.870226364744339	0.272123165454053	0.0919381861188711	-0.00821706536587319	-0.313143233424934	-0.149229738238197	-0.235005530131332	-0.128544205275447	0.0614475765148441	0.149549838191603	-0.201970538847319	0.387030094027451	0.480495042525856	0.101536412324961	-0.0335748373530844	-0.307818692311262	-0.414625996354294	0.162046019458675	0.309540452164727	-0.124162399225667	-0.190860878157239	0.0147916363825407	-0.315391190310125	-0.191060911376371	-0.0404635938231162	0.267024579707905	0.390342508189239	-0.729733349891396	-0.0236501940126115	0.0974452877070637	0.00956957881093801	0.00567418893865801	-0.219848274516603	-0.224556176510678	-0.145396548991769	-0.532583802391498	-0.176849766704824	-0.130832119503334	0.189434033658156	-0.23919027821295	-0.119185210355652	-0.0351279165018983	-0.494628119465408	-0.0408320662360578	0.0693411636953387	-0.339920397395846	-0.336888368579722	-0.0137466882743316	0.228874263329883	0.608114062210287	0.347294165527654	0.322366990300382	0.0119586246636805	0.0701996870142452	0.52421512940907	0.122815681561378	0.380736687555624	0.29521958242581	0.416548400491011	-0.269515530647582	0.384902279949483	0.545416881452114	0.28780459633681	-0.537253742723408	-0.249767904288632	-0.323184340591588	0.430392602686435	0.122295540638812	0.0871154068630342	-0.130835319167345	-0.0627108000388196	0.14947195228036	0.115498035376502	-0.156062231098595	0.220548853384162	-0.26935430229665	-0.139497245773418	-0.0751926363102775	0.121411230216513	0.0122403214897243	0.181063729563782	0.173627611570943	0.10682736623214	-0.256087106183284	-0.880380784183794	-0.271982016605319
