Feature	lfc_(Intercept)	lfc_group1g2	lfc_group1g3	lfc_group1g4	lfc_age	lfc_loc2	lfc_loc3	lfc_loc4	lfc_abx_useyes	se_(Intercept)	se_group1g2	se_group1g3	se_group1g4	se_age	se_loc2	se_loc3	se_loc4	se_abx_useyes	W_(Intercept)	W_group1g2	W_group1g3	W_group1g4	W_age	W_loc2	W_loc3	W_loc4	W_abx_useyes	p_(Intercept)	p_group1g2	p_group1g3	p_group1g4	p_age	p_loc2	p_loc3	p_loc4	p_abx_useyes	q_(Intercept)	q_group1g2	q_group1g3	q_group1g4	q_age	q_loc2	q_loc3	q_loc4	q_abx_useyes	diff_(Intercept)	diff_group1g2	diff_group1g3	diff_group1g4	diff_age	diff_loc2	diff_loc3	diff_loc4	diff_abx_useyes	passed_ss_(Intercept)	passed_ss_group1g2	passed_ss_group1g3	passed_ss_group1g4	passed_ss_age	passed_ss_loc2	passed_ss_loc3	passed_ss_loc4	passed_ss_abx_useyes	Description	Ontology	Definition
GO_none	-0.0575307395004988	-0.0255297307635722	0.122759763076766	0.169020624384756	-0.00134841147251635	0.00275164853489003	0.0775608287990548	0.0965118869966229	0.0198943274273294	0.0933027015676294	0.0727424327942382	0.0788774799144724	0.110565903996859	0.0018605763707028	0.0864643932046358	0.0920372355670617	0.0650648973282262	0.0581326190174969	-0.616603147967782	-0.350960639930569	1.55633475118469	1.5286866771293	-0.724727828294954	0.0318240657559197	0.842711412627568	1.48331728719649	0.342223140184714	0.538142856434941	0.725958364956695	0.121085728638432	0.127798482312553	0.469399726193373	0.974641605866975	0.400317731917066	0.13944105597069	0.732514195344121	0.793666099788856	0.997371205612826	0.997015320589748	0.999560061809438	0.98839226873013	0.990605107685921	0.655764715838585	0.303470325987256	0.988893065962748	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	none	none	none
GO:0005524	-0.0213972827809977	-0.000725821335662962	0.0464470837168391	-0.00656888543510874	-0.00119315901641143	0.0712231879087573	0.0703094342294451	0.0427778117236609	0.0233480577567068	0.0863499045767755	0.0760867905898104	0.0715542861026995	0.0930712842075717	0.00158464418179666	0.0708465278200555	0.077235112549841	0.0642555491032122	0.0530658096501605	-0.247797410846852	-0.00953938692953839	0.649116723073376	-0.070579078080179	-0.752950744474781	1.00531656384994	0.910329925188797	0.665745018456661	0.439983068394324	0.804525473662065	0.99239755001724	0.516949351820934	0.943797763166125	0.45229558300433	0.315864129704308	0.36365859345583	0.506281142526924	0.660387273360905	0.931609286587935	0.998960857422882	0.997015320589748	0.999560061809438	0.985308856444349	0.62939038446949	0.618516338461593	0.720624752185515	0.981178157239431	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	ATP binding	MF	Interacting selectively and non-covalently with ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator.
GO:0016020	-0.0404338471068232	0.00451477016811642	0.0543605067922729	0.0120580657774304	-0.0011472306175405	0.121012099026648	0.0694935769512514	-0.0116454964376946	0.0490918725776505	0.0785024499695035	0.0700230243245129	0.0683402204455601	0.0902811146059503	0.0015088915976261	0.0656147862771199	0.0748684875015514	0.0566694194046301	0.0491425818148559	-0.51506477979389	0.0644755094723314	0.795439441632715	0.133561330407363	-0.760313477353446	1.84428092953867	0.928208639847457	-0.2054987780013	0.998968120205885	0.607032017567664	0.948650962737902	0.427227136851151	0.893873244336356	0.447892520666468	0.0665053822053176	0.354330648452345	0.837375100336339	0.31892277273606	0.83728356847491	0.997371205612826	0.997015320589748	0.999560061809438	0.984280318529064	0.312691972474125	0.61039880302718	0.927778391883957	0.944030370854679	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	membrane	CC	A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it.
GO:0003677	-0.0388730559896173	-0.0013408497285834	0.087075661119286	0.0514263926322716	-0.00177080899468979	0.097382065488879	0.0825169915026985	0.0502595856276249	0.0398636794691594	0.0830029666602067	0.0731834456364779	0.0707092255586016	0.0915933731098946	0.00154928002331278	0.0706766025536528	0.0753743679513275	0.0602504144850722	0.0516355393455749	-0.468333332575374	-0.0183217627555248	1.23146110612003	0.561464120014116	-1.1429883352548	1.3778543672208	1.09476196942684	0.834178255156689	0.772020201093837	0.640016311344524	0.985399001040885	0.219483350916814	0.575060564843321	0.254302880485618	0.169667472047125	0.274834567295153	0.40509787858572	0.440942411758022	0.851188642269182	0.997371205612826	0.997015320589748	0.999560061809438	0.931751623948206	0.469126663438192	0.531258403602912	0.626515762759118	0.953590813330854	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	DNA binding	MF	Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).
GO:0016887	-0.0232765381696838	-0.0259544904311486	0.0610506584029303	-0.0249515992481755	-0.00204103431850855	0.129691806911878	0.107256522108196	0.0620067945087581	0.0501149943059764	0.0916358621782236	0.0814855087999634	0.0759009284855509	0.0987170579064082	0.00171830178959037	0.0752173750488704	0.086334192060682	0.0690184529990849	0.0571831397262579	-0.25401123115329	-0.318516639502904	0.804346661115646	-0.252758740762226	-1.18782063248337	1.72422670729489	1.24234118080133	0.898408929994132	0.876394590186592	0.799727402471444	0.750399423557531	0.422077111134773	0.800693921064993	0.236202571476717	0.0860910051446278	0.215451597654537	0.369963337743906	0.381784686002546	0.931609286587935	0.997371205612826	0.997015320589748	0.999560061809438	0.925085645282507	0.348826621277153	0.462935366737936	0.590859822912641	0.949959837063559	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	ATPase activity	MF	Catalysis of the reaction: ATP + H2O = ADP + phosphate + 2 H+. May or may not be coupled to another reaction.
GO:0055085	-0.0371032963561128	-0.00586905745561904	0.0749180521197892	0.00676085755336467	-0.0014683849211495	0.130226867137435	0.107858110077189	-0.00863862882662104	0.0419778050413044	0.0806043540018866	0.0734439051865604	0.0709287226725135	0.0967454007002348	0.00161823922853659	0.0698844120931805	0.0852150001675885	0.0589681189832461	0.0523859493011699	-0.460313798374271	-0.0799121103474904	1.05624420258764	0.0698829867304302	-0.907396690956129	1.86346086683533	1.26571741905849	-0.146496598086763	0.801318017546489	0.645751918567395	0.936380805477818	0.292031153126057	0.944351151465025	0.365203603370164	0.0637483666897682	0.20697151550194	0.883665380037549	0.423824104376705	0.853154899077449	0.997371205612826	0.997015320589748	0.999560061809438	0.9704942955272	0.308226638943312	0.450962326459512	0.952089918549191	0.949959837063559	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	transmembrane transport	BP	The process in which a solute is transported across a lipid bilayer, from one side of a membrane to the other.
GO:0006355	-0.0715244479990674	-0.0239912466968507	0.104893239653949	0.0311977462286674	-0.00242486696518704	0.220314489728354	0.184235649050961	0.0268019553868414	0.0776732175078766	0.0888472366046375	0.0791212354775024	0.0805178394086746	0.106603391829328	0.00182480420529053	0.0833457164421308	0.0986832668990171	0.0632890441731533	0.0589644679187038	-0.80502726626541	-0.303221335613148	1.30273291514387	0.292652472808885	-1.32883679145236	2.64338107743454	1.86693909555599	0.423484913336874	1.31728853408746	0.421685107673669	0.762011689686632	0.194046744314473	0.770067438043159	0.185297405845934	0.00880707973373782	0.0632587147281984	0.672360936408953	0.189131150591347	0.708554650326792	0.997371205612826	0.997015320589748	0.999560061809438	0.892176774627615	0.10074439988105	0.226475856545993	0.842022107278502	0.889137135028577	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	regulation of transcription, DNA-templated	BP	Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription.
GO:0003824	-0.0482930028071359	-0.0167763153509771	0.0496880740823217	0.0157345845318985	-0.000644498313928265	0.0752820675638503	0.0917206932398944	0.043442555740948	0.0213647051110586	0.0765724311283358	0.0683338748503767	0.0667589502560967	0.0901241415930972	0.00146904167260033	0.0648485128048355	0.0722880887490958	0.0571008220508597	0.0485083576143715	-0.630683943235348	-0.24550510837722	0.744290823802821	0.174587899021983	-0.438720239152539	1.16089119561485	1.26882166657147	0.760804383906307	0.440433487377626	0.528910849510573	0.80629738499465	0.457505770359529	0.861566236764118	0.661300742716197	0.246961615812369	0.205864007848918	0.447599823309378	0.66006158529791	0.786786722507404	0.997371205612826	0.997015320589748	0.999560061809438	0.998935682674746	0.557159332158113	0.449593572438382	0.670684719271879	0.981178157239431	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	catalytic activity	MF	Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic.
GO:0000166	-0.0244075647521803	0.0015684847298069	0.0186661424862982	-0.0114993588293333	-0.000636235017294517	0.0575971227311387	0.0573748801376532	0.0424557075566266	0.0155915362254719	0.084965202672728	0.0735975717547594	0.0706285725174853	0.0917435028329081	0.00156878913721578	0.0706095928196372	0.0752907404778718	0.0623819480151313	0.0518525345525263	-0.287265421424276	0.0213116369522813	0.264285993910992	-0.125342487197998	-0.405558020642393	0.815712432703908	0.762044306823039	0.680576816009794	0.300689953924582	0.774183224802625	0.983016644216476	0.791810384573608	0.900368461486682	0.685466956315594	0.415559078419122	0.446861021278196	0.496864813017143	0.763938821012444	0.921639570405041	0.997371205612826	0.997015320589748	0.999560061809438	0.998935682674746	0.702965582609803	0.691675970229287	0.713173977980229	0.988893065962748	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	nucleotide binding	MF	Interacting selectively and non-covalently with a nucleotide, any compound consisting of a nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose or deoxyribose.
GO:0016491	-0.114751647259796	-0.0149383406712349	0.0536600619596263	0.0283492770732041	-0.000389488843656407	0.186527904166442	0.154181915431197	0.0193722422098549	0.0561954458346467	0.0807845235497164	0.0733054101852383	0.0709417935766061	0.100613410246118	0.0017036621961525	0.0732261951838456	0.087125249279848	0.0541349538463788	0.0529091556281267	-1.42046573053284	-0.203782239721279	0.756395620328963	0.281764399038427	-0.228618586792626	2.54728384696399	1.76965824150428	0.357850904700656	1.06211193823651	0.156907357230319	0.83871464903149	0.450232418638156	0.778392691968907	0.819380678277644	0.011548776207038	0.078188488728673	0.720802723857403	0.289365462426906	0.438576789697201	0.997371205612826	0.997015320589748	0.999560061809438	0.998935682674746	0.123099455479564	0.255988839188465	0.87127958115753	0.915452685046341	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	oxidoreductase activity	MF	Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced.
GO:0005975	-0.00511941906870322	-0.0145759992435748	0.0846412542755715	-0.00257888765619606	-0.00209166240467658	0.12105611628732	0.0243976355988212	0.0363349698020603	0.0387909781445453	0.092992435992872	0.082687069358646	0.0798728504866851	0.104039947407414	0.00183554266149121	0.0848060967488035	0.0884876295566814	0.0718530831669417	0.0606539429402304	-0.05505199443421	-0.176279064630444	1.05969993257823	-0.0247874755847126	-1.13953352790901	1.42744591401122	0.275718037889049	0.505684212849162	0.639545860732759	0.9561476930819	0.860239110115679	0.290459223504419	0.980247260001599	0.255736983659155	0.154888834815243	0.783027020984201	0.613591628462919	0.523142471198478	0.983406289595199	0.997371205612826	0.997015320589748	0.999560061809438	0.931751623948206	0.454029319755247	0.904257277826749	0.795720710204433	0.962311487780081	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	carbohydrate metabolic process	BP	The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y. Includes the formation of carbohydrate derivatives by the addition of a carbohydrate residue to another molecule.
