Feature	lfc_group1g2	lfc_group1g3	lfc_group1g4	se_group1g2	se_group1g3	se_group1g4	W	p_val	q_val	diff_abn	passed_ss	Description	Ontology	Definition
GO:0015667	0.211360477858649	0.555808647363925	0.69002522213628	0.221697629622323	0.201164581429471	0.304353045998842	0.69002522213628	0.023	0.43148	FALSE	TRUE	site-specific DNA-methyltransferase (cytosine-N4-specific) activity	MF	Catalysis of the reaction: S-adenosyl-L-methionine + DNA cytosine = S-adenosyl-L-homocysteine + DNA N4-methylcytosine.
GO:0090124	0.211360477858649	0.555808647363925	0.69002522213628	0.221697629622323	0.201164581429471	0.304353045998842	0.69002522213628	0.027	0.469	FALSE	TRUE	N-4 methylation of cytosine	BP	The covalent transfer of a methyl group to N-4 of cytosine in a DNA molecule.
GO:0006644	-0.172810242064113	-0.283771906818529	-0.283771906814251	0.234361014470639	0.204660102125018	0.290523665341195	0.283771906814251	0.398	0.99941354224958	FALSE	TRUE	phospholipid metabolic process	BP	The chemical reactions and pathways involving phospholipids, any lipid containing phosphoric acid as a mono- or diester.
GO:0015914	0.168148636770085	0.168148636723777	0.168148636732073	0.220261346217646	0.204773531082741	0.257903786402548	0.168148636732073	0.657	0.99941354224958	FALSE	TRUE	phospholipid transport	BP	The directed movement of phospholipids into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Phospholipids are any lipids containing phosphoric acid as a mono- or diester.
GO:0050355	-2.46706394536284e-10	-0.266530367744843	-0.266530367890237	0.215315876196743	0.213885599743445	0.254108329610171	0.266530367890237	0.349	0.99941354224958	FALSE	TRUE	triphosphatase activity	MF	Catalysis of the reaction: H(2)O + triphosphate = diphosphate + phosphate.
GO:0004623	-0.0797552559751228	-0.300177802410004	-0.300177802518928	0.235881234485543	0.209986315228365	0.294680373658674	0.300177802518928	0.377	0.99941354224958	FALSE	TRUE	phospholipase A2 activity	MF	Catalysis of the reaction: phosphatidylcholine + H2O = 1-acylglycerophosphocholine + a carboxylate.
GO:0050482	-0.0797552559751228	-0.300177802410004	-0.300177802518928	0.235881234485543	0.209986315228365	0.294680373658674	0.300177802518928	0.349	0.99941354224958	FALSE	TRUE	arachidonic acid secretion	BP	The controlled release of arachidonic acid from a cell or a tissue.
GO:0030060	2.37223673333099e-11	-0.277659343887291	-0.277659343883951	0.204972751207738	0.182016050616846	0.229371716305879	0.277659343883951	0.268	0.985819607843137	FALSE	TRUE	L-malate dehydrogenase activity	MF	Catalysis of the reaction: (S)-malate + NAD+ = oxaloacetate + NADH + H+.
GO:0008195	-0.33522387611216	-0.335223876104639	-0.335223876108792	0.227058778454429	0.218825783314172	0.295159047500325	0.335223876108792	0.313	0.99941354224958	FALSE	TRUE	phosphatidate phosphatase activity	MF	Catalysis of the reaction: a 1,2-diacylglycerol 3-phosphate + H2O = a 1,2-diacyl-sn-glycerol + phosphate.
GO:0065003	-0.0236150285102512	-0.2718331810646	-0.271833181050096	0.196446453008608	0.190956531256664	0.231922953481585	0.271833181050096	0.282	0.992020942408377	FALSE	FALSE	protein-containing complex assembly	BP	The aggregation, arrangement and bonding together of a set of macromolecules to form a protein-containing complex.
GO:0071470	5.0409751035318e-11	0.173258007015661	0.586098253145705	0.23479808977199	0.234908910415748	0.289330606096138	0.586098253145705	0.035	0.551764705882353	FALSE	TRUE	cellular response to osmotic stress	BP	Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating an increase or decrease in the concentration of solutes outside the organism or cell.
GO:0030894	-6.79340903327102e-12	-0.136346306939977	-0.267581279211993	0.210192431146471	0.193716181927901	0.283648175910547	0.267581279211993	0.429	0.99941354224958	FALSE	TRUE	replisome	CC	A multi-component enzymatic machine at the replication fork which mediates DNA replication. Includes DNA primase, one or more DNA polymerases, DNA helicases, and other proteins.
GO:0005344	1.03766338998018e-10	0.169795745086627	0.349250504794493	0.229686466754328	0.209634483753156	0.279103108958095	0.349250504794493	0.251	0.974898550724638	FALSE	TRUE	oxygen carrier activity	MF	Enables the directed movement of oxygen into, out of or within a cell, or between cells.
