Feature	Description	lfc_group1g2	lfc_group1g3	lfc_group1g4	p	q	Ontology	Definition
GO:0008737	L-fuculokinase activity	-0.64	-1.148	-1.148	0	0	MF	Catalysis of the reaction: L-fuculose + ATP = L-fuculose 1-phosphate + ADP + 2 H(+).
GO:0006231	dTMP biosynthetic process	0	0	0.483	0	0	BP	The chemical reactions and pathways resulting in the formation of dTMP, deoxyribosylthymine monophosphate (2'-deoxyribosylthymine 5'-phosphate).
GO:0018142	protein-DNA covalent cross-linking	0	0.404	1.249	0	0	BP	The formation of a covalent cross-link between DNA and a protein.
GO:0033922	peptidoglycan beta-N-acetylmuramidase activity	-0.243	-0.243	-1.146	0.001	0.0521111111111111	MF	Catalysis of the hydrolysis of terminal, non-reducing N-acetylmuramic residues.
GO:0008076	voltage-gated potassium channel complex	-0.429	-0.773	-0.933	0.001	0.0521111111111111	CC	A protein complex that forms a transmembrane channel through which potassium ions may cross a cell membrane in response to changes in membrane potential.
GO:0015771	trehalose transport	-0.479	-0.78	-0.78	0.001	0.0521111111111111	BP	The directed movement of trehalose into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Trehalose is a disaccharide isomeric with sucrose and obtained from certain lichens and fungi.
GO:0035446	cysteine-glucosaminylinositol ligase activity	0	0	0.923	0.001	0.0521111111111111	MF	Catalysis of the reaction: 1-(2-amino-2-deoxy-alpha-D-glucopyranoside)-1D-myo-inositol + L-cysteine + ATP = 1-D-myo-inosityl-2-L-cysteinylamido-2-deoxy-alpha-D-glucopyranoside + AMP + diphosphate + 2 H+. 1-(2-amino-2-deoxy-alpha-D-glucopyranoside)-1D-myo-inositol is also known as glucosaminyl-inositol or GlcN-Ins, and 1-D-myo-inosityl-2-L-cysteinylamido-2-deoxy-alpha-D-glucopyranoside as desacetylmycothiol or Cys-GlcN-Ins.
GO:0016653	oxidoreductase activity, acting on NAD(P)H, heme protein as acceptor	0.224	0.24	1.084	0.001	0.0521111111111111	MF	Catalysis of an oxidation-reduction (redox) reaction in which NADH or NADPH acts as a hydrogen or electron donor and reduces a heme protein.
GO:0004866	endopeptidase inhibitor activity	0	1.208	1.208	0.001	0.0521111111111111	MF	Stops, prevents or reduces the activity of an endopeptidase, any enzyme that hydrolyzes nonterminal peptide bonds in polypeptides.
GO:0050797	thymidylate synthase (FAD) activity	0	0.326	1.279	0.001	0.0521111111111111	MF	Catalysis of the reaction: 5,10-methylenetetrahydrofolate + dUMP + NADPH + H+ = dTMP + tetrahydrofolate + NADP+.
GO:0010468	regulation of gene expression	0	-0.328	-1.04	0.002	0.0815652173913043	BP	Any process that modulates the frequency, rate or extent of gene expression. Gene expression is the process in which a gene's coding sequence is converted into a mature gene product or products (proteins or RNA). This includes the production of an RNA transcript as well as any processing to produce a mature RNA product or an mRNA or circRNA (for protein-coding genes) and the translation of that mRNA or circRNA into protein. Protein maturation is included when required to form an active form of a product from an inactive precursor form.
GO:0016702	oxidoreductase activity	-0.364	-0.364	-0.992	0.002	0.0815652173913043	MF	Catalysis of an oxidation-reduction (redox) reaction in which hydrogen or electrons are transferred from one donor, and two oxygen atoms is incorporated into a donor.
GO:0005249	voltage-gated potassium channel activity	-0.412	-0.718	-0.975	0.002	0.0815652173913043	MF	Enables the transmembrane transfer of a potassium ion by a voltage-gated channel. A voltage-gated channel is a channel whose open state is dependent on the voltage across the membrane in which it is embedded.
