"t1","t2","r1","r2","n1","n2","p","BH_p","abs_diff_cor","num_sig_corr_t1","num_sig_corr_t2"
"g__[Eubacterium]_hallii_group","g__Butyricicoccus",0.0279146141215107,0.622551092318534,28,44,0.006200538090036,0.0367421573143133,0.594636478197024,2,2
"g__[Ruminococcus]_gauvreauii_group","g__Butyricicoccus",-0.274529914529915,0.576923076923077,26,39,0.000518738111120243,0.00978273476137751,0.851452991452991,1,2
"f__Ruminococcaceae","g__Erysipelotrichaceae_UCG-003",-0.839160839160839,0.296428571428571,12,15,0.000821530222532591,0.0116157212863577,1.13558941058941,2,1
"f__Lachnospiraceae","g__Flavonifractor",0.735294117647059,-0.232019704433498,17,29,0.00052595348179449,0.00978273476137751,0.967313822080556,2,1
"g__Lachnospira","g__Lachnospiraceae_UCG-001",0.903030303030303,0.210714285714286,10,15,0.00959466913569517,0.0495724572010917,0.692316017316017,1,1
"f__Lachnospiraceae","g__Turicibacter",-0.754385964912281,0.294805194805195,18,21,0.000322626169953127,0.00978273476137751,1.04919115971748,2,1
"g__Streptococcus","o__Lactobacillales",0.890909090909091,-0.0140350877192982,10,19,0.00215240007456886,0.0222414674372116,0.904944178628389,1,1
"g__Agathobacter","s__[Clostridium]_leptum",0.180598555211558,-0.63008547008547,18,26,0.00632123136590337,0.0367421573143133,0.810684025297028,1,1
"g__Clostridium_sensu_stricto_1","s__Alistipes_sp.",-0.836363636363636,0.576470588235294,11,16,5.89429623535925e-05,0.0054816954988841,1.41283422459893,1,2
"s__Alistipes_obesi","s__Alistipes_sp.",0.9,0.0699300699300699,11,12,0.00511683612531026,0.0366050584349118,0.83006993006993,1,2
"f__Ruminococcaceae","s__Bacteroides_stercoris",-0.647656691134952,0.302941176470588,22,16,0.00327409048492925,0.0276809468271291,0.95059786760554,2,2
"g__Erysipelotrichaceae_UCG-003","s__Bacteroides_stercoris",0.890909090909091,0.0373626373626374,10,14,0.00554893663939824,0.0367421573143133,0.853546453546454,1,2
"g__Escherichia-Shigella","s__Clostridium_sp.",0.872727272727273,-0.0781954887218045,11,20,0.0013188171033001,0.0153312488258637,0.950922761449077,1,1
"g__[Eubacterium]_hallii_group","s__Megasphaera_elsdenii",0.796703296703297,-0.120271033314512,13,22,0.00264863332123413,0.0246322898874774,0.916974330017808,2,1
"g__Bacteroides","s__Prevotellaceae_bacterium",-0.602627257799672,0.00731707317073171,28,40,0.00740605268059535,0.0405154646644334,0.609944330970403,2,1
"g__Bacteroides","s__uncultured_Alistipes",0.851127819548872,0.119230769230769,20,25,0.000520578637979898,0.00978273476137751,0.731897050318103,2,1
"s__Clostridium_sp.","s__uncultured_Desulfovibrionaceae",0.890909090909091,-0.0773993808049536,11,18,0.000874301602198967,0.0116157212863577,0.968308471714044,1,1
"g__Christensenellaceae_R-7_group","s__uncultured_Eubacterium",-0.76140350877193,-0.0804597701149425,19,28,0.00497278479100462,0.0366050584349118,0.680943738656987,1,1
