"t1","t2","r1","r2","n1","n2","p","BH_p","abs_diff_cor","num_sig_corr_t1","num_sig_corr_t2"
"s__Prevotella_stercorea","GO_none",-0.160561660561661,0.670769230769231,27,25,0.00118520872019017,0.0268676607067451,0.831330891330891,21,2
"s__Prevotella_sp._Marseille_P4119","GO_none",-0.111304347826087,0.769762845849802,24,23,0.000373983304771593,0.0206158296755341,0.881067193675889,4,2
"s__Roseburia_intestinalis","GO.0005524.InterPro.",0.66304347826087,-0.16699604743083,23,23,0.00272082381362463,0.033446224440654,0.8300395256917,67,1
"s__Veillonella_parvula","GO.0006355.InterPro.",0.791228070175439,-0.0882352941176471,19,17,0.00186580613665025,0.0301611214881288,0.879463364293086,5,1
"s__Oscillibacter_valericigenes","GO.0007165.InterPro.",0.153162055335968,-0.664935064935065,23,21,0.00396942823289951,0.0390952266516503,0.818097120271033,29,1
"s__Oscillibacter_valericigenes","GO.0000155.InterPro.",0.0991304347826087,-0.672727272727273,24,21,0.00526969581472544,0.0438966259438492,0.771857707509881,29,1
"s__Roseburia_intestinalis","GO.0005737.InterPro.",0.677865612648221,-0.107707509881423,23,23,0.00379356779998275,0.0386812346772807,0.785573122529644,67,1
"s__Roseburia_intestinalis","GO.0005737.PANTHER.",0.691699604743083,-0.160079051383399,23,23,0.00168290257504002,0.0292984936097848,0.851778656126482,67,1
"s__Oscillibacter_valericigenes","GO.0000160.InterPro.",0.10695652173913,-0.664935064935065,24,21,0.00559059470518523,0.0453416508503299,0.771891586674195,29,1
"s__Sutterella_wadsworthensis","GO.0006310.InterPro.",0.7,-0.174406604747162,19,18,0.00458088857513032,0.0408639617202331,0.874406604747162,2,1
"s__Oscillibacter_valericigenes","GO.0006412.InterPro.",-0.435652173913044,0.674025974025974,24,21,8.91462084284406e-05,0.00873632842598718,1.10967814793902,29,1
"s__Roseburia_intestinalis","GO.0009058.InterPro.",0.672924901185771,-0.16304347826087,23,23,0.00235959083922258,0.0317734216823559,0.83596837944664,67,1
"s__Oscillibacter_valericigenes","GO.0003735.InterPro.",-0.416521739130435,0.675324675324675,24,21,0.000116098948283875,0.0102399272386378,1.09184641445511,29,1
"s__Oscillibacter_valericigenes","GO.0022857.InterPro.",0.211304347826087,-0.666233766233766,24,21,0.00190527458771929,0.0301611214881288,0.877538114059853,29,1
"s__Oscillibacter_valericigenes","GO.0005840.InterPro.",-0.438260869565217,0.675324675324675,24,21,8.30024438079946e-05,0.00861272416925308,1.11358554488989,29,1
"s__Roseburia_intestinalis","GO.0008168.InterPro.",0.682806324110672,-0.208498023715415,23,23,0.00118055480888516,0.0268676607067451,0.891304347826087,67,1
"s__Prevotella_stercorea","GO.0006352.InterPro.",-0.0897435897435897,0.655384615384615,27,25,0.00360015178113457,0.0374820988887341,0.745128205128205,21,1
"s__Prevotella_sp._885","GO.0000287.InterPro.",0.711278195488722,-0.0939112487100103,20,18,0.00658829471653568,0.0478564786169986,0.805189444198732,75,1
"s__Prevotella_sp._885","GO.0006457.InterPro.",0.745614035087719,0.00309597523219814,19,18,0.00896183861918046,0.0531847497912157,0.742518059855521,75,1
"s__Prevotella_hominis","GO.0001522.InterPro.",0.150375939849624,0.792982456140351,20,19,0.00899980034732307,0.0531847497912157,0.642606516290727,7,1
"s__Prevotella_hominis","GO.0009451.InterPro.",0.150375939849624,0.792982456140351,20,19,0.00899980034732307,0.0531847497912157,0.642606516290727,7,1
"s__Roseburia_intestinalis","GO.0004252.InterPro.",0.648221343873518,-0.300395256916996,23,23,0.000796600645055345,0.0237211320971616,0.948616600790514,67,1
"s__Prevotella_buccalis","GO.0006355.PANTHER.",-0.735810113519092,0.00889328063241107,18,23,0.00657029016292049,0.0478564786169986,0.744703394151503,10,1
"s__Ruminococcus_torques","GO.0004176.InterPro.",0.650197628458498,-0.0361538461538462,23,25,0.00995709957940987,0.0557597576446953,0.686351474612344,14,1
"s__Prevotella_disiens","GO.0006164.InterPro.",-0.0511278195488722,0.705217391304348,20,24,0.00517929316171229,0.0436098956432481,0.75634521085322,37,1
"s__Prevotella_sp._885","GO.0008033.InterPro.",0.696491228070175,-0.124871001031992,19,18,0.00737604100339561,0.0490268680303327,0.821362229102167,75,1
"s__Roseburia_intestinalis","GO.0005524.PANTHER.",0.648221343873518,-0.213438735177866,23,23,0.00217267344845032,0.0311593167728973,0.861660079051383,67,1
"s__Roseburia_intestinalis","GO.0008658.InterPro.",0.690711462450593,-0.245059288537549,23,23,0.000650680740884638,0.0222873946974854,0.935770750988142,67,1
