"t1","t2","r1","r2","n1","n2","p","BH_p"
"s__Prevotella_sp._885","GO.0003676.InterPro.",0.675324675324675,0.30030959752322,21,18,0.150572957776357,0.221445754689702
"s__Extibacter_muris","GO.0003676.InterPro.",0.73984962406015,0.453044375644995,20,18,0.198524241491982,0.267777320863132
"s__Mediterraneibacter_faecis","GO.0003676.InterPro.",0.716544325239977,0.378458498023715,22,23,0.123232796425155,0.195752051232755
"s__Dorea_longicatena","GO.0005737.PANTHER.",0.690769230769231,0.22,25,24,0.0434173636221972,0.107469193636504
"s__Roseburia_intestinalis","GO.0005737.PANTHER.",0.691699604743083,-0.160079051383399,23,23,0.00168290257504002,0.0292984936097848
"s__Ruminococcus_gnavus","GO.0000160.InterPro.",0.809565217391304,0.586153846153846,24,25,0.141451080022328,0.212809983078367
"s__Veillonella_parvula","GO.0000160.InterPro.",0.691228070175439,0.147058823529412,19,17,0.0602736159065424,0.126469233366132
"s__Oscillibacter_sp._MSJ_31","GO.0000160.InterPro.",-0.0470588235294118,-0.707017543859649,16,19,0.028856482617172,0.0878006682545937
"s__Oscillibacter_valericigenes","GO.0000160.InterPro.",0.10695652173913,-0.664935064935065,24,21,0.00559059470518523,0.0453416508503299
"s__Sutterella_wadsworthensis","GO.0006310.InterPro.",0.7,-0.174406604747162,19,18,0.00458088857513032,0.0408639617202331
"s__Faecalibacterium_prausnitzii","GO.0043565.InterPro.",0.200683760683761,0.671372106154715,26,22,0.0538109389310541,0.118801622370938
"s__Ruminococcus_gnavus","GO.0043565.InterPro.",0.666086956521739,0.440769230769231,24,25,0.286455168015075,0.349814410784765
"s__Veillonella_parvula","GO.0043565.InterPro.",0.707017543859649,0.125,19,17,0.0432247699437331,0.10731667020513
"s__Oscillibacter_valericigenes","GO.0006412.InterPro.",-0.435652173913044,0.674025974025974,24,21,8.91462084284406e-05,0.00873632842598718
"s__Roseburia_inulinivorans","GO.0009058.InterPro.",0.650434782608696,0.299407114624506,24,23,0.141076041493743,0.212426920354215
"s__Roseburia_intestinalis","GO.0009058.InterPro.",0.672924901185771,-0.16304347826087,23,23,0.00235959083922258,0.0317734216823559
"s__Streptococcus_mitis","GO.0009058.InterPro.",-0.78021978021978,-0.341353383458647,14,20,0.0836975845063246,0.153954680989736
"s__Ruminococcus_torques","GO.0003735.InterPro.",-0.264347826086957,-0.618461538461539,24,25,0.145031618566722,0.216078920433961
