"t1","t2","r1","r2","n1","n2","p","BH_p"
"Collinsella aerofaciens","Senegalimassilia anaerobia",0.64563675609004,0.145378254967296,46,73,0.00149772978963615,0.0220374161052462
"Slackia isoflavoniconvertens","Senegalimassilia anaerobia",0.301890989988877,0.55920771792026,30,52,0.182102893533956,0.279224436752065
"Coprococcus [Genus]","SMB53 [Genus]",0.598309570562623,0.0662754966552435,52,78,0.000756577715212237,0.0174012874498814
"Clostridiales [Order]","SMB53 [Genus]",0.427728804770547,0.266910304884988,57,78,0.309183425312592,0.408020749797765
"Coriobacteriaceae [Family]","SMB53 [Genus]",0.530399274047187,0.403598667160311,57,74,0.373205282774166,0.462200388666467
"Collinsella aerofaciens","SMB53 [Genus]",0.470408163265306,0.180398293029872,49,75,0.0855652367961312,0.170032842204745
"Senegalimassilia anaerobia","SMB53 [Genus]",0.48881893182805,0.225577207537462,48,72,0.115759785138396,0.206885182870452
"Clostridiales [Order]","[Mogibacteriaceae] [Family]",0.507773386034256,0.272647574517826,45,59,0.175424931835684,0.275999262027992
"Ruminococcus callidus","[Mogibacteriaceae] [Family]",-0.624542124542125,0.036672140120416,27,28,0.00812317944895278,0.0483298225828575
"Methanobrevibacter [Genus]","[Mogibacteriaceae] [Family]",0.600437876299945,0.150669485553206,28,44,0.0358124349190259,0.10115442143795
"Prevotella copri","[Mogibacteriaceae] [Family]",-0.317523056653491,-0.439601341167061,45,58,0.486502982424775,0.567586812828904
"Coprococcus [Genus]","[Eubacterium] biforme",0.51466275659824,0.507255244755245,32,65,0.979833112376589,0.991823399226882
"Lachnospiraceae [Family]","[Eubacterium] biforme",0.327170868347339,0.481180596142607,35,59,0.402476699474209,0.479990730484057
"Faecalibacterium prausnitzii","[Eubacterium] biforme",0.480823680823681,0.475264888564121,36,69,0.985663005442864,0.991823399226882
"Collinsella aerofaciens","[Eubacterium] biforme",0.590725806451613,0.268837412587413,31,65,0.0824452966621232,0.170032842204745
"Coprococcus [Genus]","Catenibacterium mitsuokai",0.50935441370224,0.343775510204082,45,49,0.345617535034051,0.438145064098286
"SMB53 [Genus]","Ralstonia solanacearum",0.603946441155743,0.672844272844273,44,36,0.625944575397202,0.699840809992705
"Coprococcus [Genus]","Clostridium celatum",0.515403201449713,0.123404255319149,43,46,0.0445672767757483,0.113894151760246
"Ruminococcus callidus","Clostridium celatum",-0.599507389162562,0.0952380952380952,29,27,0.00615987262435794,0.0397740755522534
"Collinsella aerofaciens","Clostridium celatum",0.514285714285714,0.11430584918957,41,44,0.0463351761783068,0.114768667149345
"SMB53 [Genus]","Clostridium celatum",0.70077519379845,0.443478260869565,44,46,0.0746937990494676,0.162970998662839
"[Mogibacteriaceae] [Family]","Clostridium celatum",0.544817927170868,-0.107038123167155,35,32,0.00570649123888714,0.0397740755522534
"Ralstonia solanacearum","Clostridium celatum",0.772972972972973,0.786153846153846,36,25,0.918182184637203,0.953724720816708
"Lachnospiraceae [Family]","Lachnospira [Genus]",0.519641098588467,0.339442815249267,38,32,0.379151041237406,0.465979523963529
"Faecalibacterium prausnitzii","Lachnospira [Genus]",0.570824524312896,0.287433155080214,43,33,0.146520792041748,0.240712729782871
"Coprococcus [Genus]","Blautia [Genus]",0.657783882783883,0.359485094850948,64,81,0.0165479662569796,0.0619586643575282
"Oscillospira [Genus]","Blautia [Genus]",-0.133592496606195,-0.374777308954524,73,80,0.118040517495445,0.206885182870452
"Actinomyces odontolyticus","Blautia [Genus]",0.56341642228739,0.0608139284505829,32,58,0.0132588033395562,0.0573126504908676
"Prevotella copri","Blautia [Genus]",-0.395675675675676,-0.396965140123035,75,76,0.992521616889226,0.992521616889226
"Coriobacteriaceae [Family]","Blautia [Genus]",0.466397956740362,-0.0187682570593963,67,79,0.00215192477680727,0.0288716574221642
"Collinsella aerofaciens","Blautia [Genus]",0.513131313131313,0.165541490857947,55,80,0.0272956955363485,0.0845116727183099
"Senegalimassilia anaerobia","Blautia [Genus]",0.495864303411473,-0.0648561964351438,54,77,0.000910257914734699,0.0183189405340358
"SMB53 [Genus]","Blautia [Genus]",0.529484142852748,0.0261517615176152,58,81,0.00150566196992366,0.0220374161052462
"[Eubacterium] biforme","Blautia [Genus]",0.341736694677871,0.405699671172817,35,69,0.722703848684763,0.786184592150317
"Catenibacterium mitsuokai","Blautia [Genus]",0.653061224489796,0.0688124306326304,48,52,0.000634151591993466,0.0170164010518247
"Clostridium celatum","Blautia [Genus]",0.514107308048104,0.044218316373728,47,46,0.0155173172883523,0.0594830496053506
"Coprococcus [Genus]","Blautia wexlerae",0.540247252747253,0.21661714609114,64,82,0.0252236713438179,0.0796276683598958
"Oscillospira [Genus]","Blautia wexlerae",-0.220028449502134,-0.38906955736224,75,81,0.254893989034064,0.353854432063762
"Prevotella copri","Blautia wexlerae",-0.417038657544987,-0.2743459072573,78,78,0.322319340410261,0.418495272629452
"Phascolarctobacterium [Genus]","Blautia wexlerae",-0.311734693877551,-0.580278592375367,49,32,0.158567620867126,0.252766207520864
"Coriobacteriaceae [Family]","Blautia wexlerae",0.498241623654973,0.131368563685637,70,81,0.0133730461606054,0.0573126504908676
"Senegalimassilia anaerobia","Blautia wexlerae",0.511038961038961,0.146299902629017,55,79,0.0217471653029985,0.0729436169538074
"SMB53 [Genus]","Blautia wexlerae",0.429786051681023,0.0644809201964653,60,83,0.0237907890641634,0.0766063407866062
"Catenibacterium mitsuokai","Blautia wexlerae",0.499591836734694,0.0424125141106273,49,53,0.0140946973543488,0.0573126504908676
"Blautia [Genus]","Blautia wexlerae",0.885064011379801,0.403313406721586,75,87,1.70438841715518e-09,2.74406535161984e-07
"Coprococcus [Genus]","Blautia obeum",0.594943039733259,0.167437985931137,60,73,0.00407991243813546,0.037043752670157
"Coriobacteriaceae [Family]","Blautia obeum",0.427083333333333,0.220078461637404,63,72,0.191253333039414,0.289518142575041
"Collinsella aerofaciens","Blautia obeum",0.455772005772006,0.00330679730557257,55,70,0.00875863879692801,0.0483298225828575
"SMB53 [Genus]","Blautia obeum",0.54038112522686,0.135121229661071,57,72,0.0105101819876253,0.0512769484850809
"[Eubacterium] biforme","Blautia obeum",0.567303284950344,0.238498149127446,34,62,0.0759181670789622,0.162970998662839
"Clostridium celatum","Blautia obeum",0.541684759009987,0.0377730796335448,48,44,0.00906335186537087,0.0483298225828575
"Blautia [Genus]","Blautia obeum",0.692234017080374,0.131834992887624,67,75,3.1341098703281e-05,0.00252295844561412
"Blautia wexlerae","Blautia obeum",0.669565217391304,0.339923234660077,69,77,0.00742508992864328,0.0459784414812142
"Faecalibacterium prausnitzii","Roseburia [Genus]",0.429438485322747,0.304055535257581,68,69,0.409074932017506,0.484272529814842
"Lachnospira [Genus]","Roseburia [Genus]",0.554251012145749,-0.126436781609195,39,28,0.00437162298591915,0.037043752670157
"Coprococcus [Genus]","Dorea [Genus]",0.557444005270092,0.256571640133284,45,73,0.0635447387245202,0.146376709169996
"Lachnospiraceae [Family]","Dorea [Genus]",0.56530612244898,0.446124990023146,49,67,0.413006457300309,0.485357953469706
"Coprococcus catus","Dorea [Genus]",0.409121245828699,0.656524926686217,30,32,0.192412678605772,0.289518142575041
"Ruminococcus [Genus]","Dorea [Genus]",0.236632653061224,0.411655096821337,49,69,0.307912026538979,0.408020749797765
"Faecalibacterium prausnitzii","Dorea [Genus]",0.390497737556561,0.435163584637269,51,75,0.768582378864838,0.824945086648259
"Bifidobacterium longum","Dorea [Genus]",-0.149425287356322,-0.475714285714286,28,49,0.142180439960607,0.235990214779976
"Prevotella copri","Dorea [Genus]",-0.16561824729892,-0.497117990609612,50,68,0.0493827139262494,0.120463893062518
"Prevotella [Genus]","Dorea [Genus]",-0.131274131274131,-0.610241820768137,36,37,0.0195273133893564,0.0683455968627473
"[Eubacterium] biforme","Dorea [Genus]",0.592914438502674,0.423585404547858,33,61,0.318446729649576,0.416828646126681
"Blautia [Genus]","Dorea [Genus]",0.489411764705882,0.23823613086771,51,75,0.120789757370535,0.209109149856518
"Blautia wexlerae","Dorea [Genus]",0.513755656108597,0.160576265839424,51,77,0.0301725367175059,0.0899588594725638
"Blautia obeum","Dorea [Genus]",0.455408163265306,0.0966904607397794,49,68,0.0426974087031525,0.112693160675534
"Coprococcus [Genus]","[Ruminococcus] [Genus]",0.583097238895558,0.310385137250809,50,66,0.0754780993335385,0.162970998662839
"Lachnospiraceae [Family]","[Ruminococcus] [Genus]",0.45719087635054,0.392881745120551,50,66,0.689879637803081,0.76075768278285
"Collinsella aerofaciens","[Ruminococcus] [Genus]",0.492445266728338,0.194988479262673,46,63,0.0908421197249176,0.176211822598937
"[Eubacterium] biforme","[Ruminococcus] [Genus]",0.531158357771261,0.437445887445887,32,55,0.610129081682815,0.691766071485446
"Clostridium celatum","[Ruminococcus] [Genus]",0.5082995951417,-0.139962476547842,39,40,0.00308106659990285,0.0354322658988828
"Blautia obeum","[Ruminococcus] [Genus]",0.670769230769231,0.247839861751152,51,63,0.00420309625642189,0.037043752670157
"Blautia [Genus]","Fusicatenibacter saccharivorans",0.514497442855652,0.395841716968478,66,71,0.394211257790977,0.475787522259897
"Blautia wexlerae","Fusicatenibacter saccharivorans",0.502882009390388,0.339121486912342,68,72,0.250349500910191,0.353563768829305
"Blautia obeum","Fusicatenibacter saccharivorans",0.50384024577573,0,63,65,0.00237250844144275,0.0293826045440218
"Oscillospira [Genus]","Dorea formicigenerans",-0.438924605493863,-0.17822315986873,58,80,0.102793865355844,0.191752333384678
"Actinomyces odontolyticus","Dorea formicigenerans",0.725027808676307,0.229517759917034,30,57,0.00424070748317273,0.037043752670157
"Prevotella copri","Dorea formicigenerans",-0.498655756867329,-0.42728307254623,59,75,0.615303999821154,0.692754852945495
"Prevotella [Genus]","Dorea formicigenerans",-0.633343400785261,-0.199013259327783,43,46,0.0139727439101889,0.0573126504908676
"Collinsella aerofaciens","Dorea formicigenerans",0.487923169267707,-0.0128099748352913,50,78,0.00363231204726278,0.037043752670157
"Senegalimassilia anaerobia","Dorea formicigenerans",0.534591836734694,0.160540540540541,49,75,0.0226806106212296,0.0745220063268972
"Blautia [Genus]","Dorea formicigenerans",0.665575686732905,0.476216533124878,59,85,0.104074495270164,0.191752333384678
"Blautia wexlerae","Dorea formicigenerans",0.581765049678551,0.234629665819816,59,85,0.0148199701436442,0.0581954925152859
"Blautia obeum","Dorea formicigenerans",0.423359685010305,0.0832432432432432,58,74,0.0420445699826888,0.112693160675534
"Fusicatenibacter saccharivorans","Dorea formicigenerans",0.497541452258433,0.401810865191147,54,71,0.522700004981104,0.60110500572827
"Coprococcus [Genus]","Coprococcus eutactus",0.346846846846847,0.591605218377765,37,42,0.178215537418458,0.275999262027992
"Lachnospiraceae [Family]","Coprococcus eutactus",0.55737316263632,0.191289198606272,37,41,0.0685351005091853,0.153252099749706
"Faecalibacterium prausnitzii","Coprococcus eutactus",0.586411149825784,0.0789791603745092,41,43,0.00960592746988472,0.0483298225828575
"Roseburia [Genus]","Coprococcus eutactus",0.520625889046942,0.196356275303644,37,39,0.118220104497401,0.206885182870452
"Coprococcus [Genus]","Dorea longicatena",0.721274108708358,0.44955044955045,59,77,0.0169555282451122,0.0620418192605241
"Lachnospiraceae [Family]","Dorea longicatena",0.556787634408602,0.42430381375008,63,72,0.325009580531178,0.418612339724157
"Clostridiales [Order]","Dorea longicatena",0.467351398601399,0.222395326192795,65,79,0.103935143442303,0.191752333384678
"Ruminococcus bromii","Dorea longicatena",0.423061224489796,0.389112166605773,49,69,0.838624280938129,0.882473916542737
"Faecalibacterium prausnitzii","Dorea longicatena",0.498301332213612,0.382655826558266,68,81,0.395997068216312,0.475787522259897
"Collinsella aerofaciens","Dorea longicatena",0.566549987193716,0.350649350649351,52,76,0.139307555989361,0.233630380357158
"[Eubacterium] biforme","Dorea longicatena",0.671557271557272,0.413558804443257,36,68,0.0858364455719457,0.170032842204745
"Erysipelotrichaceae [Family]","Dorea longicatena",0.0399624765478424,0.504796380090498,40,51,0.0194542145415771,0.0683455968627473
