"","Coprococcus [Genus]","Lachnospiraceae [Family]","Coprococcus catus","Ruminococcus [Genus]","Ruminococcaceae [Family]","Clostridiales [Order]","Clostridium [Genus]","Oscillospira [Genus]","Ruminococcus callidus","Ruminococcus bromii","Faecalibacterium prausnitzii","Methanobrevibacter [Genus]","Christensenellaceae [Family]","Succinivibrio [Genus]","Escherichia coli","Haemophilus parainfluenzae","Actinomyces odontolyticus","Bifidobacterium [Genus]","Bifidobacterium longum","YS2 [Order]","Akkermansia muciniphila","Prevotella copri","Prevotella [Genus]","Prevotella stercorea","S24-7 [Family]","Lactobacillus salivarius","Turicibacter [Genus]","Phascolarctobacterium [Genus]","Veillonella dispar","Coriobacteriaceae [Family]","Collinsella aerofaciens","Slackia isoflavoniconvertens","Senegalimassilia anaerobia","SMB53 [Genus]","[Mogibacteriaceae] [Family]","Streptococcus thermophilus","[Eubacterium] biforme","Erysipelotrichaceae [Family]","Catenibacterium mitsuokai","Ralstonia solanacearum","Clostridium celatum","Lachnospira [Genus]","Blautia [Genus]","Blautia wexlerae","Blautia obeum","Roseburia [Genus]","Dorea [Genus]","[Ruminococcus] [Genus]","Fusicatenibacter saccharivorans","Dorea formicigenerans","Coprococcus eutactus","Dorea longicatena","Anaerostipes hadrus"
"Coprococcus [Genus]",0,-0.235343316378278,-0.170427892258949,-0.0391365062998251,-0.203027287136584,-0.380330998349019,-0.0897607123683121,-0.276570711394692,0.630492131859008,-0.377724066323477,-0.366148627630422,-0.393120208544783,-0.291317501828223,0.055355453516331,-0.501139326525308,-0.442873832862539,-0.0162261777853826,-0.139798591114496,0.0539051478625644,-0.540738557365646,0.0159680071216369,0.000331544523682503,-0.080037455874368,-0.284094807036328,-0.04499308652178,-0.221555631363512,-0.177108066612637,-0.213592027454885,-0.259250920334199,-0.353156036778845,-0.20240967570784,0.340116736781366,-0.0368243777453171,-0.618701847680859,-0.324016435555432,0.324919934610829,-0.00568683880846244,0.214769443727195,-0.20128273417449,0.0962264664813217,-0.441258748876147,-0.314754296173783,-0.409629080715639,-0.381450204388149,-0.51237409475471,0.140241660502975,-0.362129324109713,-0.342608795202998,-0.264048266092059,-0.163804271945336,0.315879728373319,-0.422898579665123,0.0385164197660999
"Lachnospiraceae [Family]",-0.235343316378278,0,0.0585524022809659,-0.237090940867212,-0.0374921586102197,-0.263090081360193,-0.121867689450173,0.044185832725846,0.356373385714543,-0.341980880629659,-0.243530310197843,-0.26802735242325,-0.394140924810157,-0.119139112614471,-0.32266905726763,-0.617756911687083,0.418253854185661,-0.00996158809897895,-0.0323799870795557,-0.809239392670908,0.228092803793007,-0.293702463169499,-0.200939846305625,-0.583723592625883,0.0964827907405592,-0.327288406609931,-0.0319074589907368,-0.607286857341811,-0.396374640913348,-0.00788748856440039,-0.101459761955626,0.113505313063028,0.0571483039192757,-0.115662146285299,0.0104844529814997,0.129897911798538,0.185525984520726,0.307374332596126,-0.129295681925386,-0.0447439430103495,-0.261369829405898,-0.220838023139594,-0.0177480605425209,-0.254013193706071,-0.254421688319095,-0.0401848995358459,-0.158236552200867,-0.0769077444681099,-0.258270594635151,0.0761349126740317,-0.429989204050017,-0.173734021291702,0.0720437254272204
"Coprococcus catus",-0.170427892258949,0.0585524022809659,0,-0.435633373854166,-0.598672104379815,-0.500337813770296,0.179781321868642,-0.231587006115068,0.865882479320512,-0.061679203853713,-0.00772136488923392,-0.383083588959624,0.11360013432907,-0.0411637722370397,-0.0889545991440863,-0.508348347545079,0.38264056882811,0.225039392175577,0.0893881356263496,-0.711064440206415,0.360355242818723,-0.478548023572859,-0.54817155539839,-0.554239665637106,-0.212055805055437,0.151039871357901,-0.0203009340733153,-0.121747546442371,0.0796933177754021,0.0115139712755383,0.00551554737783507,-0.0338104323389853,-0.38468106184578,-0.13548796837001,0.124938888440205,0.0408936556726258,0.0579014823940472,0.229903757042119,0.0364766626362617,-0.378098817816529,-0.176091053202044,-0.500349926790729,0.394758537188174,-0.00232366484075786,-0.258425529656748,0.123100672701629,0.348590708197806,-0.282357778847706,0.397311589130878,0.357128444102513,0.0757296236801792,-0.131348286405592,0.218934223762377
"Ruminococcus [Genus]",-0.0391365062998251,-0.237090940867212,-0.435633373854166,0,-0.152002077515492,-0.162048307483887,-0.226419781305236,-0.238071378119936,0.351604128906756,-0.305500656617505,-0.187896999903121,-0.370877083958931,-0.43338907325739,0.0812762587705808,-0.0756201459218433,-0.557514672463673,0.304348577611346,-0.156552059826543,0.200004025231932,-0.214341293932085,0.241487257708565,-0.168099504422594,-0.313869268315478,-0.511416175597109,-0.132984750311673,0.0640629709780043,-0.248149877140454,-0.242554639181113,-0.222112568891463,0.169934822388887,-0.176966597220945,0.187758758213735,0.397515162071011,0.0112832736850615,-0.218276835599438,0.137223357514555,-0.0451996599432615,0.070043767360459,0.187308022600369,-0.00475263854544433,-0.08509761878118,0.242310121236864,-0.177675055710554,-0.0368547292419491,-0.0451860452220649,-0.229689922091482,0.195836437980817,-0.0345434416264584,0.134972499030941,0.340595470071231,0.118105510115647,-0.151933028922986,0.22271198190044
"Ruminococcaceae [Family]",-0.203027287136584,-0.0374921586102197,-0.598672104379815,-0.152002077515492,0,-0.303599175054887,-0.167493759875402,-0.214366568080212,0.0871307449141784,-0.489503822197571,-0.16343265410918,-0.232813046843352,-0.545585877781641,-0.265482878730485,-0.160646478912289,-0.337902823427348,-0.0858623090946022,-0.124934206083759,0.159727079304641,-0.400951953948245,0.0576949665142795,0.234257891139217,0.131891386594346,-0.00674382982251934,-0.0983955539387367,0.141416044001312,-0.123840331423128,-0.316895276932218,-0.530485219631366,-0.0698406953425171,0.0860750178010504,0.431071659785258,0.123760187274033,-0.0878237713403746,-0.281870827398797,-0.00203996609110635,-0.0417109314987814,-0.0468965875187419,0.153714279694668,0.0133664273191784,-0.0099498098959726,-0.0747269600055203,-0.148460610842835,-0.236295830009567,-0.19995142336421,-0.0218945372671115,-0.0904686692415407,-0.204511491572968,-0.0401964240937849,0.188058763401871,0.233798366330171,-0.0867097503929573,0.334346855139502
"Clostridiales [Order]",-0.380330998349019,-0.263090081360193,-0.500337813770296,-0.162048307483887,-0.303599175054887,0,-0.308768647549904,-0.0723706591855228,0.258711477547637,-0.43071567828926,-0.18852556980218,-0.279480645399213,-0.405760614364766,-0.0296857318593754,-0.188455713998195,0.0550827136512296,0.332838484577472,-0.14205563902387,0.042908297369748,-0.421939302356997,-0.112117195326422,0.162379480504311,-0.164968876314834,-0.192370502624068,-0.160094951235426,0.263027479033549,-0.126560266697748,-0.279732282124007,-0.338879713486013,-0.156324562727553,-0.156775780979247,0.384539785140545,0.0235511077573869,-0.181493622968898,-0.276583491962256,0.0530495789993647,0.0534502833853175,-0.0657230808193185,-0.0472098561996477,-0.0524912015715531,-0.297266309555695,0.11770615854952,-0.389210173670993,-0.464985759397244,-0.249288192429711,-0.246103489218441,0.0121192362273972,-0.417323527817897,-0.338847450123099,0.00715740074255556,-0.123884141059483,-0.278275943967927,0.182385847520717
"Clostridium [Genus]",-0.0897607123683121,-0.121867689450173,0.179781321868642,-0.226419781305236,-0.167493759875402,-0.308768647549904,0,-0.0731994171971304,0.841995670866394,-0.0067922379825614,0.0524676545599031,-0.272365785701496,0.000771359942853017,0.427986331827559,-0.280494871537637,0.0551839460956476,-0.00886762440139902,-0.088326174286559,-0.198125595085895,0.0841127776265794,-0.0746284620215852,0.219639358118447,-0.392971116153371,0.192211038453445,-0.254051057516414,0.354322964140624,-0.189111050923648,0.00889470775840832,-0.0856759725964142,-0.282718426729094,-0.178046287008963,-0.0819494840561278,-0.239337548113432,-0.245218620608389,-0.386736918051052,0.24327645431925,-0.0749453432110819,-0.0864294761034004,-0.0714447935165515,0.230280365203818,-0.289329826136622,0.0990571444318788,-0.0821219810961756,-0.242208658217027,-0.286335637265631,0.200164609551223,0.108199477924866,-0.0890356124910102,0.136336063425871,-0.144382772249773,-0.113832090290273,0.00468820535035683,0.0477510192454383
"Oscillospira [Genus]",-0.276570711394692,0.044185832725846,-0.231587006115068,-0.238071378119936,-0.214366568080212,-0.0723706591855228,-0.0731994171971304,0,0.119202175680827,-0.268532087633201,-0.238989346203888,0.0903559687492344,-0.377553988857555,-0.0529505101290236,-0.0514629294245519,-0.312810287071686,0.294921034799543,0.0850412947109138,0.127392599505433,-0.385222673865259,0.111382637183468,0.0600185060137746,0.0687723391563954,0.0383520238625146,-0.316138135536487,0.021728306920258,-0.176982695813232,0.0105524517630638,-0.000675214269243718,0.0205430321540027,-0.0296033424632784,0.289005727738777,0.237893832078134,-0.00747065693949712,-0.169976417859734,0.178203834296646,-0.221014449270574,0.0835720025206066,0.0752022002698025,0.00622263500611753,-0.0319832867362423,-0.192654549318534,-0.25812943474563,-0.186072142238872,-0.124290938650744,-0.0345967944193469,-0.0377396379564382,-0.188984154810758,-0.0233126040621759,0.288028834129042,0.0609633788981272,-0.207001851168658,0.251358844671194
"Ruminococcus callidus",0.630492131859008,0.356373385714543,0.865882479320512,0.351604128906756,0.0871307449141784,0.258711477547637,0.841995670866394,0.119202175680827,0,0.383622298250017,0.130479144061465,0.682127575215675,0.431951462807007,-0.0291952277026715,-0.149584630986093,0.00170596510602183,-0.0519828417966156,-0.0601283330434498,-0.599387873860627,0.410027851116999,0.598060136268765,-0.648547503965553,-0.181745199049521,0.101664549699403,-0.153626291511881,-0.0145385264679532,0.637793299867643,-0.561662979791664,0.075419338483074,0.26252195766412,0.441208833573165,-0.321685301715781,0.389967785625578,0.616566516892819,0.756416555264601,-0.304641364054424,0.49973428360032,0.611973038927594,0.180362410106107,0.492747442715241,0.775368458735182,0.058682594820218,0.390037095122998,0.229133909449244,0.0118170938948054,0.0913337929764781,0.553775717173726,0.575448089411935,0.173610962994361,0.314725924999983,0.0743865626422074,0.666584643070081,0.182803520993117
"Ruminococcus bromii",-0.377724066323477,-0.341980880629659,-0.061679203853713,-0.305500656617505,-0.489503822197571,-0.43071567828926,-0.0067922379825614,-0.268532087633201,0.383622298250017,0,-0.148723446642491,-0.629544479850103,-0.152918007770171,0.255035267971809,0.224441414713737,0.16592219879443,-0.0175101917659743,0.229215747191746,0.0751269503077861,-0.519289578918434,0.203338865090553,0.0199698694961279,-0.0419007549384514,-0.149379669063655,0.0694314111646769,0.364691189871068,-0.296618090887786,0.123217209862103,0.300609032029539,-0.365365502638576,-0.311112288597864,0.316125821933458,-0.302252392769296,-0.228293229134655,-0.379767826546793,0.210118661011068,-0.393788522083021,0.183596281056456,-0.183012527057165,-0.619076974087289,-0.340677669120774,0.0559633879562894,-0.423122730473234,-0.280715114723927,-0.131983536579618,0.431696575104134,-0.272220754479249,-0.273716308804666,0.271894130625035,-0.146944853335184,0.0105143769621828,-0.0391156011788457,0.508465779870156
