Description	lfc	se	p	q	change	p_sig
urea transmembrane transporter activity	-0.908431164934599	0.148007656467937	7.59667799554862e-09	1.34841034420988e-06	Lower in Pre-HIV	***
urea transmembrane transport	-0.908431164934599	0.148007656467937	7.59667799554862e-09	1.34841034420988e-06	Lower in Pre-HIV	***
trehalose biosynthetic process	-0.898652611948577	0.194206670865189	7.5789173499756e-06	0.000310444114527847	Lower in Pre-HIV	***
lipoyl(octanoyl) transferase activity	-0.808526322846478	0.161027916282618	1.288982701416e-06	6.90968084444959e-05	Lower in Pre-HIV	***
lipoate biosynthetic process	-0.754055486230872	0.200879129029515	0.000224940358570343	0.00474379172034485	Lower in Pre-HIV	**
lipoate synthase activity	-0.754055486230872	0.200879129029515	0.000224940358570343	0.00474379172034485	Lower in Pre-HIV	**
glutamate decarboxylase activity	-0.719828565284031	0.196052424093092	0.000311160019317745	0.00597090847879998	Lower in Pre-HIV	**
glutamate metabolic process	-0.719828565284031	0.196052424093092	0.000311160019317745	0.00597090847879998	Lower in Pre-HIV	**
formyltetrahydrofolate deformylase activity	-0.710468679932392	0.181580204506265	0.000126214856941924	0.00298708494762554	Lower in Pre-HIV	**
glycine metabolic process	-0.621463556746052	0.108009305160615	5.94384943720534e-08	6.33019965062369e-06	Lower in Pre-HIV	***
protein secretion by the type VI secretion system	-0.608760456755831	0.0945218048945878	1.0185952879181e-08	1.66892920251196e-06	Lower in Pre-HIV	***
xenobiotic transport	-0.60217106853558	0.172187288840509	0.000574272957937031	0.00948600048877997	Lower in Pre-HIV	**
GDP-D-glucose phosphorylase activity	-0.58203905195628	0.0854014426623291	9.9786019163288e-10	2.63288002340334e-07	Lower in Pre-HIV	***
catalase activity	-0.569628304220341	0.204648473265899	0.00585750438780751	0.0574953195669585	Lower in Pre-HIV	+
oxidoreductase activity, acting on peroxide as acceptor	-0.564609076049235	0.135950330849478	4.6872053084262e-05	0.00131251645885348	Lower in Pre-HIV	**
lactate oxidation	0.35714823009224	0.126997032869063	0.00535219356365402	0.0537743975970899	Higher in Pre-HIV	+
TBP-class protein binding	0.359740912765502	0.130669678190588	0.00687225238170729	0.0647694582877723	Higher in Pre-HIV	+
ribonuclease M5 activity	0.381865146371132	0.091351941230288	4.15375712347309e-05	0.00126392895328538	Higher in Pre-HIV	**
diacylglycerol kinase activity	0.390448626983225	0.149645990726766	0.00989569154040954	0.0861873133420758	Higher in Pre-HIV	+
threonine-type endopeptidase activity	0.429694661098085	0.149319600749632	0.00439346279416524	0.0460988953279407	Higher in Pre-HIV	*
2',3'-cyclic-nucleotide 3'-phosphodiesterase activity	0.474307161707712	0.130947761410835	0.000360810822868977	0.00680112436027364	Higher in Pre-HIV	**
2'-5'-RNA ligase activity	0.474307161707712	0.130947761410835	0.000360810822868977	0.00680112436027364	Higher in Pre-HIV	**
septin ring assembly	0.480259629563355	0.12144089418493	0.000102316641498658	0.00256393466343697	Higher in Pre-HIV	**
septin ring	0.480259629563355	0.12144089418493	0.000102316641498658	0.00256393466343697	Higher in Pre-HIV	**
triphosphatase activity	0.480870126164315	0.111419016565353	2.38632274444942e-05	0.000781979607027273	Higher in Pre-HIV	***
HslUV protease complex	0.493122217302661	0.13708906401389	0.000395239436200604	0.00725741378540765	Higher in Pre-HIV	**
cobalt ion binding	0.546909443711999	0.122015254139064	1.18310130346837e-05	0.000434483754549593	Higher in Pre-HIV	***
allantoin catabolic process	0.607823470917056	0.127664648779287	3.45578183623061e-06	0.000163573673581582	Higher in Pre-HIV	***
allantoinase activity	0.609969569047673	0.115841301761521	3.34358369897528e-07	2.45580457890254e-05	Higher in Pre-HIV	***
ureidoglycine aminohydrolase activity	0.622308404904342	0.123246803123707	9.18170772462282e-07	5.58772498669903e-05	Higher in Pre-HIV	***
