Taxa,name,cooccurrence_g1,cooccurrence_g2,cor_g1,cor_g2,diff_cor,p,sign
data1 - s__Absicoccus_porci,data2 - HMDB0031152,92,65,-0.310263122021384,0.0132888243883483,0.323551946409733,0.0434019855603371,g1-
data1 - s__Absicoccus_porci,data2 - HMDB0033591,92,65,0.0127117569041823,0.313217399609771,0.300505642705589,0.0597793630347059,g2+
data1 - s__Absicoccus_porci,data2 - HMDB0036850,92,65,-0.231554300375043,-0.307978134195273,0.0764238338202301,0.618066782185805,g2-
data1 - s__Absicoccus_porci,data2 - HMDB0246328,92,65,0.0515468607500942,-0.302807501308093,0.354354362058187,0.0276920815111514,g2-
data1 - s__Absicoccus_porci,data2 - HMDB0254784,92,65,-0.0343444886391771,-0.345092593713329,0.310748105074152,0.0491025672752505,g2-
data1 - s__Adlercreutzia_equolifaciens,data2 - HMDB0000050,147,82,-0.168385575658433,-0.301608904952381,0.133223329293948,0.312925721209707,g2-
data1 - s__Adlercreutzia_equolifaciens,data2 - HMDB0000896,147,82,-0.0527873703156892,-0.322034601763911,0.269247231448221,0.044688983511816,g2-
data1 - s__Adlercreutzia_equolifaciens,data2 - HMDB0002335,147,82,0.12765979263355,-0.329925702433299,0.457585495066849,0.000765973522186991,g2-
data1 - s__Adlercreutzia_equolifaciens,data2 - HMDB0241939,147,82,0.0827063323375185,-0.301969969470216,0.384676301807734,0.00482866164585349,g2-
data1 - s__Adlercreutzia_equolifaciens,data2 - HMDB0256292,147,82,0.057990144451568,0.318962383449281,0.260972238997713,0.0516738802556995,g2+
data1 - s__Adlercreutzia_equolifaciens,data2 - HMDB0260335,147,82,-0.0828815557079304,-0.31911031245416,0.23622875674623,0.0770045115848179,g2-
data1 - s__Adlercreutzia_equolifaciens,data2 - HMDB0262734,147,82,0.0174325291815837,-0.310463335621092,0.327895864802676,0.0156216124752802,g2-
data1 - s__Agathobaculum_butyriciproducens,data2 - HMDB0000050,149,82,0.231437095231321,0.339330791428137,0.107893696196816,0.399679589807856,g2+
data1 - s__Agathobaculum_butyriciproducens,data2 - HMDB0002825,149,82,-0.00206825986872161,0.315283451637221,0.317351711505942,0.0186846102749432,g2+
data1 - s__Agathobaculum_butyriciproducens,data2 - HMDB0003099,149,82,0.0735906364607146,0.304965601908767,0.231374965448053,0.084100393581515,g2+
data1 - s__Agathobaculum_butyriciproducens,data2 - HMDB0005808,149,82,0.0270965175330786,0.340776392073189,0.31367987454011,0.0189022040259197,g2+
