"t1","t2","r1","r2","n1","n2","p","BH_p"
"Coriobacteriaceae [Family]","[Mogibacteriaceae] [Family]",0.614358974358974,0.375717305949864,26,43,0.231634406272285,0.471156464990206
"Collinsella aerofaciens","[Mogibacteriaceae] [Family]",0.554188034188034,0.502795559517057,26,42,0.800568313184961,0.918037885332468
"Coriobacteriaceae [Family]","Mogibacterium [Genus]",0.191228070175439,0.557820855614973,19,33,0.162239042228619,0.387962927068436
"Coprococcus [Genus]","Catenibacterium mitsuokai",0.231578947368421,0.500790513833992,20,45,0.273305563777885,0.518338138199438
"Clostridiales [Order]","Catenibacterium mitsuokai",0.0987012987012987,0.437388926862611,21,56,0.176809102456208,0.405187526462144
"Ruminococcus bromii","Catenibacterium mitsuokai",-0.428571428571429,0.679220779220779,15,21,0.00076944150620868,0.0141064276138258
"Bacteroidales [Order]","Catenibacterium mitsuokai",-0.214285714285714,0.587902187902188,13,36,0.0153761105333,0.112758143910866
"Clostridiales [Order]","Lachnospiraceae [Family]",0.454505005561735,0.478474639022584,30,74,0.876284556790936,0.937529858365986
"Escherichia coli","Lachnospiraceae [Family]",-0.794117647058823,0.108866995073892,16,29,0.000615114326760854,0.0135325151887388
"Catenibacterium mitsuokai","Lachnospiraceae [Family]",0.46015037593985,0.559366515837104,20,51,0.617557827252085,0.796091137957281
"Coprococcus [Genus]","Blautia [Genus]",0.389543937708565,0.399233777635885,30,67,0.947305746470039,0.955996624878021
"Prevotella copri","Blautia [Genus]",0.0758620689655172,-0.38595423563778,30,79,0.0324222816148488,0.168473847257914
"Prevotella stercorea","Blautia [Genus]",-0.136836343732895,-0.447681522927519,28,72,0.14118397281888,0.356047917536019
"Collinsella aerofaciens","Blautia [Genus]",0.347274749721913,0.447004608294931,30,63,0.60160053180702,0.796091137957281
"Desulfovibrio [Genus]","Peptococcus [Genus]",-0.657342657342657,0.582661290322581,12,31,0.000221770335953643,0.00609868423872517
"Catenibacterium mitsuokai","Peptococcus [Genus]",-0.013986013986014,0.528185328185328,12,36,0.114551769677461,0.323094734987711
"Blautia [Genus]","Peptococcus [Genus]",0.362637362637363,0.493554006968641,14,41,0.622398526039329,0.796091137957281
"Senegalimassilia anaerobia","Blautia wexlerae",0.698701298701299,0.190485829959514,21,39,0.0228601969133421,0.147918921203978
"Catenibacterium mitsuokai","Blautia wexlerae",-0.0272727272727273,0.444062743064558,21,57,0.0662397773053536,0.227699234487153
"Blautia [Genus]","Blautia wexlerae",0.381854838709677,0.504641873727974,31,82,0.476636713716518,0.699214531753905
"Oscillospira [Genus]","[Ruminococcus] gnavus",-0.267285861713106,-0.55548128342246,18,33,0.266311993793363,0.513935426618771
"Succinivibrio [Genus]","[Ruminococcus] gnavus",-0.945454545454545,0,11,5,0.0277546314649029,0.155648425396373
"Bacteroides vulgatus","[Ruminococcus] gnavus",0.737874097007224,0.282977558839628,18,28,0.0506125615431596,0.19883506320527
"Faecalibacterium prausnitzii","Roseburia faecis",0.733834586466165,0.393162393162393,20,27,0.107861727296535,0.312231315858389
"Collinsella aerofaciens","Dorea [Genus]",0.305250305250305,0.529323308270677,27,56,0.263752274798543,0.513935426618771
"[Eubacterium] biforme","Dorea [Genus]",-0.138961038961039,0.563367252543941,21,46,0.00623274537476655,0.0761779990249245
"Peptococcus [Genus]","Dorea [Genus]",0.208791208791209,0.587114845938375,13,35,0.202800478462911,0.455266380222862
"Faecalibacterium prausnitzii","[Ruminococcus] [Genus]",0.477641824249166,0.406535099438867,30,68,0.716088368170691,0.875219116653067
"Dialister [Genus]","[Ruminococcus] [Genus]",0.156408808582722,0.575445891235365,22,38,0.0830748633363652,0.264761023467016
"Collinsella aerofaciens","[Ruminococcus] [Genus]",0.35615763546798,0.483253588516746,29,56,0.512794554374594,0.72317180745135
"[Eubacterium] biforme","[Ruminococcus] [Genus]",0.334839073969509,0.536601911810052,22,46,0.358191155451551,0.625413128566199
"Dorea [Genus]","[Ruminococcus] [Genus]",0.344280240831965,0.499092558983666,28,58,0.428078709343422,0.694840809272957
"Coprococcus [Genus]","Fusicatenibacter saccharivorans",0.394581280788177,0.524743677375256,29,56,0.483093676484516,0.699214531753905
"Prevotella stercorea","Fusicatenibacter saccharivorans",-0.0128205128205128,-0.45514406576742,27,67,0.0471335703098385,0.19883506320527
"Phascolarctobacterium [Genus]","Fusicatenibacter saccharivorans",0.460474308300395,0.456470588235294,23,51,0.997507713932346,0.997507713932346
"Catenibacterium mitsuokai","Fusicatenibacter saccharivorans",0.374436090225564,0.447846889952153,20,56,0.73535793519219,0.888894207375174
"Blautia [Genus]","Fusicatenibacter saccharivorans",0.0171301446051168,0.53169451491558,30,70,0.0121250994081246,0.102596994991823
"Blautia wexlerae","Fusicatenibacter saccharivorans",0.369521690767519,0.422727670370046,30,70,0.770671891517764,0.918037885332468
"Roseburia [Genus]","Fusicatenibacter saccharivorans",0.61576354679803,0.0338974087784241,29,61,0.0043205441895865,0.0678942658363593
"Prevotella [Genus]","Dorea formicigenerans",-0.0948051948051948,-0.443661755206251,21,58,0.161509337638017,0.387962927068436
"Blautia [Genus]","Dorea formicigenerans",-0.0104560622914349,0.53353572750833,30,74,0.0077865299214886,0.077865299214886
"Peptococcus [Genus]","Dorea formicigenerans",-0.0241758241758242,0.549595141700405,14,39,0.0658012441230782,0.227699234487153
"Blautia wexlerae","Dorea formicigenerans",0.436262513904338,0.565257312106627,30,74,0.434839884823466,0.694840809272957
"Fusicatenibacter saccharivorans","Dorea formicigenerans",0.45615763546798,0.425404446299969,29,66,0.886391866091478,0.937529858365986
"Coprococcus [Genus]","Dorea longicatena",0.522167487684729,0.491247568769103,28,60,0.880361308212574,0.937529858365986
"Ruminococcus [Genus]","Dorea longicatena",0.282430213464696,0.433287024173381,28,60,0.465239703592792,0.699214531753905
"Dialister [Genus]","Dorea longicatena",0.749294184076793,0.341497975708502,22,39,0.0336947694515827,0.168473847257914
"Collinsella aerofaciens","Dorea longicatena",0.723645320197044,0.617460317460317,29,55,0.435854689453037,0.694840809272957
"[Mogibacteriaceae] [Family]","Dorea longicatena",0.552307692307692,0.475022624434389,25,51,0.702312711916829,0.875219116653067
"Catenibacterium mitsuokai","Dorea longicatena",0.488311688311688,0.61046605386228,21,53,0.507517900353996,0.72317180745135
"Lachnospiraceae [Family]","Dorea longicatena",0.318555008210181,0.543513203214696,28,66,0.2348412048327,0.471156464990206
"Blautia [Genus]","Dorea longicatena",0.413300492610837,0.652099813492829,29,72,0.137059684578254,0.356047917536019
"Peptococcus [Genus]","Dorea longicatena",0.248351648351648,0.542914979757085,14,39,0.300038663516264,0.559394118420153
"Dorea [Genus]","Dorea longicatena",0.43042735042735,0.499240210403273,26,59,0.709749156679308,0.875219116653067
"[Ruminococcus] [Genus]","Dorea longicatena",0.458128078817734,0.493575174825175,28,65,0.831322828716203,0.933117460803901
"Fusicatenibacter saccharivorans","Dorea longicatena",0.187739463601533,0.400961538461538,28,64,0.322179780524766,0.58065338226436
"Dorea formicigenerans","Dorea longicatena",0.070607553366174,0.449020880253464,28,68,0.0809571833157521,0.264761023467016
"Coprococcus [Genus]","Anaerostipes hadrus",0.275862068965517,0.640718174747213,28,57,0.0493014681427552,0.19883506320527
"Bilophila [Genus]","Anaerostipes hadrus",0.715384615384615,-0.205254515599343,25,28,0.000198734763252137,0.00609868423872517
"Fusicatenibacter saccharivorans","Anaerostipes hadrus",0.441871921182266,0.586869290531888,29,52,0.408695236020064,0.681158726700106
