t1,t2,r1,r2,r3,r4,E,pvals,trend
s__Anthropogastromicrobium_aceti,HMDB0270048,0.306696304529036,-0.103679653679654,-0.0512293074737976,-0.632391138273491,4.70554045362235,4e-06,decrease
s__Lachnoclostridium_sp._210928_DFI_6_3,HMDB0270048,0.332554061952075,0.0126929674099485,-0.0502434274586173,-0.640374331550802,4.80937850320599,4e-06,decrease
s__Intestinimonas_butyriciproducens,HMDB0062407,0.304751319811059,0.266165413533835,0.157780172179232,0.860045836516425,4.68017240532362,5e-06,increase
s__Brotomerdimonas_butyrica,HMDB0061073,-0.2923190501092,0.0923444976076555,-0.141282746160795,0.638808250572956,4.65302525281101,6e-06,increase
s__Coprococcus_catus,HMDB0033709,-0.0588496804667963,-0.318045112781955,-0.112243009980301,-0.799847211611918,4.60492120301341,9e-06,decrease
s__Faecalibacterium_sp._CLA_AA_H233,HMDB0006548,0.213383985973115,0.219685577580314,0.00971909317486749,-0.676394194041253,4.60190261987154,1e-05,decrease
s__Ruminococcus_sp._NSJ_13,HMDB0037479,0.2586668307238,-0.19583048530417,0.0151898734177215,-0.646142093200917,4.54728686099864,1.1e-05,decrease
s__Oscillibacter_sp._ER4,HMDB0301792,-0.116481589713618,0.343015056222603,0.123757904245709,0.718258212375859,4.50792619617367,1.3e-05,increase
s__Oscillibacter_sp._MCC667,HMDB0301792,-0.152911501430373,0.319890635680109,0.169316833730586,0.700534759358289,4.49941010540828,1.3e-05,increase
s__Phocea_massiliensis,HMDB0000897,-0.0478082992402104,-0.327705627705628,-0.525603770093926,-0.784873949579832,4.46080496232175,1.4e-05,decrease
s__Faecalibacterium_prausnitzii,HMDB0030353,0.0826896360100028,-0.213533834586466,-0.359802353043611,-0.721008403361345,4.39586218134355,1.6e-05,decrease
s__Butyricicoccus_faecihominis,HMDB0041867,-0.558912916423144,0.0581529581529582,0.092652452628944,0.354010695187166,4.42719408091883,1.6e-05,increase
s__Negativibacillus_massiliensis,HMDB0034591,-0.181423386051335,-0.1804168475901,-0.290725657164013,0.665322580645161,4.43442005300227,1.6e-05,increase
s__Ellagibacter_isourolithinifaciens,HMDB0015522,-0.0108047089179165,0.26473000683527,0.187951242381622,0.757677616501146,4.33053422136475,2e-05,increase
s__Intestinimonas_sp._MSJ_38,HMDB0000292,-0.126592635885447,-0.120984278879016,-0.125813008130081,-0.797708174178762,4.27393476109813,2.8e-05,decrease
s__Faecalibacterium_sp._I3389,HMDB0035251,0.0931618936294565,0.222351332877649,-0.0936991869918699,-0.669060351413293,4.26804074139509,2.8e-05,decrease
s__Oscillibacter_sp._ER4,HMDB0001976,-0.519696084161309,-0.339508290451687,-0.0902664859981933,0.370206264323911,4.2637268966224,2.9e-05,increase
s__Pseudoflavonifractor_phocaeensis,HMDB0062407,0.139372047791053,0.277511961722488,0.258584473394935,0.801069518716577,4.25853269114069,3e-05,increase
s__Solobacterium_moorei,HMDB0030960,-0.371877890841813,-0.0315614617940199,-0.19554633250858,0.575528364849833,4.2230004610622,3.3e-05,increase
s__Yeguia_hominis,HMDB0029410,-0.120674274816205,-0.416594516594517,-0.333768679052252,-0.792818945760122,4.21552165522332,3.4e-05,decrease
s__Ruminococcus_sp._Marseille_P6503,HMDB0002335,0.178197064989518,-0.0477342364134817,-0.325267770204479,-0.658670741023682,4.19461007907001,3.5e-05,decrease
s__Blautia_sp._OF03_15BH,HMDB0253153,-0.427527761542957,-0.304647983595352,0.00331951110675765,0.458212375859435,4.20471589139291,3.5e-05,increase
s__Ruminococcus_champanellensis,HMDB0000870,0.166780587833219,-0.344227994227994,-0.193695228821811,-0.663770053475936,4.18419875543298,3.7e-05,decrease
s__Eggerthella_lenta,HMDB0014980,0.283523200889136,0.0305536568694463,0.222624917012222,-0.574025974025974,4.18489584151568,3.7e-05,decrease
s__Clostridium_sp._BIOML_A1,HMDB0035289,0.314884696016771,-0.14448545375597,-0.152636836847363,-0.591101223581758,4.16868000398254,3.8e-05,decrease
s__Anaerobutyricum_hallii,HMDB0000235,0.115031953320367,-0.234313055365687,0.13327020820409,-0.678533231474408,4.17038936814748,3.8e-05,decrease
s__Anaerobutyricum_hallii,HMDB0246712,0.127535426507363,-0.274367737525632,0.11794603889814,-0.669060351413293,4.14967447910898,4e-05,decrease
s__Ruminococcus_gnavus,HMDB0094676,0.55087524312309,0.213533834586466,0.0600668255678541,-0.306951871657754,4.15612199420593,4e-05,decrease
s__Blautia_schinkii,HMDB0030005,-0.114309530425118,0.145864661654135,0.114267367573274,0.676088617265088,4.14706335142496,4.1e-05,increase
