"Taxa","name","cooccurrence_g1","cooccurrence_g2","cor_g1","cor_g2","diff_cor","p","sign"
"gut s__Fusicatenibacter_saccharivorans","cd163",152,86,-0.107033262939194,-0.327779612245861,0.220746349306667,0.0890594681496446,"g2-"
"gut s__Phocaeicola_vulgatus","ratio",150,86,-0.0349437752789013,-0.305740836831926,0.270797061553025,0.0407784062154224,"g2-"
"gut s__Coprococcus_catus","cd163",152,86,-0.0395949944983221,-0.328251332610029,0.288656338111707,0.0278447767764542,"g2-"
"gut s__Ruminococcus_sp._FMBCY1","ratio",105,58,0.0354965788928053,-0.443415669506906,0.478912248399711,0.00220982038771744,"g2-"
"gut s__Blautia_sp._OF03_15BH","cd163",151,86,0.0406413384454514,-0.31015613944054,0.350797477885991,0.00840625843247444,"g2-"
"gut s__Mitsuokella_jalaludinii","ip10",132,77,0.0630410168377223,0.300015773699984,0.236974756862262,0.0910739582587767,"g2+"
"gut s__Megasphaera_elsdenii","cd163",123,74,-0.00743573538326605,0.320547945205479,0.327983680588745,0.0232823315652173,"g2+"
"gut s__Fusicatenibacter_sp._CLA_AA_H277","cd163",151,86,-0.0303241547577553,-0.306646539931129,0.276322385173374,0.036681960525744,"g2-"
"gut s__Clostridium_sp._AF43_10","lbp",99,69,0.310488559059988,-0.0542930215564487,0.364781580616437,0.0188789575821335,"g1+"
"gut s__Prevotella_sp._P4_67","il6",85,52,0.0187708558281302,0.355587808417997,0.336816952589867,0.0505499692984297,"g2+"
"gut s__Prevotella_sp._P4_67","crp",84,52,-0.0685633289460362,0.401605054213267,0.470168383159303,0.00631686827767841,"g2+"
"gut s__Prevotella_sp._P4_67","lbp",85,52,-0.0481141293726793,0.360881072312815,0.408995201685494,0.0182969700824709,"g2+"
"gut s__Prevotella_sp._P5_64","il6",80,56,-0.0286218273670372,0.3107997265892,0.339421553956237,0.0498386967019659,"g2+"
"gut s__Prevotella_sp._P5_64","crp",79,56,-0.111295034079844,0.306356801093643,0.417651835173487,0.0167030040435778,"g2+"
"oral s__Lancefieldella_parvula","il6",115,72,0.0577370349110153,0.306868608913757,0.249131574002742,0.0902239951926997,"g2+"
"oral s__Lautropia_mirabilis","il6",113,60,0.0163850230908579,-0.329258127257572,0.34564315034843,0.0280955928225584,"g2-"
"oral s__Megasphaera_micronuciformis","ratio",93,54,0.301975470740951,0.157537640556508,0.144437830184443,0.38321675634533,"g1+"
"oral s__Rothia_aeria","crp",141,76,-0.0659446037929706,-0.314996582365003,0.249051978572032,0.0723647291646383,"g2-"
"oral s__Streptococcus_sp._HMSC034E03","cd163",146,82,-0.0536396325180994,-0.332658547469009,0.27901891495091,0.0371715905014622,"g2-"
"oral s__Candidatus_Nanosynbacter_sp._HMT_352","cd163",100,60,-0.00739273927392739,0.365934981939428,0.373327721213355,0.019103286756958,"g2+"
"oral s__Prevotella_vespertina","lbp",110,65,-0.0500281766336812,0.310227272727273,0.360255449360954,0.0201466500474841,"g2+"
"oral s__Haemophilus_influenzae","il6",140,81,-0.0787847180083106,-0.312330623306233,0.233545905297922,0.0851694300310055,"g2-"
"oral s__Campylobacter_concisus","ratio",123,68,0.0742025770337026,0.334580295453678,0.260377718419975,0.0756017690362205,"g2+"
"oral s__Haemophilus_sp._Marseille_Q0026","lbp",103,53,0.0204608355664895,-0.432107724560555,0.452568560127044,0.00529841508262896,"g2-"
"oral s__Candidatus_Nanosynbacter_sp._TM7_057","lbp",95,57,0.00551511758118701,-0.364532019704434,0.370047137285621,0.0237536380660974,"g2-"
"oral s__Lachnoanaerobaculum_orale","il6",92,54,-0.00901626395312071,0.333333333333333,0.342349597286454,0.0428957596175241,"g2+"
"oral s__Actinomyces_sp._S6_Spd3","il6",100,64,0.109337261738451,0.362087912087912,0.252750650349461,0.0990873259558851,"g2+"
"oral s__Candidatus_Nanosynbacter_sp._TM7_008","cd163",93,57,0.0402255975649787,0.404524241638579,0.3642986440736,0.0239008193625545,"g2+"
"oral s__Actinomyces_sp._ph3","ratio",86,55,0.324949290060852,0.105339105339105,0.219610184721747,0.19066542535507,"g1+"
"oral s__Candidatus_Nanosynbacter_sp._TM7_053","cd163",96,58,-0.0663185024416712,0.428589006121382,0.494907508563053,0.0020427801793903,"g2+"
