r1.g1	r2.g2	r3.g3	r4.g4	adj.p.trend
s__Haemophilus_parainfluenzae:L-lactate dehydrogenase activity	-0.618994739918177	-0.398080954684728	-0.0653178400546822	0.343582887700535	0.00072
s__Haemophilus_parainfluenzae:peptidoglycan binding	0.720938816943	0.398161586840832	0.20123034859877	-0.0766129032258065	0.001728
s__Haemophilus_parainfluenzae:alanine dehydrogenase activity	-0.430011288501855	-0.528739495798319	-0.0634271099744246	0.423387096774194	0.001728
s__Haemophilus_parainfluenzae:L-alanine catabolic process	-0.430011288501855	-0.528739495798319	-0.0634271099744246	0.423387096774194	0.001728
s__Haemophilus_parainfluenzae:disulfide oxidoreductase activity	0.818029350104822	0.730708283313325	0.298853993526376	0.231048387096774	0.001995
s__Haemophilus_parainfluenzae:negative regulation of transcription, DNA-templated	-0.524021040327294	-0.607242233657328	-0.198196540301803	0.23629679144385	0.001995
s__Haemophilus_parainfluenzae:purine-nucleoside phosphorylase activity	-0.444418468731736	-0.521555174385363	-0.0155108049844892	0.332887700534759	0.001995
s__Haemophilus_parainfluenzae:nucleotidase activity	0.52265526469593	0.229398484115465	0.131905588783845	-0.313904338153504	0.001995
s__Haemophilus_parainfluenzae:phospholipid transport	0.698597000483793	0.486836734693878	0.375174825174825	-0.0246305418719212	0.00370125
s__Haemophilus_parainfluenzae:organic acid phosphorylation	-0.292168322618352	-0.568591576138746	-0.0516473000683527	0.337232620320856	0.00385411764705882
s__Haemophilus_parainfluenzae:metal ion transmembrane transporter activity	-0.557744009351257	-0.632323232323232	-0.386008728113991	0.119318181818182	0.0039
s__Haemophilus_parainfluenzae:periplasmic space	0.759263588544711	0.644978082713932	0.338608759661391	0.193850267379679	0.0039
s__Haemophilus_parainfluenzae:glycerate kinase activity	-0.286849795441262	-0.582999809414904	-0.0272096324727904	0.302807486631016	0.00512181818181818
s__Haemophilus_parainfluenzae:tryptophan catabolic process to kynurenine	-0.445683173450869	-0.46265306122449	-0.123225965691719	0.295454545454545	0.00540782608695652
s__Haemophilus_parainfluenzae:riboflavin transmembrane transporter activity	-0.518001168907072	-0.528263769773204	-0.0751353909248646	0.143716577540107	0.0109221428571429
s__Haemophilus_parainfluenzae:riboflavin transport	-0.518001168907072	-0.528263769773204	-0.0751353909248646	0.143716577540107	0.0109221428571429
s__Haemophilus_parainfluenzae:acyl-[acyl-carrier-protein] hydrolase activity	-0.326300409117475	-0.481777132720529	-0.0764235764235764	0.287390029325513	0.0126522580645161
s__Haemophilus_parainfluenzae:tRNA (adenine-N1-)-methyltransferase activity	-0.391525423728814	-0.461787688202783	-0.0658551974341448	0.252339572192513	0.0126522580645161
s__Haemophilus_parainfluenzae:rRNA (adenine-N6,N6-)-dimethyltransferase activity	-0.399532437171245	-0.312750142938822	-0.212024817287975	0.279745989304813	0.0126522580645161
s__Haemophilus_parainfluenzae:ribose phosphate diphosphokinase activity	-0.337521917007598	-0.546712407089766	-0.0916451969083548	0.219919786096257	0.0134682352941176
s__Haemophilus_parainfluenzae:regulation of carbohydrate metabolic process	-0.264465225014611	-0.406289308176101	0.0706661759293338	0.336564171122995	0.0135284210526316
s__Haemophilus_parainfluenzae:chromosome separation	-0.561893629456458	-0.515151515151515	-0.251511646248488	0.0558155080213904	0.0135284210526316
s__Haemophilus_parainfluenzae:nucleotide biosynthetic process	-0.357218001168907	-0.56127310844292	-0.121326042378674	0.191510695187166	0.0135284210526316
s__Haemophilus_parainfluenzae:glucosamine-6-phosphate deaminase activity	-0.325949736995909	-0.434648370497427	-0.197129186602871	0.276737967914438	0.014751
s__Haemophilus_parainfluenzae:rRNA modification	-0.397895967270602	-0.310005717552887	-0.196987223303013	0.255681818181818	0.014751
s__Haemophilus_parainfluenzae:ribonucleoside monophosphate biosynthetic process	-0.288135593220339	-0.512102153611588	-0.00970082549029917	0.227606951871658	0.0198415384615385
s__Haemophilus_parainfluenzae:RNA-DNA hybrid ribonuclease activity	-0.366101694915254	-0.431903945111492	-0.138046164361954	0.228609625668449	0.0198415384615385
